"KEY";"VALUE"
1849;1,6
1850;1,6
1851;1,6
1852;1,6
1853;1,6
1854;1,6
1855;1,6
1856;1,6
1857;1,6
1858;1,6
1859;1,6
1860;1,6
1861;1,6
1862;1,6
1863;1,6
1864;1,6
1865;1,6
1866;1,6
1867;1,6
1868;1,6
1869;1,6
1870;1,6
1871;1,6
1872;1,6
1873;1,6
1874;1,6
1875;1,6
1876;1,6
1877;1,6
1878;1,6
1879;1,6
1880;1,6
1881;1,6
1882;1,6
1883;1,6
1884;1,6
1885;1,6
1886;1,6
1887;1,6
1888;1,6
1889;1,6
1890;1,6
1891;1,6
1892;1,6
1893;1,6
1894;1,6
1895;1,6
1896;1,6
1897;1,6
1898;1,6
1899;1,6
1900;1,6
1901;1,6
1902;1,6
1903;1,6
1904;1,6
1905;1,6
1906;1,6
1907;1,6
1908;1,6
1909;1,6
1910;1,6
1911;1,6
1912;1,6
1913;1,6
1914;1,6
1915;1,6
1916;1,6
1917;1,6
1918;1,6
1919;1,6
1920;1,6
1921;1,6
1922;1,6
1923;1,6
1924;1,6
1925;1,6
1926;1,6
1927;1,6
1928;1,6
1929;1,6
1930;1,6
1931;1,6
1932;1,6
1933;1,6
1934;1,6
1935;1,6
1936;1,6
1937;1,6
1938;1,6
1939;1,6
1940;1,6
1941;1,6
1942;1,6
1943;1,6
1944;1,6
1945;1,6
1946;1,6
1947;1,6
1948;1,6
1949;1,6
1950;1,6
1951;1,6
1952;1,6
1953;1,6
1954;1,6
1955;1,6
1956;1,599
1957;1,596
1958;1,591
1959;1,582
1960;1,57
1961;1,552
1962;1,529
1963;1,5
1964;1,464
1965;1,422
1966;1,376
1967;1,327
1968;1,277
1969;1,228
1970;1,181
1971;1,138
1972;1,1
1973;1,068
1974;1,041
1975;1,016
1976;0,992
1977;0,965
1978;0,934
1979;0,899
1980;0,863
1981;0,829
1982;0,8
1983;0,778
1984;0,762
1985;0,749
1986;0,739
1987;0,729
1988;0,716
1989;0,7
1990;0,678
1991;0,651
1992;0,62
1993;0,588
1994;0,558
1995;0,531
1996;0,511
1997;0,5
1998;0,499
1999;0,505
2000;0,515
2001;0,526
2002;0,533
2003;0,534
2004;0,524
2005;0,5
2006;0,46
2007;0,41
2008;0,355
2009;0,303
2010;0,26
2011;0,26
2012;0,26
2013;0,26
2014;0,26
2015;0,26
2016;0,26
2017;0,26
2018;0,266
2019;0,277
2020;0,285
2021;0,291
