"KEY";"VALUE"
1849;2,898
1850;2,898
1851;2,898
1852;2,897
1853;2,897
1854;2,897
1855;2,897
1856;2,897
1857;2,896
1858;2,896
1859;2,896
1860;2,896
1861;2,896
1862;2,896
1863;2,896
1864;2,896
1865;2,896
1866;2,896
1867;2,896
1868;2,896
1869;2,896
1870;2,896
1871;2,896
1872;2,897
1873;2,897
1874;2,897
1875;2,898
1876;2,898
1877;2,898
1878;2,899
1879;2,899
1880;2,9
1881;2,9
1882;2,9
1883;2,9
1884;2,9
1885;2,9
1886;2,9
1887;2,9
1888;2,9
1889;2,9
1890;2,9
1891;2,898
1892;2,896
1893;2,894
1894;2,893
1895;2,891
1896;2,891
1897;2,891
1898;2,893
1899;2,896
1900;2,9
1901;2,9
1902;2,9
1903;2,9
1904;2,9
1905;2,9
1906;2,9
1907;2,9
1908;2,9
1909;2,878
1910;2,85
1911;2,815
1912;2,776
1913;2,733
1914;2,688
1915;2,64
1916;2,591
1917;2,543
1918;2,495
1919;2,45
1920;2,407
1921;2,367
1922;2,33
1923;2,295
1924;2,262
1925;2,231
1926;2,202
1927;2,174
1928;2,147
1929;2,121
1930;2,096
1931;2,072
1932;2,048
1933;2,024
1934;2
1935;1,976
1936;1,952
1937;1,931
1938;1,912
1939;1,898
1940;1,888
1941;1,885
1942;1,889
1943;1,902
1944;1,923
1945;1,956
1946;2
1947;2,056
1948;2,118
1949;2,18
1950;2,237
1951;2,282
1952;2,308
1953;2,31
1954;2,282
1955;2,223
1956;2,138
1957;2,034
1958;1,915
1959;1,788
1960;1,657
1961;1,528
1962;1,407
1963;1,3
1964;1,21
1965;1,138
1966;1,081
1967;1,037
1968;1,006
1969;0,986
1970;0,974
1971;0,97
1972;0,971
1973;0,976
1974;0,984
1975;0,992
1976;0,999
1977;1,005
1978;1,007
1979;1,005
1980;0,996
1981;0,98
1982;0,956
1983;0,924
1984;0,887
1985;0,847
1986;0,804
1987;0,76
1988;0,718
1989;0,678
1990;0,643
1991;0,613
1992;0,586
1993;0,564
1994;0,545
1995;0,528
1996;0,513
1997;0,5
1998;0,487
1999;0,475
2000;0,464
2001;0,453
2002;0,442
2003;0,431
2004;0,42
2005;0,409
2006;0,398
2007;0,386
2008;0,374
2009;0,361
2010;0,347
2011;0,334
2012;0,321
2013;0,308
2014;0,296
2015;0,284
2016;0,273
2017;0,264
2018;0,26
2019;0,26
2020;0,26
2021;0,26
