"KEY";"VALUE"
1849;2,9
1850;2,9
1851;2,9
1852;2,9
1853;2,9
1854;2,9
1855;2,9
1856;2,9
1857;2,9
1858;2,9
1859;2,9
1860;2,9
1861;2,9
1862;2,9
1863;2,9
1864;2,9
1865;2,9
1866;2,9
1867;2,9
1868;2,9
1869;2,9
1870;2,9
1871;2,9
1872;2,9
1873;2,9
1874;2,9
1875;2,9
1876;2,9
1877;2,9
1878;2,9
1879;2,9
1880;2,9
1881;2,899
1882;2,898
1883;2,897
1884;2,896
1885;2,896
1886;2,896
1887;2,896
1888;2,897
1889;2,898
1890;2,9
1891;2,9
1892;2,9
1893;2,9
1894;2,9
1895;2,9
1896;2,9
1897;2,9
1898;2,9
1899;2,9
1900;2,9
1901;2,89
1902;2,88
1903;2,87
1904;2,863
1905;2,861
1906;2,865
1907;2,877
1908;2,9
1909;2,9
1910;2,9
1911;2,9
1912;2,9
1913;2,9
1914;2,9
1915;2,9
1916;2,9
1917;2,774
1918;2,619
1919;2,45
1920;2,283
1921;2,13
1922;2
1923;1,903
1924;1,836
1925;1,796
1926;1,779
1927;1,78
1928;1,797
1929;1,826
1930;1,861
1931;1,901
1932;1,939
1933;1,974
1934;2
1935;2,015
1936;2,021
1937;2,018
1938;2,01
1939;1,999
1940;1,986
1941;1,974
1942;1,965
1943;1,961
1944;1,964
1945;1,976
1946;2
1947;2,037
1948;2,083
1949;2,136
1950;2,193
1951;2,248
1952;2,3
1953;2,341
1954;2,349
1955;2,3
1956;2,178
1957;2,001
1958;1,798
1959;1,595
1960;1,42
1961;1,3
1962;1,253
1963;1,259
1964;1,285
1965;1,3
1966;1,281
1967;1,234
1968;1,172
1969;1,109
1970;1,053
1971;1,009
1972;0,98
1973;0,969
1974;0,971
1975;0,98
1976;0,99
1977;0,998
1978;1,002
1979;1,002
1980;0,995
1981;0,98
1982;0,955
1983;0,92
1984;0,875
1985;0,82
1986;0,757
1987;0,699
1988;0,66
1989;0,65
1990;0,655
1991;0,66
1992;0,649
1993;0,625
1994;0,593
1995;0,558
1996;0,525
1997;0,5
1998;0,487
1999;0,484
2000;0,489
2001;0,5
2002;0,513
2003;0,522
2004;0,52
2005;0,5
2006;0,459
2007;0,403
2008;0,345
2009;0,293
2010;0,26
2011;0,26
2012;0,26
2013;0,262
2014;0,262
2015;0,26
2016;0,26
2017;0,26
2018;0,26
2019;0,26
2020;0,26
2021;0,261
