"KEY";"VALUE"
1849;2,75
1850;2,75
1851;2,75
1852;2,75
1853;2,75
1854;2,75
1855;2,75
1856;2,75
1857;2,75
1858;2,75
1859;2,75
1860;2,75
1861;2,75
1862;2,75
1863;2,75
1864;2,75
1865;2,75
1866;2,75
1867;2,75
1868;2,75
1869;2,75
1870;2,75
1871;2,75
1872;2,75
1873;2,75
1874;2,75
1875;2,75
1876;2,75
1877;2,75
1878;2,75
1879;2,75
1880;2,75
1881;2,75
1882;2,75
1883;2,75
1884;2,749
1885;2,749
1886;2,749
1887;2,749
1888;2,75
1889;2,75
1890;2,75
1891;2,75
1892;2,75
1893;2,75
1894;2,75
1895;2,75
1896;2,75
1897;2,75
1898;2,75
1899;2,75
1900;2,75
1901;2,749
1902;2,747
1903;2,746
1904;2,744
1905;2,744
1906;2,745
1907;2,747
1908;2,75
1909;2,75
1910;2,75
1911;2,75
1912;2,75
1913;2,75
1914;2,75
1915;2,75
1916;2,75
1917;2,731
1918;2,707
1919;2,68
1920;2,652
1921;2,625
1922;2,6
1923;2,579
1924;2,563
1925;2,55
1926;2,541
1927;2,536
1928;2,533
1929;2,533
1930;2,536
1931;2,541
1932;2,548
1933;2,557
1934;2,567
1935;2,578
1936;2,589
1937;2,6
1938;2,609
1939;2,616
1940;2,62
1941;2,62
1942;2,616
1943;2,605
1944;2,589
1945;2,565
1946;2,533
1947;2,493
1948;2,449
1949;2,405
1950;2,364
1951;2,332
1952;2,313
1953;2,309
1954;2,313
1955;2,313
1956;2,304
1957;2,283
1958;2,253
1959;2,216
1960;2,172
1961;2,122
1962;2,07
1963;2,015
1964;1,96
1965;1,905
1966;1,851
1967;1,8
1968;1,752
1969;1,708
1970;1,669
1971;1,637
1972;1,612
1973;1,595
1974;1,585
1975;1,578
1976;1,574
1977;1,571
1978;1,566
1979;1,558
1980;1,549
1981;1,537
1982;1,524
1983;1,509
1984;1,491
1985;1,468
1986;1,44
1987;1,404
1988;1,36
1989;1,305
1990;1,24
1991;1,165
1992;1,084
1993;1,001
1994;0,92
1995;0,846
1996;0,782
1997;0,733
1998;0,702
1999;0,685
2000;0,678
2001;0,679
2002;0,682
2003;0,683
2004;0,68
2005;0,667
2006;0,642
2007;0,608
2008;0,57
2009;0,532
2010;0,499
2011;0,473
2012;0,456
2013;0,445
2014;0,442
2015;0,442
2016;0,442
2017;0,442
2018;0,443
2019;0,445
2020;0,447
2021;0,448
