"KEY";"VALUE"
1849;2,825
1850;2,825
1851;2,825
1852;2,825
1853;2,825
1854;2,825
1855;2,825
1856;2,825
1857;2,825
1858;2,825
1859;2,825
1860;2,825
1861;2,825
1862;2,825
1863;2,825
1864;2,825
1865;2,825
1866;2,825
1867;2,825
1868;2,825
1869;2,825
1870;2,825
1871;2,825
1872;2,825
1873;2,825
1874;2,825
1875;2,825
1876;2,825
1877;2,825
1878;2,825
1879;2,825
1880;2,825
1881;2,825
1882;2,825
1883;2,824
1884;2,824
1885;2,824
1886;2,824
1887;2,824
1888;2,824
1889;2,825
1890;2,825
1891;2,825
1892;2,825
1893;2,825
1894;2,825
1895;2,825
1896;2,825
1897;2,825
1898;2,825
1899;2,825
1900;2,825
1901;2,823
1902;2,821
1903;2,818
1904;2,817
1905;2,816
1906;2,817
1907;2,82
1908;2,825
1909;2,825
1910;2,825
1911;2,825
1912;2,825
1913;2,825
1914;2,825
1915;2,825
1916;2,825
1917;2,797
1918;2,761
1919;2,721
1920;2,679
1921;2,638
1922;2,6
1923;2,568
1924;2,542
1925;2,523
1926;2,509
1927;2,501
1928;2,499
1929;2,503
1930;2,512
1931;2,526
1932;2,546
1933;2,57
1934;2,6
1935;2,634
1936;2,671
1937;2,707
1938;2,74
1939;2,768
1940;2,788
1941;2,798
1942;2,795
1943;2,776
1944;2,739
1945;2,681
1946;2,6
1947;2,496
1948;2,377
1949;2,257
1950;2,146
1951;2,056
1952;2
1953;1,983
1954;1,99
1955;2
1956;1,995
1957;1,973
1958;1,937
1959;1,889
1960;1,831
1961;1,767
1962;1,697
1963;1,625
1964;1,552
1965;1,481
1966;1,411
1967;1,345
1968;1,283
1969;1,227
1970;1,177
1971;1,135
1972;1,103
1973;1,079
1974;1,064
1975;1,054
1976;1,047
1977;1,04
1978;1,032
1979;1,02
1980;1,006
1981;0,989
1982;0,97
1983;0,949
1984;0,926
1985;0,901
1986;0,872
1987;0,839
1988;0,802
1989;0,76
1990;0,713
1991;0,662
1992;0,609
1993;0,556
1994;0,506
1995;0,462
1996;0,426
1997;0,4
1998;0,386
1999;0,382
2000;0,385
2001;0,392
2002;0,399
2003;0,405
2004;0,407
2005;0,4
2006;0,384
2007;0,36
2008;0,333
2009;0,305
2010;0,28
2011;0,261
2012;0,247
2013;0,238
2014;0,232
2015;0,23
2016;0,23
2017;0,23
2018;0,23
2019;0,231
2020;0,232
2021;0,232
