"KEY";"VALUE"
1849;3,2
1850;3,2
1851;3,2
1852;3,2
1853;3,2
1854;3,2
1855;3,2
1856;3,2
1857;3,2
1858;3,2
1859;3,2
1860;3,2
1861;3,2
1862;3,2
1863;3,2
1864;3,2
1865;3,2
1866;3,2
1867;3,2
1868;3,2
1869;3,2
1870;3,2
1871;3,2
1872;3,2
1873;3,2
1874;3,2
1875;3,2
1876;3,2
1877;3,2
1878;3,2
1879;3,2
1880;3,2
1881;3,2
1882;3,2
1883;3,2
1884;3,2
1885;3,2
1886;3,2
1887;3,2
1888;3,2
1889;3,2
1890;3,2
1891;3,2
1892;3,2
1893;3,2
1894;3,2
1895;3,2
1896;3,2
1897;3,2
1898;3,2
1899;3,2
1900;3,2
1901;3,2
1902;3,2
1903;3,2
1904;3,2
1905;3,2
1906;3,2
1907;3,2
1908;3,2
1909;3,2
1910;3,2
1911;3,2
1912;3,2
1913;3,2
1914;3,2
1915;3,2
1916;3,2
1917;3,199
1918;3,199
1919;3,198
1920;3,198
1921;3,199
1922;3,2
1923;3,2
1924;3,2
1925;3,2
1926;3,2
1927;3,2
1928;3,2
1929;3,2
1930;3,2
1931;3,2
1932;3,2
1933;3,2
1934;3,2
1935;3,188
1936;3,173
1937;3,155
1938;3,132
1939;3,106
1940;3,075
1941;3,039
1942;2,998
1943;2,952
1944;2,9
1945;2,843
1946;2,78
1947;2,71
1948;2,633
1949;2,55
1950;2,46
1951;2,366
1952;2,273
1953;2,182
1954;2,098
1955;2,025
1956;1,965
1957;1,922
1958;1,9
1959;1,9
1960;1,915
1961;1,937
1962;1,955
1963;1,961
1964;1,946
1965;1,9
1966;1,818
1967;1,705
1968;1,57
1969;1,42
1970;1,265
1971;1,113
1972;0,972
1973;0,851
1974;0,757
1975;0,693
1976;0,654
1977;0,635
1978;0,63
1979;0,634
1980;0,642
1981;0,65
1982;0,653
1983;0,65
1984;0,641
1985;0,628
1986;0,611
1987;0,589
1988;0,564
1989;0,535
1990;0,504
1991;0,471
1992;0,437
1993;0,403
1994;0,371
1995;0,343
1996;0,318
1997;0,3
1998;0,288
1999;0,282
2000;0,281
2001;0,283
2002;0,287
2003;0,292
2004;0,298
2005;0,302
2006;0,304
2007;0,302
2008;0,296
2009;0,285
2010;0,271
2011;0,255
2012;0,239
2013;0,223
2014;0,21
2015;0,2
2016;0,2
2017;0,2
2018;0,2
2019;0,2
2020;0,2
2021;0,203
