"KEY";"VALUE"
1849;1,6
1850;1,6
1851;1,6
1852;1,6
1853;1,6
1854;1,6
1855;1,6
1856;1,6
1857;1,6
1858;1,6
1859;1,6
1860;1,6
1861;1,6
1862;1,6
1863;1,6
1864;1,6
1865;1,6
1866;1,6
1867;1,6
1868;1,6
1869;1,6
1870;1,6
1871;1,6
1872;1,6
1873;1,6
1874;1,6
1875;1,6
1876;1,6
1877;1,6
1878;1,6
1879;1,6
1880;1,6
1881;1,6
1882;1,6
1883;1,6
1884;1,6
1885;1,6
1886;1,6
1887;1,6
1888;1,6
1889;1,6
1890;1,6
1891;1,6
1892;1,6
1893;1,6
1894;1,6
1895;1,6
1896;1,6
1897;1,6
1898;1,6
1899;1,6
1900;1,6
1901;1,6
1902;1,6
1903;1,6
1904;1,6
1905;1,6
1906;1,6
1907;1,6
1908;1,6
1909;1,6
1910;1,6
1911;1,6
1912;1,6
1913;1,6
1914;1,6
1915;1,6
1916;1,6
1917;1,6
1918;1,6
1919;1,6
1920;1,599
1921;1,599
1922;1,6
1923;1,603
1924;1,608
1925;1,614
1926;1,62
1927;1,625
1928;1,63
1929;1,633
1930;1,634
1931;1,632
1932;1,626
1933;1,615
1934;1,6
1935;1,579
1936;1,555
1937;1,53
1938;1,506
1939;1,484
1940;1,468
1941;1,459
1942;1,459
1943;1,472
1944;1,498
1945;1,54
1946;1,6
1947;1,679
1948;1,77
1949;1,866
1950;1,958
1951;2,039
1952;2,1
1953;2,1
1954;2,1
1955;2,1
1956;2,025
1957;1,92
1958;1,8
1959;1,678
1960;1,571
1961;1,5
1962;1,476
1963;1,483
1964;1,499
1965;1,5
1966;1,469
1967;1,412
1968;1,339
1969;1,26
1970;1,187
1971;1,13
1972;1,1
1973;1,101
1974;1,11
1975;1,1
1976;1,05
1977;0,971
1978;0,883
1979;0,806
1980;0,76
1981;0,754
1982;0,76
1983;0,745
1984;0,711
1985;0,667
1986;0,621
1987;0,582
1988;0,56
1989;0,559
1990;0,565
1991;0,56
1992;0,532
1993;0,485
1994;0,43
1995;0,377
1996;0,331
1997;0,3
1998;0,286
1999;0,286
2000;0,293
2001;0,3
2002;0,303
2003;0,302
2004;0,3
2005;0,3
2006;0,303
2007;0,307
2008;0,309
2009;0,308
2010;0,3
2011;0,284
2012;0,263
2013;0,239
2014;0,217
2015;0,2
2016;0,2
2017;0,2
2018;0,2
2019;0,2
2020;0,2
2021;0,205
