"KEY";"VALUE"
1849;2
1850;2
1851;2
1852;2
1853;2
1854;2
1855;2
1856;2
1857;2
1858;2
1859;2
1860;2
1861;2
1862;2
1863;2
1864;2
1865;2
1866;2
1867;2
1868;2
1869;2
1870;2
1871;2
1872;2
1873;2
1874;2
1875;2
1876;2
1877;2
1878;2
1879;2
1880;2
1881;2
1882;2
1883;2
1884;2
1885;2
1886;2
1887;2
1888;2
1889;2
1890;2
1891;2
1892;2
1893;2
1894;2
1895;2
1896;2
1897;2
1898;2
1899;2
1900;2
1901;2
1902;2
1903;2
1904;2
1905;2
1906;2
1907;2
1908;2
1909;2
1910;2
1911;2
1912;2
1913;2
1914;2
1915;2
1916;2
1917;2
1918;2
1919;2
1920;2
1921;2
1922;2
1923;1,999
1924;1,998
1925;1,996
1926;1,995
1927;1,994
1928;1,993
1929;1,992
1930;1,992
1931;1,993
1932;1,994
1933;1,996
1934;2
1935;2
1936;2
1937;2
1938;2
1939;2
1940;2
1941;2
1942;2
1943;2
1944;2
1945;2
1946;2
1947;1,982
1948;1,962
1949;1,942
1950;1,923
1951;1,908
1952;1,9
1953;1,899
1954;1,9
1955;1,9
1956;1,893
1957;1,88
1958;1,861
1959;1,837
1960;1,808
1961;1,775
1962;1,739
1963;1,7
1964;1,659
1965;1,617
1966;1,576
1967;1,536
1968;1,498
1969;1,465
1970;1,436
1971;1,414
1972;1,4
1973;1,394
1974;1,394
1975;1,4
1976;1,409
1977;1,42
1978;1,43
1979;1,439
1980;1,445
1981;1,449
1982;1,45
1983;1,447
1984;1,438
1985;1,421
1986;1,395
1987;1,357
1988;1,306
1989;1,24
1990;1,156
1991;1,058
1992;0,951
1993;0,841
1994;0,735
1995;0,639
1996;0,558
1997;0,5
1998;0,468
1999;0,458
2000;0,464
2001;0,479
2002;0,496
2003;0,51
2004;0,513
2005;0,5
2006;0,466
2007;0,417
2008;0,361
2009;0,306
2010;0,26
2011;0,26
2012;0,26
2013;0,26
2014;0,26
2015;0,26
2016;0,26
2017;0,26
2018;0,267
2019;0,278
2020;0,287
2021;0,294
