"KEY";"VALUE"
1849;5
1850;5
1851;5
1852;5
1853;5
1854;5
1855;5
1856;5
1857;5
1858;5
1859;5
1860;5
1861;5
1862;5
1863;5
1864;5
1865;5
1866;5
1867;5
1868;5
1869;5
1870;5
1871;5
1872;5
1873;5
1874;5
1875;5
1876;5
1877;5
1878;5
1879;5
1880;5
1881;5
1882;5
1883;5
1884;5
1885;5
1886;5
1887;5
1888;5
1889;5
1890;5
1891;5
1892;5
1893;5
1894;5
1895;5
1896;5
1897;5
1898;5
1899;5
1900;5
1901;5
1902;5
1903;5
1904;5
1905;5
1906;5
1907;5
1908;5
1909;4,999
1910;4,999
1911;4,998
1912;4,998
1913;4,997
1914;4,998
1915;4,998
1916;5
1917;5
1918;5
1919;5
1920;5
1921;5
1922;5
1923;4,992
1924;4,981
1925;4,966
1926;4,949
1927;4,93
1928;4,908
1929;4,884
1930;4,859
1931;4,833
1932;4,806
1933;4,778
1934;4,75
1935;4,722
1936;4,694
1937;4,666
1938;4,64
1939;4,615
1940;4,591
1941;4,569
1942;4,55
1943;4,533
1944;4,518
1945;4,507
1946;4,5
1947;4,496
1948;4,495
1949;4,496
1950;4,498
1951;4,499
1952;4,5
1953;4,499
1954;4,498
1955;4,5
1956;4,506
1957;4,515
1958;4,524
1959;4,532
1960;4,536
1961;4,533
1962;4,522
1963;4,5
1964;4,466
1965;4,421
1966;4,368
1967;4,308
1968;4,245
1969;4,18
1970;4,116
1971;4,056
1972;4
1973;3,951
1974;3,907
1975;3,865
1976;3,822
1977;3,776
1978;3,723
1979;3,664
1980;3,604
1981;3,548
1982;3,5
1983;3,463
1984;3,436
1985;3,412
1986;3,389
1987;3,362
1988;3,327
1989;3,28
1990;3,216
1991;3,136
1992;3,042
1993;2,939
1994;2,83
1995;2,718
1996;2,607
1997;2,5
1998;2,401
1999;2,31
2000;2,229
2001;2,159
2002;2,1
2003;2,053
2004;2,02
2005;2
2006;1,994
2007;1,997
2008;2,003
2009;2,006
2010;2
2011;1,981
2012;1,949
2013;1,909
2014;1,863
2015;1,814
2016;1,766
2017;1,72
2018;1,7
2019;1,7
2020;1,7
2021;1,7
