"KEY";"VALUE"
1849;1,626
1850;1,626
1851;1,63
1852;1,638
1853;1,646
1854;1,645
1855;1,63
1856;1,595
1857;1,544
1858;1,482
1859;1,415
1860;1,348
1861;1,286
1862;1,235
1863;1,2
1864;1,185
1865;1,184
1866;1,192
1867;1,2
1868;1,204
1869;1,204
1870;1,202
1871;1,2
1872;1,199
1873;1,199
1874;1,199
1875;1,2
1876;1,2
1877;1,2
1878;1,2
1879;1,2
1880;1,2
1881;1,2
1882;1,2
1883;1,2
1884;1,2
1885;1,2
1886;1,2
1887;1,2
1888;1,2
1889;1,2
1890;1,2
1891;1,2
1892;1,2
1893;1,2
1894;1,2
1895;1,2
1896;1,2
1897;1,2
1898;1,2
1899;1,2
1900;1,2
1901;1,2
1902;1,2
1903;1,2
1904;1,2
1905;1,201
1906;1,201
1907;1,2
1908;1,199
1909;1,198
1910;1,198
1911;1,2
1912;1,204
1913;1,207
1914;1,207
1915;1,2
1916;1,184
1917;1,16
1918;1,131
1919;1,1
1920;1,069
1921;1,04
1922;1,016
1923;1
1924;0,993
1925;0,993
1926;0,996
1927;1
1928;1,002
1929;1,002
1930;1,001
1931;1
1932;0,999
1933;0,999
1934;0,999
1935;1
1936;1,001
1937;1,002
1938;1,002
1939;1
1940;0,995
1941;0,991
1942;0,992
1943;1
1944;1,02
1945;1,055
1946;1,108
1947;1,183
1948;1,283
1949;1,409
1950;1,546
1951;1,677
1952;1,784
1953;1,85
1954;1,85
1955;1,836
1956;1,784
1957;1,725
1958;1,674
1959;1,635
1960;1,61
1961;1,6
1962;1,605
1963;1,615
1964;1,617
1965;1,6
1966;1,554
1967;1,483
1968;1,396
1969;1,3
1970;1,204
1971;1,115
1972;1,045
1973;1
1974;0,987
1975;0,993
1976;1,003
1977;1
1978;0,973
1979;0,926
1980;0,866
1981;0,8
1982;0,736
1983;0,679
1984;0,632
1985;0,6
1986;0,585
1987;0,583
1988;0,59
1989;0,6
1990;0,609
1991;0,614
1992;0,612
1993;0,6
1994;0,577
1995;0,548
1996;0,517
1997;0,49
1998;0,471
1999;0,459
2000;0,45
2001;0,44
2002;0,427
2003;0,413
2004;0,4
2005;0,39
2006;0,39
2007;0,39
2008;0,39
2009;0,39
2010;0,391
2011;0,391
2012;0,391
2013;0,39
2014;0,39
2015;0,39
2016;0,39
2017;0,39
2018;0,39
2019;0,39
2020;0,39
2021;0,39
