"KEY";"VALUE"
1849;1
1850;1
1851;1
1852;1
1853;1
1854;1
1855;1
1856;1
1857;1
1858;1
1859;1
1860;1
1861;1
1862;1
1863;1
1864;1
1865;1
1866;1
1867;1
1868;1
1869;1
1870;1
1871;1
1872;1
1873;1
1874;1
1875;1
1876;1
1877;1
1878;1
1879;1
1880;1
1881;1
1882;1
1883;1
1884;1
1885;1
1886;1
1887;1
1888;1
1889;1
1890;1
1891;1
1892;1
1893;1
1894;1
1895;1
1896;1
1897;1
1898;1
1899;1
1900;1
1901;1
1902;1
1903;1
1904;1
1905;1
1906;1
1907;1
1908;0,999
1909;0,998
1910;0,998
1911;1
1912;1
1913;1
1914;1
1915;1
1916;0,984
1917;0,96
1918;0,931
1919;0,9
1920;0,869
1921;0,84
1922;0,816
1923;0,8
1924;0,793
1925;0,793
1926;0,796
1927;0,8
1928;0,802
1929;0,802
1930;0,801
1931;0,8
1932;0,8
1933;0,8
1934;0,8
1935;0,8
1936;0,8
1937;0,8
1938;0,8
1939;0,8
1940;0,8
1941;0,8
1942;0,8
1943;0,8
1944;0,799
1945;0,798
1946;0,797
1947;0,798
1948;0,8
1949;0,804
1950;0,809
1951;0,811
1952;0,809
1953;0,8
1954;0,783
1955;0,759
1956;0,731
1957;0,7
1958;0,669
1959;0,64
1960;0,616
1961;0,6
1962;0,593
1963;0,592
1964;0,596
1965;0,6
1966;0,603
1967;0,603
1968;0,602
1969;0,6
1970;0,597
1971;0,595
1972;0,595
1973;0,6
1974;0,609
1975;0,617
1976;0,616
1977;0,6
1978;0,563
1979;0,513
1980;0,459
1981;0,41
1982;0,374
1983;0,351
1984;0,337
1985;0,33
1986;0,327
1987;0,327
1988;0,328
1989;0,33
1990;0,331
1991;0,332
1992;0,331
1993;0,33
1994;0,328
1995;0,325
1996;0,319
1997;0,31
1998;0,298
1999;0,282
2000;0,264
2001;0,245
2002;0,225
2003;0,206
2004;0,191
2005;0,18
2006;0,18
2007;0,18
2008;0,18
2009;0,18
2010;0,181
2011;0,181
2012;0,181
2013;0,18
2014;0,18
2015;0,18
2016;0,18
2017;0,18
2018;0,18
2019;0,18
2020;0,18
2021;0,18
