"KEY";"VALUE"
1849;3,298
1850;3,298
1851;3,3
1852;3,304
1853;3,307
1854;3,307
1855;3,3
1856;3,284
1857;3,26
1858;3,231
1859;3,2
1860;3,169
1861;3,14
1862;3,116
1863;3,1
1864;3,093
1865;3,093
1866;3,096
1867;3,1
1868;3,102
1869;3,102
1870;3,101
1871;3,1
1872;3,099
1873;3,099
1874;3,1
1875;3,1
1876;3,1
1877;3,1
1878;3,1
1879;3,1
1880;3,1
1881;3,1
1882;3,1
1883;3,1
1884;3,1
1885;3,1
1886;3,1
1887;3,1
1888;3,1
1889;3,1
1890;3,1
1891;3,1
1892;3,1
1893;3,1
1894;3,1
1895;3,1
1896;3,1
1897;3,1
1898;3,1
1899;3,1
1900;3,1
1901;3,1
1902;3,1
1903;3,1
1904;3,099
1905;3,099
1906;3,099
1907;3,1
1908;3,102
1909;3,104
1910;3,104
1911;3,1
1912;3,092
1913;3,085
1914;3,086
1915;3,1
1916;3,132
1917;3,18
1918;3,237
1919;3,3
1920;3,363
1921;3,42
1922;3,468
1923;3,5
1924;3,514
1925;3,515
1926;3,508
1927;3,5
1928;3,496
1929;3,496
1930;3,498
1931;3,5
1932;3,501
1933;3,501
1934;3,501
1935;3,5
1936;3,5
1937;3,5
1938;3,5
1939;3,5
1940;3,5
1941;3,501
1942;3,501
1943;3,5
1944;3,499
1945;3,498
1946;3,497
1947;3,498
1948;3,5
1949;3,504
1950;3,509
1951;3,511
1952;3,509
1953;3,5
1954;3,483
1955;3,459
1956;3,431
1957;3,4
1958;3,369
1959;3,34
1960;3,316
1961;3,3
1962;3,293
1963;3,293
1964;3,297
1965;3,3
1966;3,3
1967;3,299
1968;3,298
1969;3,3
1970;3,306
1971;3,312
1972;3,311
1973;3,3
1974;3,276
1975;3,255
1976;3,256
1977;3,3
1978;3,396
1979;3,519
1980;3,632
1981;3,7
1982;3,699
1983;3,645
1984;3,57
1985;3,5
1986;3,46
1987;3,449
1988;3,465
1989;3,5
1990;3,544
1991;3,558
1992;3,496
1993;3,312
1994;2,983
1995;2,572
1996;2,166
1997;1,85
1998;1,687
1999;1,643
2000;1,662
2001;1,688
2002;1,675
2003;1,631
2004;1,575
2005;1,525
2006;1,496
2007;1,484
2008;1,481
2009;1,478
2010;1,468
2011;1,455
2012;1,441
2013;1,43
2014;1,43
2015;1,43
2016;1,43
2017;1,43
2018;1,431
2019;1,431
2020;1,431
2021;1,43
