"KEY";"VALUE"
1849;3,5
1850;3,5
1851;3,5
1852;3,5
1853;3,5
1854;3,5
1855;3,5
1856;3,5
1857;3,5
1858;3,5
1859;3,5
1860;3,5
1861;3,5
1862;3,5
1863;3,5
1864;3,5
1865;3,5
1866;3,5
1867;3,5
1868;3,5
1869;3,5
1870;3,5
1871;3,5
1872;3,5
1873;3,5
1874;3,5
1875;3,5
1876;3,5
1877;3,5
1878;3,5
1879;3,5
1880;3,5
1881;3,5
1882;3,5
1883;3,5
1884;3,5
1885;3,5
1886;3,5
1887;3,5
1888;3,5
1889;3,5
1890;3,5
1891;3,5
1892;3,5
1893;3,5
1894;3,5
1895;3,5
1896;3,5
1897;3,5
1898;3,5
1899;3,5
1900;3,5
1901;3,5
1902;3,5
1903;3,5
1904;3,5
1905;3,5
1906;3,5
1907;3,5
1908;3,5
1909;3,5
1910;3,5
1911;3,5
1912;3,5
1913;3,5
1914;3,5
1915;3,5
1916;3,5
1917;3,5
1918;3,5
1919;3,5
1920;3,5
1921;3,5
1922;3,5
1923;3,5
1924;3,5
1925;3,5
1926;3,5
1927;3,5
1928;3,5
1929;3,5
1930;3,5
1931;3,5
1932;3,5
1933;3,5
1934;3,5
1935;3,5
1936;3,5
1937;3,5
1938;3,5
1939;3,5
1940;3,5
1941;3,5
1942;3,5
1943;3,5
1944;3,5
1945;3,5
1946;3,5
1947;3,5
1948;3,5
1949;3,5
1950;3,5
1951;3,5
1952;3,5
1953;3,5
1954;3,5
1955;3,5
1956;3,5
1957;3,5
1958;3,5
1959;3,499
1960;3,499
1961;3,5
1962;3,501
1963;3,502
1964;3,502
1965;3,5
1966;3,496
1967;3,493
1968;3,493
1969;3,5
1970;3,514
1971;3,527
1972;3,526
1973;3,5
1974;3,446
1975;3,399
1976;3,402
1977;3,5
1978;3,714
1979;3,977
1980;4,202
1981;4,3
1982;4,211
1983;3,992
1984;3,726
1985;3,5
1986;3,379
1987;3,356
1988;3,405
1989;3,5
1990;3,61
1991;3,683
1992;3,665
1993;3,5
1994;3,158
1995;2,711
1996;2,259
1997;1,9
1998;1,706
1999;1,641
2000;1,643
2001;1,65
2002;1,613
2003;1,542
2004;1,463
2005;1,4
2006;1,4
2007;1,4
2008;1,4
2009;1,4
2010;1,408
2011;1,408
2012;1,404
2013;1,4
2014;1,4
2015;1,4
2016;1,4
2017;1,4
2018;1,401
2019;1,401
2020;1,4
2021;1,4
