"KEY";"VALUE"
1849;2,45
1850;2,45
1851;2,45
1852;2,45
1853;2,45
1854;2,45
1855;2,45
1856;2,45
1857;2,45
1858;2,45
1859;2,45
1860;2,45
1861;2,45
1862;2,45
1863;2,45
1864;2,45
1865;2,45
1866;2,45
1867;2,449
1868;2,449
1869;2,449
1870;2,449
1871;2,448
1872;2,448
1873;2,448
1874;2,448
1875;2,448
1876;2,448
1877;2,448
1878;2,449
1879;2,449
1880;2,45
1881;2,45
1882;2,45
1883;2,45
1884;2,45
1885;2,45
1886;2,45
1887;2,45
1888;2,45
1889;2,45
1890;2,45
1891;2,45
1892;2,45
1893;2,45
1894;2,45
1895;2,45
1896;2,45
1897;2,45
1898;2,45
1899;2,45
1900;2,45
1901;2,446
1902;2,441
1903;2,436
1904;2,43
1905;2,423
1906;2,415
1907;2,406
1908;2,397
1909;2,386
1910;2,375
1911;2,362
1912;2,349
1913;2,335
1914;2,319
1915;2,303
1916;2,285
1917;2,266
1918;2,246
1919;2,225
1920;2,203
1921;2,179
1922;2,155
1923;2,13
1924;2,105
1925;2,081
1926;2,056
1927;2,032
1928;2,009
1929;1,986
1930;1,966
1931;1,946
1932;1,929
1933;1,913
1934;1,9
1935;1,889
1936;1,881
1937;1,874
1938;1,868
1939;1,863
1940;1,859
1941;1,854
1942;1,849
1943;1,842
1944;1,834
1945;1,825
1946;1,812
1947;1,797
1948;1,779
1949;1,757
1950;1,731
1951;1,7
1952;1,664
1953;1,624
1954;1,58
1955;1,533
1956;1,484
1957;1,433
1958;1,381
1959;1,328
1960;1,276
1961;1,225
1962;1,175
1963;1,128
1964;1,084
1965;1,044
1966;1,008
1967;0,977
1968;0,951
1969;0,929
1970;0,91
1971;0,895
1972;0,883
1973;0,872
1974;0,864
1975;0,857
1976;0,851
1977;0,845
1978;0,84
1979;0,833
1980;0,826
1981;0,817
1982;0,807
1983;0,795
1984;0,78
1985;0,765
1986;0,747
1987;0,729
1988;0,709
1989;0,688
1990;0,666
1991;0,644
1992;0,621
1993;0,597
1994;0,573
1995;0,549
1996;0,525
1997;0,501
1998;0,477
1999;0,454
2000;0,431
2001;0,408
2002;0,386
2003;0,365
2004;0,344
2005;0,324
2006;0,305
2007;0,287
2008;0,269
2009;0,253
2010;0,238
2011;0,224
2012;0,211
2013;0,199
2014;0,189
2015;0,18
2016;0,18
2017;0,18
2018;0,18
2019;0,18
2020;0,18
2021;0,18
