"KEY";"VALUE"
1849;2,95
1850;2,95
1851;2,95
1852;2,95
1853;2,95
1854;2,95
1855;2,95
1856;2,95
1857;2,95
1858;2,95
1859;2,95
1860;2,95
1861;2,95
1862;2,95
1863;2,95
1864;2,95
1865;2,95
1866;2,95
1867;2,95
1868;2,95
1869;2,95
1870;2,95
1871;2,95
1872;2,95
1873;2,95
1874;2,95
1875;2,95
1876;2,95
1877;2,95
1878;2,95
1879;2,95
1880;2,95
1881;2,95
1882;2,95
1883;2,95
1884;2,95
1885;2,95
1886;2,95
1887;2,95
1888;2,95
1889;2,95
1890;2,95
1891;2,95
1892;2,95
1893;2,949
1894;2,949
1895;2,949
1896;2,949
1897;2,949
1898;2,949
1899;2,949
1900;2,95
1901;2,95
1902;2,95
1903;2,95
1904;2,95
1905;2,95
1906;2,95
1907;2,95
1908;2,95
1909;2,95
1910;2,95
1911;2,95
1912;2,95
1913;2,95
1914;2,95
1915;2,95
1916;2,947
1917;2,943
1918;2,94
1919;2,936
1920;2,932
1921;2,929
1922;2,926
1923;2,924
1924;2,923
1925;2,923
1926;2,925
1927;2,928
1928;2,934
1929;2,941
1930;2,95
1931;2,95
1932;2,95
1933;2,95
1934;2,95
1935;2,95
1936;2,95
1937;2,95
1938;2,95
1939;2,913
1940;2,865
1941;2,807
1942;2,741
1943;2,669
1944;2,592
1945;2,511
1946;2,429
1947;2,347
1948;2,267
1949;2,189
1950;2,116
1951;2,05
1952;1,991
1953;1,939
1954;1,891
1955;1,849
1956;1,808
1957;1,77
1958;1,731
1959;1,692
1960;1,651
1961;1,606
1962;1,556
1963;1,5
1964;1,437
1965;1,369
1966;1,295
1967;1,219
1968;1,14
1969;1,061
1970;0,983
1971;0,907
1972;0,834
1973;0,767
1974;0,705
1975;0,651
1976;0,606
1977;0,57
1978;0,542
1979;0,522
1980;0,506
1981;0,496
1982;0,488
1983;0,483
1984;0,478
1985;0,473
1986;0,466
1987;0,457
1988;0,443
1989;0,426
1990;0,407
1991;0,385
1992;0,363
1993;0,34
1994;0,318
1995;0,296
1996;0,277
1997;0,26
1998;0,246
1999;0,236
2000;0,228
2001;0,222
2002;0,219
2003;0,217
2004;0,216
2005;0,215
2006;0,215
2007;0,215
2008;0,215
2009;0,214
2010;0,212
2011;0,208
2012;0,203
2013;0,197
2014;0,19
2015;0,183
2016;0,176
2017;0,169
2018;0,162
2019;0,155
2020;0,15
2021;0,15
