"KEY";"VALUE"
1849;1,9
1850;1,9
1851;1,9
1852;1,9
1853;1,9
1854;1,9
1855;1,9
1856;1,9
1857;1,9
1858;1,9
1859;1,9
1860;1,9
1861;1,9
1862;1,9
1863;1,9
1864;1,9
1865;1,9
1866;1,9
1867;1,9
1868;1,9
1869;1,9
1870;1,9
1871;1,9
1872;1,9
1873;1,9
1874;1,9
1875;1,9
1876;1,9
1877;1,9
1878;1,9
1879;1,9
1880;1,9
1881;1,9
1882;1,9
1883;1,9
1884;1,9
1885;1,9
1886;1,9
1887;1,9
1888;1,9
1889;1,9
1890;1,9
1891;1,9
1892;1,9
1893;1,9
1894;1,9
1895;1,9
1896;1,9
1897;1,9
1898;1,9
1899;1,9
1900;1,9
1901;1,9
1902;1,9
1903;1,9
1904;1,899
1905;1,899
1906;1,899
1907;1,899
1908;1,899
1909;1,899
1910;1,899
1911;1,899
1912;1,899
1913;1,899
1914;1,9
1915;1,9
1916;1,9
1917;1,9
1918;1,9
1919;1,9
1920;1,9
1921;1,9
1922;1,9
1923;1,9
1924;1,9
1925;1,9
1926;1,9
1927;1,9
1928;1,9
1929;1,9
1930;1,9
1931;1,898
1932;1,896
1933;1,893
1934;1,89
1935;1,886
1936;1,882
1937;1,877
1938;1,872
1939;1,866
1940;1,859
1941;1,852
1942;1,844
1943;1,835
1944;1,825
1945;1,815
1946;1,804
1947;1,792
1948;1,778
1949;1,764
1950;1,749
1951;1,733
1952;1,716
1953;1,698
1954;1,679
1955;1,66
1956;1,64
1957;1,619
1958;1,598
1959;1,576
1960;1,554
1961;1,532
1962;1,51
1963;1,488
1964;1,465
1965;1,444
1966;1,422
1967;1,401
1968;1,38
1969;1,36
1970;1,34
1971;1,321
1972;1,302
1973;1,283
1974;1,263
1975;1,244
1976;1,224
1977;1,203
1978;1,182
1979;1,16
1980;1,136
1981;1,112
1982;1,086
1983;1,058
1984;1,029
1985;0,998
1986;0,965
1987;0,93
1988;0,894
1989;0,856
1990;0,817
1991;0,777
1992;0,737
1993;0,697
1994;0,657
1995;0,617
1996;0,577
1997;0,538
1998;0,501
1999;0,465
2000;0,43
2001;0,397
2002;0,367
2003;0,339
2004;0,313
2005;0,291
2006;0,271
2007;0,254
2008;0,239
2009;0,226
2010;0,216
2011;0,207
2012;0,2
2013;0,194
2014;0,189
2015;0,186
2016;0,183
2017;0,181
2018;0,18
2019;0,18
2020;0,18
2021;0,18
