"KEY";"VALUE"
1849;1,631
1850;1,63
1851;1,627
1852;1,626
1853;1,63
1854;1,641
1855;1,647
1856;1,63
1857;1,58
1858;1,504
1859;1,415
1860;1,326
1861;1,25
1862;1,2
1863;1,183
1864;1,189
1865;1,2
1866;1,204
1867;1,203
1868;1,2
1869;1,199
1870;1,199
1871;1,2
1872;1,2
1873;1,2
1874;1,2
1875;1,2
1876;1,2
1877;1,2
1878;1,2
1879;1,2
1880;1,2
1881;1,2
1882;1,2
1883;1,2
1884;1,2
1885;1,2
1886;1,2
1887;1,2
1888;1,2
1889;1,2
1890;1,2
1891;1,2
1892;1,2
1893;1,2
1894;1,2
1895;1,2
1896;1,2
1897;1,2
1898;1,2
1899;1,2
1900;1,2
1901;1,2
1902;1,2
1903;1,2
1904;1,2
1905;1,2
1906;1,2
1907;1,2
1908;1,2
1909;1,201
1910;1,202
1911;1,2
1912;1,196
1913;1,194
1914;1,2
1915;1,214
1916;1,221
1917;1,2
1918;1,139
1919;1,061
1920;1
1921;0,979
1922;0,986
1923;1
1924;1,006
1925;1,004
1926;1
1927;0,999
1928;1
1929;1
1930;1
1931;1
1932;1
1933;1
1934;1
1935;1
1936;1,001
1937;1
1938;0,998
1939;0,998
1940;1
1941;1,006
1942;1,009
1943;1
1944;0,978
1945;0,967
1946;1
1947;1,099
1948;1,249
1949;1,425
1950;1,603
1951;1,754
1952;1,85
1953;1,85
1954;1,85
1955;1,814
1956;1,772
1957;1,725
1958;1,676
1959;1,632
1960;1,6
1961;1,586
1962;1,587
1963;1,6
1964;1,618
1965;1,625
1966;1,6
1967;1,53
1968;1,424
1969;1,3
1970;1,174
1971;1,067
1972;1
1973;0,985
1974;1
1975;1,018
1976;1,023
1977;1
1978;0,943
1979;0,868
1980;0,8
1981;0,756
1982;0,727
1983;0,7
1984;0,665
1985;0,627
1986;0,6
1987;0,59
1988;0,593
1989;0,6
1990;0,605
1991;0,606
1992;0,6
1993;0,587
1994;0,568
1995;0,545
1996;0,52
1997;0,499
1998;0,49
1999;0,493
2000;0,49
2001;0,462
2002;0,423
2003;0,39
2004;0,39
2005;0,39
2006;0,39
2007;0,393
2008;0,392
2009;0,39
2010;0,39
2011;0,39
2012;0,39
2013;0,39
2014;0,39
2015;0,39
2016;0,39
2017;0,39
2018;0,39
2019;0,39
2020;0,39
2021;0,39
