"KEY";"VALUE"
1849;2,9
1850;2,9
1851;2,889
1852;2,883
1853;2,9
1854;2,9
1855;2,9
1856;2,9
1857;2,701
1858;2,401
1859;2,05
1860;1,699
1861;1,399
1862;1,2
1863;1,134
1864;1,155
1865;1,2
1866;1,218
1867;1,212
1868;1,2
1869;1,195
1870;1,197
1871;1,2
1872;1,201
1873;1,201
1874;1,2
1875;1,2
1876;1,2
1877;1,2
1878;1,2
1879;1,2
1880;1,2
1881;1,2
1882;1,2
1883;1,2
1884;1,2
1885;1,2
1886;1,2
1887;1,2
1888;1,2
1889;1,2
1890;1,2
1891;1,2
1892;1,2
1893;1,2
1894;1,2
1895;1,2
1896;1,2
1897;1,2
1898;1,2
1899;1,2
1900;1,2
1901;1,2
1902;1,2
1903;1,2
1904;1,2
1905;1,2
1906;1,2
1907;1,2
1908;1,2
1909;1,201
1910;1,202
1911;1,2
1912;1,196
1913;1,194
1914;1,2
1915;1,214
1916;1,221
1917;1,2
1918;1,139
1919;1,061
1920;1
1921;0,979
1922;0,986
1923;1
1924;1,006
1925;1,004
1926;1
1927;0,999
1928;1
1929;1
1930;1
1931;1
1932;1
1933;1
1934;1
1935;1
1936;1
1937;1
1938;1
1939;1
1940;1
1941;1
1942;1
1943;1
1944;1
1945;1
1946;1
1947;1
1948;1,001
1949;1,005
1950;1,011
1951;1,015
1952;1,01
1953;0,998
1954;1,01
1955;1,074
1956;1,18
1957;1,305
1958;1,429
1959;1,533
1960;1,6
1961;1,618
1962;1,609
1963;1,6
1964;1,61
1965;1,619
1966;1,6
1967;1,532
1968;1,426
1969;1,3
1970;1,174
1971;1,067
1972;1
1973;0,985
1974;1
1975;1,018
1976;1,023
1977;1
1978;0,943
1979;0,868
1980;0,8
1981;0,756
1982;0,727
1983;0,7
1984;0,665
1985;0,628
1986;0,6
1987;0,59
1988;0,592
1989;0,6
1990;0,606
1991;0,607
1992;0,6
1993;0,583
1994;0,557
1995;0,525
1996;0,491
1997;0,462
1998;0,45
1999;0,455
2000;0,45
2001;0,409
2002;0,349
2003;0,3
2004;0,3
2005;0,3
2006;0,3
2007;0,305
2008;0,303
2009;0,3
2010;0,3
2011;0,3
2012;0,3
2013;0,3
2014;0,3
2015;0,3
2016;0,3
2017;0,3
2018;0,3
2019;0,3
2020;0,3
2021;0,3
