"KEY";"VALUE"
1849;1,266
1850;1,265
1851;1,264
1852;1,263
1853;1,262
1854;1,261
1855;1,26
1856;1,259
1857;1,258
1858;1,257
1859;1,256
1860;1,255
1861;1,254
1862;1,253
1863;1,252
1864;1,251
1865;1,25
1866;1,249
1867;1,248
1868;1,247
1869;1,246
1870;1,245
1871;1,244
1872;1,243
1873;1,242
1874;1,24
1875;1,239
1876;1,238
1877;1,237
1878;1,236
1879;1,235
1880;1,234
1881;1,233
1882;1,232
1883;1,231
1884;1,23
1885;1,229
1886;1,228
1887;1,227
1888;1,226
1889;1,225
1890;1,224
1891;1,223
1892;1,222
1893;1,221
1894;1,22
1895;1,219
1896;1,218
1897;1,217
1898;1,216
1899;1,215
1900;1,214
1901;1,213
1902;1,212
1903;1,211
1904;1,209
1905;1,209
1906;1,208
1907;1,208
1908;1,208
1909;1,209
1910;1,211
1911;1,214
1912;1,215
1913;1,216
1914;1,213
1915;1,206
1916;1,195
1917;1,18
1918;1,163
1919;1,147
1920;1,133
1921;1,122
1922;1,115
1923;1,111
1924;1,11
1925;1,11
1926;1,11
1927;1,11
1928;1,11
1929;1,11
1930;1,11
1931;1,11
1932;1,11
1933;1,111
1934;1,112
1935;1,112
1936;1,112
1937;1,111
1938;1,109
1939;1,106
1940;1,103
1941;1,103
1942;1,104
1943;1,11
1944;1,12
1945;1,135
1946;1,155
1947;1,178
1948;1,205
1949;1,236
1950;1,267
1951;1,295
1952;1,315
1953;1,324
1954;1,316
1955;1,288
1956;1,242
1957;1,184
1958;1,123
1959;1,066
1960;1,02
1961;0,991
1962;0,978
1963;0,975
1964;0,979
1965;0,986
1966;0,99
1967;0,992
1968;0,99
1969;0,987
1970;0,981
1971;0,975
1972;0,968
1973;0,961
1974;0,951
1975;0,936
1976;0,916
1977;0,888
1978;0,85
1979;0,804
1980;0,755
1981;0,705
1982;0,659
1983;0,622
1984;0,596
1985;0,579
1986;0,568
1987;0,561
1988;0,554
1989;0,545
1990;0,532
1991;0,516
1992;0,497
1993;0,477
1994;0,456
1995;0,434
1996;0,412
1997;0,392
1998;0,373
1999;0,357
2000;0,345
2001;0,34
2002;0,34
2003;0,34
2004;0,34
2005;0,34
2006;0,34
2007;0,341
2008;0,342
2009;0,343
2010;0,342
2011;0,342
2012;0,341
2013;0,34
2014;0,34
2015;0,34
2016;0,34
2017;0,34
2018;0,34
2019;0,34
2020;0,34
2021;0,34
