"KEY";"VALUE"
1849;1,3
1850;1,3
1851;1,3
1852;1,3
1853;1,3
1854;1,3
1855;1,3
1856;1,3
1857;1,3
1858;1,3
1859;1,3
1860;1,3
1861;1,3
1862;1,3
1863;1,3
1864;1,3
1865;1,3
1866;1,3
1867;1,3
1868;1,3
1869;1,3
1870;1,3
1871;1,3
1872;1,3
1873;1,3
1874;1,3
1875;1,3
1876;1,3
1877;1,3
1878;1,3
1879;1,3
1880;1,3
1881;1,3
1882;1,3
1883;1,3
1884;1,3
1885;1,3
1886;1,3
1887;1,3
1888;1,3
1889;1,3
1890;1,3
1891;1,3
1892;1,3
1893;1,3
1894;1,3
1895;1,3
1896;1,3
1897;1,3
1898;1,3
1899;1,3
1900;1,3
1901;1,3
1902;1,3
1903;1,3
1904;1,301
1905;1,301
1906;1,301
1907;1,3
1908;1,298
1909;1,296
1910;1,296
1911;1,3
1912;1,308
1913;1,316
1914;1,315
1915;1,3
1916;1,265
1917;1,21
1918;1,137
1919;1,05
1920;0,953
1921;0,863
1922;0,8
1923;0,778
1924;0,785
1925;0,8
1926;0,808
1927;0,808
1928;0,804
1929;0,8
1930;0,798
1931;0,798
1932;0,799
1933;0,8
1934;0,8
1935;0,799
1936;0,798
1937;0,8
1938;0,804
1939;0,807
1940;0,807
1941;0,8
1942;0,786
1943;0,773
1944;0,774
1945;0,8
1946;0,86
1947;0,952
1948;1,067
1949;1,2
1950;1,343
1951;1,481
1952;1,6
1953;1,6
1954;1,6
1955;1,6
1956;1,386
1957;1,101
1958;0,816
1959;0,6
1960;0,502
1961;0,499
1962;0,546
1963;0,6
1964;0,626
1965;0,627
1966;0,615
1967;0,6
1968;0,592
1969;0,592
1970;0,595
1971;0,6
1972;0,604
1973;0,606
1974;0,605
1975;0,6
1976;0,59
1977;0,577
1978;0,563
1979;0,55
1980;0,538
1981;0,523
1982;0,5
1983;0,466
1984;0,429
1985;0,4
1986;0,4
1987;0,4
1988;0,4
1989;0,4
1990;0,404
1991;0,404
1992;0,402
1993;0,4
1994;0,4
1995;0,4
1996;0,4
1997;0,4
1998;0,4
1999;0,4
2000;0,4
2001;0,4
2002;0,4
2003;0,4
2004;0,4
2005;0,4
2006;0,4
2007;0,4
2008;0,4
2009;0,4
2010;0,4
2011;0,4
2012;0,4
2013;0,4
2014;0,4
2015;0,4
2016;0,4
2017;0,4
2018;0,4
2019;0,4
2020;0,4
2021;0,4
