"KEY";"VALUE"
1849;2,589
1850;2,589
1851;2,6
1852;2,6
1853;2,6
1854;2,6
1855;2,6
1856;2,508
1857;2,365
1858;2,177
1859;1,95
1860;1,697
1861;1,463
1862;1,3
1863;1,244
1864;1,261
1865;1,3
1866;1,32
1867;1,321
1868;1,311
1869;1,3
1870;1,295
1871;1,294
1872;1,297
1873;1,3
1874;1,301
1875;1,302
1876;1,301
1877;1,3
1878;1,3
1879;1,3
1880;1,3
1881;1,3
1882;1,3
1883;1,3
1884;1,3
1885;1,3
1886;1,3
1887;1,3
1888;1,3
1889;1,3
1890;1,3
1891;1,3
1892;1,3
1893;1,3
1894;1,3
1895;1,3
1896;1,3
1897;1,3
1898;1,3
1899;1,3
1900;1,3
1901;1,3
1902;1,3
1903;1,3
1904;1,3
1905;1,3
1906;1,3
1907;1,3
1908;1,3
1909;1,301
1910;1,301
1911;1,3
1912;1,298
1913;1,297
1914;1,297
1915;1,3
1916;1,307
1917;1,318
1918;1,333
1919;1,35
1920;1,369
1921;1,387
1922;1,4
1923;1,404
1924;1,403
1925;1,4
1926;1,398
1927;1,398
1928;1,399
1929;1,4
1930;1,4
1931;1,4
1932;1,4
1933;1,4
1934;1,4
1935;1,4
1936;1,4
1937;1,4
1938;1,4
1939;1,4
1940;1,4
1941;1,4
1942;1,399
1943;1,399
1944;1,399
1945;1,4
1946;1,402
1947;1,404
1948;1,404
1949;1,4
1950;1,392
1951;1,389
1952;1,4
1953;1,428
1954;1,441
1955;1,4
1956;1,28
1957;1,111
1958;0,936
1959;0,8
1960;0,735
1961;0,729
1962;0,759
1963;0,8
1964;0,832
1965;0,847
1966;0,838
1967;0,8
1968;0,731
1969;0,645
1970;0,562
1971;0,5
1972;0,473
1973;0,472
1974;0,486
1975;0,5
1976;0,505
1977;0,504
1978;0,5
1979;0,5
1980;0,506
1981;0,509
1982;0,5
1983;0,471
1984;0,433
1985;0,4
1986;0,385
1987;0,384
1988;0,391
1989;0,4
1990;0,406
1991;0,408
1992;0,406
1993;0,4
1994;0,39
1995;0,378
1996;0,364
1997;0,35
1998;0,337
1999;0,325
2000;0,313
2001;0,3
2002;0,286
2003;0,271
2004;0,259
2005;0,25
2006;0,25
2007;0,25
2008;0,25
2009;0,25
2010;0,251
2011;0,25
2012;0,25
2013;0,25
2014;0,25
2015;0,25
2016;0,25
2017;0,25
2018;0,25
2019;0,25
2020;0,25
2021;0,25
