"KEY";"VALUE"
1849;1,85
1850;1,85
1851;1,85
1852;1,85
1853;1,85
1854;1,85
1855;1,85
1856;1,85
1857;1,85
1858;1,846
1859;1,84
1860;1,834
1861;1,83
1862;1,828
1863;1,828
1864;1,829
1865;1,83
1866;1,83
1867;1,83
1868;1,83
1869;1,83
1870;1,83
1871;1,83
1872;1,83
1873;1,83
1874;1,83
1875;1,83
1876;1,83
1877;1,83
1878;1,83
1879;1,83
1880;1,83
1881;1,83
1882;1,83
1883;1,83
1884;1,83
1885;1,83
1886;1,83
1887;1,83
1888;1,83
1889;1,83
1890;1,83
1891;1,83
1892;1,83
1893;1,83
1894;1,83
1895;1,83
1896;1,83
1897;1,83
1898;1,83
1899;1,83
1900;1,83
1901;1,83
1902;1,83
1903;1,83
1904;1,83
1905;1,83
1906;1,83
1907;1,83
1908;1,831
1909;1,831
1910;1,83
1911;1,827
1912;1,826
1913;1,83
1914;1,84
1915;1,85
1916;1,85
1917;1,83
1918;1,786
1919;1,727
1920;1,67
1921;1,63
1922;1,616
1923;1,621
1924;1,63
1925;1,634
1926;1,633
1927;1,63
1928;1,629
1929;1,629
1930;1,629
1931;1,63
1932;1,63
1933;1,63
1934;1,63
1935;1,63
1936;1,63
1937;1,631
1938;1,63
1939;1,629
1940;1,628
1941;1,63
1942;1,636
1943;1,641
1944;1,641
1945;1,63
1946;1,603
1947;1,562
1948;1,507
1949;1,44
1950;1,365
1951;1,296
1952;1,25
1953;1,237
1954;1,243
1955;1,25
1956;1,241
1957;1,222
1958;1,198
1959;1,18
1960;1,173
1961;1,174
1962;1,18
1963;1,186
1964;1,187
1965;1,18
1966;1,161
1967;1,131
1968;1,095
1969;1,055
1970;1,015
1971;0,977
1972;0,948
1973;0,93
1974;0,926
1975;0,928
1976;0,93
1977;0,923
1978;0,907
1979;0,88
1980;0,843
1981;0,799
1982;0,752
1983;0,705
1984;0,662
1985;0,626
1986;0,598
1987;0,58
1988;0,573
1989;0,574
1990;0,58
1991;0,586
1992;0,587
1993;0,58
1994;0,561
1995;0,534
1996;0,506
1997;0,48
1998;0,462
1999;0,448
2000;0,436
2001;0,42
2002;0,399
2003;0,376
2004;0,36
2005;0,36
2006;0,36
2007;0,36
2008;0,362
2009;0,362
2010;0,361
2011;0,36
2012;0,36
2013;0,36
2014;0,36
2015;0,36
2016;0,36
2017;0,36
2018;0,36
2019;0,36
2020;0,36
2021;0,36
