"KEY";"VALUE"
1849;1,7
1850;1,7
1851;1,7
1852;1,7
1853;1,7
1854;1,7
1855;1,7
1856;1,7
1857;1,7
1858;1,7
1859;1,7
1860;1,7
1861;1,7
1862;1,7
1863;1,7
1864;1,7
1865;1,7
1866;1,7
1867;1,7
1868;1,7
1869;1,7
1870;1,7
1871;1,7
1872;1,7
1873;1,7
1874;1,7
1875;1,7
1876;1,7
1877;1,7
1878;1,7
1879;1,7
1880;1,7
1881;1,7
1882;1,7
1883;1,7
1884;1,7
1885;1,7
1886;1,7
1887;1,7
1888;1,7
1889;1,7
1890;1,7
1891;1,7
1892;1,7
1893;1,7
1894;1,7
1895;1,7
1896;1,7
1897;1,7
1898;1,7
1899;1,7
1900;1,7
1901;1,7
1902;1,7
1903;1,7
1904;1,7
1905;1,7
1906;1,7
1907;1,7
1908;1,7
1909;1,7
1910;1,697
1911;1,695
1912;1,695
1913;1,7
1914;1,7
1915;1,7
1916;1,7
1917;1,662
1918;1,608
1919;1,55
1920;1,498
1921;1,454
1922;1,421
1923;1,4
1924;1,391
1925;1,391
1926;1,395
1927;1,4
1928;1,402
1929;1,402
1930;1,401
1931;1,4
1932;1,399
1933;1,4
1934;1,4
1935;1,4
1936;1,4
1937;1,4
1938;1,399
1939;1,398
1940;1,398
1941;1,4
1942;1,403
1943;1,406
1944;1,406
1945;1,4
1946;1,386
1947;1,364
1948;1,335
1949;1,3
1950;1,261
1951;1,225
1952;1,2
1953;1,191
1954;1,194
1955;1,2
1956;1,203
1957;1,204
1958;1,202
1959;1,2
1960;1,198
1961;1,198
1962;1,198
1963;1,2
1964;1,203
1965;1,204
1966;1,2
1967;1,188
1968;1,17
1969;1,15
1970;1,131
1971;1,116
1972;1,105
1973;1,1
1974;1,101
1975;1,105
1976;1,107
1977;1,1
1978;1,081
1979;1,044
1980;0,985
1981;0,9
1982;0,79
1983;0,68
1984;0,6
1985;0,6
1986;0,6
1987;0,6
1988;0,61
1989;0,61
1990;0,606
1991;0,6
1992;0,6
1993;0,6
1994;0,6
1995;0,6
1996;0,601
1997;0,601
1998;0,6
1999;0,6
2000;0,6
2001;0,6
2002;0,6
2003;0,6
2004;0,6
2005;0,6
2006;0,6
2007;0,6
2008;0,6
2009;0,6
2010;0,6
2011;0,6
2012;0,6
2013;0,6
2014;0,6
2015;0,6
2016;0,6
2017;0,6
2018;0,6
2019;0,6
2020;0,6
2021;0,6
