"KEY";"VALUE"
1849;1,999
1850;2
1851;2,001
1852;2,002
1853;2
1854;1,995
1855;1,992
1856;2
1857;2,023
1858;2,059
1859;2,1
1860;2,141
1861;2,177
1862;2,2
1863;2,2
1864;2,2
1865;2,2
1866;2,198
1867;2,199
1868;2,2
1869;2,2
1870;2,2
1871;2,2
1872;2,2
1873;2,2
1874;2,2
1875;2,2
1876;2,2
1877;2,2
1878;2,2
1879;2,2
1880;2,2
1881;2,2
1882;2,2
1883;2,2
1884;2,2
1885;2,2
1886;2,2
1887;2,2
1888;2,2
1889;2,2
1890;2,2
1891;2,2
1892;2,2
1893;2,2
1894;2,2
1895;2,2
1896;2,2
1897;2,2
1898;2,2
1899;2,2
1900;2,2
1901;2,2
1902;2,2
1903;2,2
1904;2,2
1905;2,2
1906;2,2
1907;2,2
1908;2,2
1909;2,2
1910;2,2
1911;2,196
1912;2,195
1913;2,2
1914;2,2
1915;2,2
1916;2,2
1917;2,141
1918;2,053
1919;1,95
1920;1,847
1921;1,759
1922;1,7
1923;1,681
1924;1,687
1925;1,7
1926;1,705
1927;1,704
1928;1,7
1929;1,699
1930;1,699
1931;1,7
1932;1,7
1933;1,7
1934;1,7
1935;1,7
1936;1,7
1937;1,7
1938;1,701
1939;1,701
1940;1,7
1941;1,696
1942;1,695
1943;1,7
1944;1,713
1945;1,719
1946;1,7
1947;1,642
1948;1,554
1949;1,45
1950;1,345
1951;1,256
1952;1,2
1953;1,188
1954;1,198
1955;1,2
1956;1,174
1957;1,134
1958;1,1
1959;1,088
1960;1,093
1961;1,1
1962;1,101
1963;1,099
1964;1,1
1965;1,106
1966;1,11
1967;1,1
1968;1,07
1969;1,031
1970;1
1971;0,988
1972;0,99
1973;1
1974;1,009
1975;1,011
1976;1
1977;0,972
1978;0,935
1979;0,9
1980;0,873
1981;0,845
1982;0,8
1983;0,731
1984;0,655
1985;0,6
1986;0,582
1987;0,589
1988;0,6
1989;0,601
1990;0,597
1991;0,6
1992;0,614
1993;0,622
1994;0,6
1995;0,536
1996;0,457
1997;0,4
1998;0,389
1999;0,401
2000;0,4
2001;0,36
2002;0,3
2003;0,25
2004;0,25
2005;0,25
2006;0,25
2007;0,255
2008;0,253
2009;0,25
2010;0,25
2011;0,25
2012;0,25
2013;0,25
2014;0,25
2015;0,25
2016;0,25
2017;0,25
2018;0,25
2019;0,25
2020;0,25
2021;0,25
