"KEY";"VALUE"
1849;1,7
1850;1,7
1851;1,7
1852;1,7
1853;1,7
1854;1,7
1855;1,7
1856;1,7
1857;1,7
1858;1,7
1859;1,7
1860;1,7
1861;1,7
1862;1,7
1863;1,7
1864;1,7
1865;1,7
1866;1,7
1867;1,7
1868;1,7
1869;1,7
1870;1,7
1871;1,7
1872;1,7
1873;1,7
1874;1,7
1875;1,7
1876;1,7
1877;1,7
1878;1,7
1879;1,7
1880;1,7
1881;1,7
1882;1,7
1883;1,7
1884;1,7
1885;1,7
1886;1,7
1887;1,7
1888;1,7
1889;1,7
1890;1,7
1891;1,7
1892;1,7
1893;1,7
1894;1,7
1895;1,7
1896;1,7
1897;1,7
1898;1,7
1899;1,7
1900;1,7
1901;1,7
1902;1,7
1903;1,7
1904;1,7
1905;1,7
1906;1,7
1907;1,7
1908;1,7
1909;1,7
1910;1,7
1911;1,7
1912;1,7
1913;1,7
1914;1,7
1915;1,7
1916;1,7
1917;1,7
1918;1,7
1919;1,7
1920;1,7
1921;1,7
1922;1,7
1923;1,7
1924;1,7
1925;1,7
1926;1,7
1927;1,7
1928;1,7
1929;1,7
1930;1,7
1931;1,7
1932;1,7
1933;1,7
1934;1,7
1935;1,7
1936;1,7
1937;1,7
1938;1,7
1939;1,698
1940;1,697
1941;1,7
1942;1,7
1943;1,7
1944;1,7
1945;1,7
1946;1,665
1947;1,61
1948;1,537
1949;1,45
1950;1,353
1951;1,263
1952;1,2
1953;1,178
1954;1,185
1955;1,2
1956;1,208
1957;1,208
1958;1,204
1959;1,2
1960;1,198
1961;1,198
1962;1,2
1963;1,203
1964;1,205
1965;1,2
1966;1,187
1967;1,165
1968;1,136
1969;1,1
1970;1,06
1971;1,024
1972;1
1973;0,994
1974;0,998
1975;1
1976;0,991
1977;0,971
1978;0,94
1979;0,9
1980;0,853
1981;0,802
1982;0,75
1983;0,7
1984;0,656
1985;0,622
1986;0,6
1987;0,592
1988;0,595
1989;0,6
1990;0,604
1991;0,605
1992;0,603
1993;0,6
1994;0,595
1995;0,594
1996;0,6
1997;0,615
1998;0,621
1999;0,6
2000;0,537
2001;0,45
2002;0,363
2003;0,3
2004;0,3
2005;0,3
2006;0,3
2007;0,306
2008;0,304
2009;0,3
2010;0,3
2011;0,3
2012;0,3
2013;0,3
2014;0,301
2015;0,301
2016;0,3
2017;0,3
2018;0,3
2019;0,3
2020;0,3
2021;0,3
