"KEY";"VALUE"
1849;2
1850;2
1851;1,998
1852;1,997
1853;2
1854;2
1855;2
1856;2
1857;1,965
1858;1,912
1859;1,85
1860;1,788
1861;1,735
1862;1,7
1863;1,688
1864;1,692
1865;1,7
1866;1,703
1867;1,702
1868;1,7
1869;1,699
1870;1,699
1871;1,7
1872;1,7
1873;1,7
1874;1,7
1875;1,7
1876;1,7
1877;1,7
1878;1,7
1879;1,7
1880;1,7
1881;1,7
1882;1,7
1883;1,7
1884;1,7
1885;1,7
1886;1,7
1887;1,7
1888;1,7
1889;1,7
1890;1,7
1891;1,7
1892;1,7
1893;1,7
1894;1,7
1895;1,7
1896;1,7
1897;1,7
1898;1,7
1899;1,7
1900;1,7
1901;1,7
1902;1,7
1903;1,7
1904;1,7
1905;1,7
1906;1,7
1907;1,7
1908;1,7
1909;1,7
1910;1,7
1911;1,7
1912;1,7
1913;1,7
1914;1,7
1915;1,7
1916;1,7
1917;1,7
1918;1,7
1919;1,7
1920;1,7
1921;1,7
1922;1,7
1923;1,7
1924;1,7
1925;1,7
1926;1,7
1927;1,7
1928;1,7
1929;1,7
1930;1,7
1931;1,7
1932;1,7
1933;1,7
1934;1,7
1935;1,7
1936;1,7
1937;1,7
1938;1,701
1939;1,701
1940;1,7
1941;1,698
1942;1,697
1943;1,7
1944;1,708
1945;1,711
1946;1,7
1947;1,666
1948;1,613
1949;1,55
1950;1,485
1951;1,431
1952;1,4
1953;1,398
1954;1,4
1955;1,381
1956;1,344
1957;1,3
1958;1,259
1959;1,224
1960;1,2
1961;1,188
1962;1,189
1963;1,2
1964;1,218
1965;1,224
1966;1,2
1967;1,13
1968;1,025
1969;0,9
1970;0,772
1971;0,664
1972;0,6
1973;0,591
1974;0,6
1975;0,591
1976;0,58
1977;0,6
1978;0,667
1979;0,749
1980;0,8
1981;0,787
1982;0,727
1983;0,65
1984;0,583
1985;0,532
1986;0,5
1987;0,488
1988;0,491
1989;0,5
1990;0,508
1991;0,51
1992;0,5
1993;0,476
1994;0,441
1995;0,4
1996;0,358
1997;0,322
1998;0,3
1999;0,3
2000;0,3
2001;0,302
2002;0,301
2003;0,3
2004;0,3
2005;0,3
2006;0,3
2007;0,3
2008;0,3
2009;0,3
2010;0,3
2011;0,3
2012;0,3
2013;0,3
2014;0,3
2015;0,3
2016;0,3
2017;0,3
2018;0,3
2019;0,3
2020;0,3
2021;0,3
