"KEY";"VALUE"
1849;3,3
1850;3,3
1851;3,299
1852;3,298
1853;3,3
1854;3,305
1855;3,308
1856;3,3
1857;3,277
1858;3,242
1859;3,2
1860;3,158
1861;3,122
1862;3,1
1863;3,096
1864;3,1
1865;3,102
1866;3,101
1867;3,1
1868;3,099
1869;3,1
1870;3,1
1871;3,1
1872;3,1
1873;3,1
1874;3,1
1875;3,1
1876;3,1
1877;3,1
1878;3,1
1879;3,1
1880;3,1
1881;3,1
1882;3,1
1883;3,1
1884;3,1
1885;3,1
1886;3,1
1887;3,1
1888;3,1
1889;3,1
1890;3,1
1891;3,1
1892;3,1
1893;3,1
1894;3,1
1895;3,1
1896;3,1
1897;3,1
1898;3,1
1899;3,1
1900;3,1
1901;3,1
1902;3,1
1903;3,1
1904;3,1
1905;3,1
1906;3,1
1907;3,1
1908;3,1
1909;3,099
1910;3,1
1911;3,103
1912;3,104
1913;3,1
1914;3,09
1915;3,085
1916;3,1
1917;3,146
1918;3,217
1919;3,3
1920;3,385
1921;3,456
1922;3,5
1923;3,508
1924;3,5
1925;3,496
1926;3,497
1927;3,5
1928;3,501
1929;3,501
1930;3,5
1931;3,5
1932;3,5
1933;3,5
1934;3,5
1935;3,5
1936;3,5
1937;3,5
1938;3,5
1939;3,5
1940;3,5
1941;3,5
1942;3,5
1943;3,5
1944;3,5
1945;3,5
1946;3,5
1947;3,5
1948;3,501
1949;3,5
1950;3,499
1951;3,498
1952;3,5
1953;3,504
1954;3,5
1955;3,478
1956;3,443
1957;3,4
1958;3,357
1959;3,322
1960;3,3
1961;3,296
1962;3,3
1963;3,302
1964;3,301
1965;3,3
1966;3,3
1967;3,3
1968;3,3
1969;3,3
1970;3,3
1971;3,302
1972;3,303
1973;3,3
1974;3,291
1975;3,287
1976;3,3
1977;3,34
1978;3,407
1979;3,5
1980;3,609
1981;3,693
1982;3,7
1983;3,608
1984;3,5
1985;3,462
1986;3,476
1987;3,5
1988;3,502
1989;3,494
1990;3,5
1991;3,524
1992;3,5
1993;3,364
1994;3,139
1995;2,865
1996;2,588
1997;2,359
1998;2,23
1999;2,223
2000;2,23
2001;2,148
2002;2,014
2003;1,9
2004;1,9
2005;1,9
2006;1,9
2007;1,911
2008;1,907
2009;1,9
2010;1,9
2011;1,9
2012;1,9
2013;1,9
2014;1,9
2015;1,9
2016;1,9
2017;1,9
2018;1,9
2019;1,9
2020;1,9
2021;1,9
