"KEY";"VALUE"
1849;3,5
1850;3,5
1851;3,5
1852;3,5
1853;3,5
1854;3,5
1855;3,5
1856;3,5
1857;3,5
1858;3,5
1859;3,5
1860;3,5
1861;3,5
1862;3,5
1863;3,5
1864;3,5
1865;3,5
1866;3,5
1867;3,5
1868;3,5
1869;3,5
1870;3,5
1871;3,5
1872;3,5
1873;3,5
1874;3,5
1875;3,5
1876;3,5
1877;3,5
1878;3,5
1879;3,5
1880;3,5
1881;3,5
1882;3,5
1883;3,5
1884;3,5
1885;3,5
1886;3,5
1887;3,5
1888;3,5
1889;3,5
1890;3,5
1891;3,5
1892;3,5
1893;3,5
1894;3,5
1895;3,5
1896;3,5
1897;3,5
1898;3,5
1899;3,5
1900;3,5
1901;3,5
1902;3,5
1903;3,5
1904;3,5
1905;3,5
1906;3,5
1907;3,5
1908;3,5
1909;3,5
1910;3,5
1911;3,5
1912;3,5
1913;3,5
1914;3,5
1915;3,5
1916;3,5
1917;3,5
1918;3,5
1919;3,5
1920;3,5
1921;3,5
1922;3,5
1923;3,5
1924;3,5
1925;3,5
1926;3,5
1927;3,5
1928;3,5
1929;3,5
1930;3,5
1931;3,5
1932;3,5
1933;3,5
1934;3,5
1935;3,5
1936;3,5
1937;3,5
1938;3,5
1939;3,5
1940;3,5
1941;3,5
1942;3,5
1943;3,5
1944;3,5
1945;3,5
1946;3,5
1947;3,5
1948;3,5
1949;3,5
1950;3,5
1951;3,5
1952;3,5
1953;3,5
1954;3,5
1955;3,5
1956;3,499
1957;3,5
1958;3,5
1959;3,5
1960;3,5
1961;3,494
1962;3,492
1963;3,5
1964;3,5
1965;3,5
1966;3,5
1967;3,407
1968;3,267
1969;3,1
1970;2,931
1971;2,788
1972;2,7
1973;2,684
1974;2,702
1975;2,7
1976;2,651
1977;2,621
1978;2,7
1979;2,942
1980;3,252
1981;3,5
1982;3,5
1983;3,5
1984;3,5
1985;3,466
1986;3,469
1987;3,5
1988;3,5
1989;3,5
1990;3,5
1991;3,323
1992;3,058
1993;2,75
1994;2,441
1995;2,176
1996;2
1997;1,941
1998;1,96
1999;2
2000;2,017
2001;2,013
2002;2
2003;1,992
2004;2
2005;2,028
2006;2,042
2007;2
2008;1,878
2009;1,723
2010;1,6
2011;1,6
2012;1,6
2013;1,6
2014;1,611
2015;1,608
2016;1,6
2017;1,6
2018;1,6
2019;1,6
2020;1,601
2021;1,601
