"KEY";"VALUE"
1849;3,5
1850;3,5
1851;3,5
1852;3,5
1853;3,487
1854;3,5
1855;3,5
1856;3,5
1857;3,5
1858;3,245
1859;2,93
1860;2,7
1861;2,655
1862;2,7
1863;2,722
1864;2,715
1865;2,7
1866;2,694
1867;2,696
1868;2,7
1869;2,701
1870;2,7
1871;2,7
1872;2,7
1873;2,7
1874;2,7
1875;2,7
1876;2,7
1877;2,7
1878;2,7
1879;2,7
1880;2,7
1881;2,7
1882;2,7
1883;2,7
1884;2,7
1885;2,7
1886;2,7
1887;2,7
1888;2,7
1889;2,7
1890;2,7
1891;2,7
1892;2,7
1893;2,7
1894;2,7
1895;2,7
1896;2,7
1897;2,7
1898;2,7
1899;2,7
1900;2,7
1901;2,7
1902;2,7
1903;2,7
1904;2,7
1905;2,7
1906;2,7
1907;2,7
1908;2,7
1909;2,701
1910;2,7
1911;2,696
1912;2,694
1913;2,7
1914;2,715
1915;2,722
1916;2,7
1917;2,655
1918;2,7
1919;2,93
1920;3,245
1921;3,5
1922;3,5
1923;3,5
1924;3,5
1925;3,487
1926;3,5
1927;3,5
1928;3,5
1929;3,5
1930;3,498
1931;3,499
1932;3,5
1933;3,5
1934;3,5
1935;3,5
1936;3,5
1937;3,5
1938;3,5
1939;3,5
1940;3,5
1941;3,5
1942;3,5
1943;3,5
1944;3,5
1945;3,5
1946;3,499
1947;3,498
1948;3,5
1949;3,5
1950;3,5
1951;3,488
1952;3,5
1953;3,5
1954;3,5
1955;3,5
1956;3,245
1957;2,93
1958;2,7
1959;2,655
1960;2,7
1961;2,718
1962;2,709
1963;2,7
1964;2,709
1965;2,718
1966;2,7
1967;2,655
1968;2,7
1969;2,929
1970;3,245
1971;3,5
1972;3,5
1973;3,5
1974;3,5
1975;3,487
1976;3,5
1977;3,5
1978;3,5
1979;3,5
1980;3,499
1981;3,499
1982;3,5
1983;3,5
1984;3,5
1985;3,5
1986;3,5
1987;3,5
1988;3,49
1989;3,484
1990;3,5
1991;3,5
1992;3,5
1993;3,329
1994;3,045
1995;2,7
1996;2,35
1997;2,06
1998;1,9
1999;1,896
2000;1,9
2001;1,772
2002;1,57
2003;1,4
2004;1,4
2005;1,4
2006;1,4
2007;1,409
2008;1,4
2009;1,4
2010;1,4
2011;1,4
2012;1,401
2013;1,401
2014;1,4
2015;1,4
2016;1,4
2017;1,4
2018;1,4
2019;1,4
2020;1,4
2021;1,4
