"KEY";"VALUE"
1849;2,7
1850;2,7
1851;2,7
1852;2,7
1853;2,7
1854;2,7
1855;2,7
1856;2,7
1857;2,7
1858;2,7
1859;2,7
1860;2,7
1861;2,7
1862;2,7
1863;2,7
1864;2,7
1865;2,7
1866;2,7
1867;2,7
1868;2,7
1869;2,7
1870;2,7
1871;2,7
1872;2,7
1873;2,7
1874;2,7
1875;2,7
1876;2,7
1877;2,7
1878;2,7
1879;2,7
1880;2,7
1881;2,7
1882;2,7
1883;2,7
1884;2,7
1885;2,7
1886;2,7
1887;2,7
1888;2,7
1889;2,7
1890;2,7
1891;2,7
1892;2,7
1893;2,7
1894;2,7
1895;2,7
1896;2,7
1897;2,7
1898;2,7
1899;2,7
1900;2,7
1901;2,7
1902;2,7
1903;2,7
1904;2,7
1905;2,7
1906;2,7
1907;2,701
1908;2,7
1909;2,699
1910;2,698
1911;2,7
1912;2,705
1913;2,708
1914;2,7
1915;2,683
1916;2,7
1917;2,788
1918;2,931
1919;3,1
1920;3,267
1921;3,407
1922;3,5
1923;3,5
1924;3,5
1925;3,5
1926;3,492
1927;3,495
1928;3,5
1929;3,5
1930;3,5
1931;3,499
1932;3,5
1933;3,5
1934;3,5
1935;3,5
1936;3,5
1937;3,5
1938;3,5
1939;3,5
1940;3,5
1941;3,5
1942;3,5
1943;3,5
1944;3,5
1945;3,5
1946;3,5
1947;3,5
1948;3,5
1949;3,5
1950;3,5
1951;3,5
1952;3,5
1953;3,5
1954;3,5
1955;3,5
1956;3,5
1957;3,5
1958;3,5
1959;3,5
1960;3,5
1961;3,5
1962;3,5
1963;3,5
1964;3,5
1965;3,5
1966;3,5
1967;3,5
1968;3,5
1969;3,5
1970;3,5
1971;3,5
1972;3,5
1973;3,5
1974;3,5
1975;3,5
1976;3,5
1977;3,5
1978;3,5
1979;3,5
1980;3,5
1981;3,5
1982;3,499
1983;3,499
1984;3,5
1985;3,5
1986;3,5
1987;3,488
1988;3,481
1989;3,5
1990;3,5
1991;3,5
1992;3,5
1993;3,282
1994;2,948
1995;2,55
1996;2,143
1997;1,8
1998;1,6
1999;1,578
2000;1,6
2001;1,533
2002;1,409
2003;1,3
2004;1,3
2005;1,3
2006;1,3
2007;1,31
2008;1,307
2009;1,3
2010;1,3
2011;1,3
2012;1,3
2013;1,3
2014;1,3
2015;1,3
2016;1,3
2017;1,3
2018;1,3
2019;1,3
2020;1,3
2021;1,3
