"KEY";"VALUE"
1849;3,5
1850;3,5
1851;3,5
1852;3,5
1853;3,5
1854;3,5
1855;3,5
1856;3,5
1857;3,5
1858;3,5
1859;3,5
1860;3,5
1861;3,5
1862;3,5
1863;3,5
1864;3,5
1865;3,5
1866;3,5
1867;3,5
1868;3,5
1869;3,5
1870;3,5
1871;3,5
1872;3,5
1873;3,5
1874;3,5
1875;3,5
1876;3,5
1877;3,5
1878;3,5
1879;3,5
1880;3,5
1881;3,5
1882;3,5
1883;3,5
1884;3,5
1885;3,5
1886;3,5
1887;3,5
1888;3,5
1889;3,5
1890;3,5
1891;3,5
1892;3,5
1893;3,5
1894;3,5
1895;3,5
1896;3,5
1897;3,5
1898;3,5
1899;3,5
1900;3,5
1901;3,5
1902;3,5
1903;3,5
1904;3,5
1905;3,5
1906;3,5
1907;3,5
1908;3,5
1909;3,5
1910;3,5
1911;3,5
1912;3,5
1913;3,5
1914;3,5
1915;3,5
1916;3,5
1917;3,5
1918;3,5
1919;3,5
1920;3,5
1921;3,5
1922;3,5
1923;3,5
1924;3,5
1925;3,5
1926;3,5
1927;3,5
1928;3,5
1929;3,5
1930;3,5
1931;3,5
1932;3,5
1933;3,5
1934;3,5
1935;3,5
1936;3,5
1937;3,5
1938;3,5
1939;3,5
1940;3,5
1941;3,5
1942;3,5
1943;3,5
1944;3,5
1945;3,5
1946;3,5
1947;3,5
1948;3,5
1949;3,5
1950;3,5
1951;3,5
1952;3,5
1953;3,5
1954;3,5
1955;3,5
1956;3,5
1957;3,5
1958;3,5
1959;3,5
1960;3,5
1961;3,5
1962;3,5
1963;3,5
1964;3,5
1965;3,5
1966;3,5
1967;3,501
1968;3,502
1969;3,5
1970;3,496
1971;3,494
1972;3,5
1973;3,513
1974;3,5
1975;3,441
1976;3,41
1977;3,5
1978;3,765
1979;4,086
1980;4,3
1981;4,291
1982;4,122
1983;3,9
1984;3,715
1985;3,582
1986;3,5
1987;3,464
1988;3,467
1989;3,5
1990;3,548
1991;3,565
1992;3,5
1993;3,316
1994;3,036
1995;2,7
1996;2,353
1997;2,062
1998;1,9
1999;1,895
2000;1,9
2001;1,773
2002;1,571
2003;1,4
2004;1,4
2005;1,4
2006;1,4
2007;1,416
2008;1,411
2009;1,4
2010;1,4
2011;1,4
2012;1,4
2013;1,401
2014;1,401
2015;1,4
2016;1,4
2017;1,4
2018;1,4
2019;1,4
2020;1,4
2021;1,4
