"KEY";"VALUE"
1849;0,074
1850;0,074
1851;0,074
1852;0,073
1853;0,073
1854;0,073
1855;0,074
1856;0,076
1857;0,08
1858;0,085
1859;0,092
1860;0,098
1861;0,105
1862;0,109
1863;0,111
1864;0,11
1865;0,109
1866;0,108
1867;0,108
1868;0,109
1869;0,109
1870;0,109
1871;0,109
1872;0,109
1873;0,109
1874;0,109
1875;0,109
1876;0,109
1877;0,109
1878;0,109
1879;0,109
1880;0,109
1881;0,109
1882;0,109
1883;0,109
1884;0,109
1885;0,109
1886;0,109
1887;0,109
1888;0,109
1889;0,109
1890;0,109
1891;0,109
1892;0,109
1893;0,109
1894;0,109
1895;0,109
1896;0,109
1897;0,109
1898;0,109
1899;0,109
1900;0,109
1901;0,109
1902;0,109
1903;0,109
1904;0,109
1905;0,109
1906;0,109
1907;0,109
1908;0,109
1909;0,108
1910;0,108
1911;0,109
1912;0,11
1913;0,111
1914;0,111
1915;0,109
1916;0,104
1917;0,097
1918;0,088
1919;0,076
1920;0,063
1921;0,051
1922;0,043
1923;0,04
1924;0,041
1925;0,043
1926;0,044
1927;0,044
1928;0,044
1929;0,043
1930;0,043
1931;0,043
1932;0,043
1933;0,043
1934;0,043
1935;0,043
1936;0,043
1937;0,043
1938;0,043
1939;0,043
1940;0,043
1941;0,043
1942;0,043
1943;0,043
1944;0,043
1945;0,043
1946;0,042
1947;0,04
1948;0,038
1949;0,036
1950;0,035
1951;0,032
1952;0,03
1953;0,027
1954;0,027
1955;0,03
1956;0,039
1957;0,051
1958;0,063
1959;0,073
1960;0,078
1961;0,079
1962;0,077
1963;0,073
1964;0,069
1965;0,066
1966;0,067
1967;0,073
1968;0,085
1969;0,101
1970;0,117
1971;0,129
1972;0,129
1973;0,129
1974;0,129
1975;0,129
1976;0,123
1977;0,116
1978;0,107
1979;0,096
1980;0,084
1981;0,072
1982;0,063
1983;0,059
1984;0,058
1985;0,059
1986;0,059
1987;0,058
1988;0,058
1989;0,059
1990;0,061
1991;0,063
1992;0,063
1993;0,059
1994;0,049
1995;0,037
1996;0,024
1997;0,015
1998;0,015
1999;0,015
2000;0,017
2001;0,022
2002;0,025
2003;0,027
2004;0,029
2005;0,029
2006;0,029
2007;0,029
2008;0,029
2009;0,029
2010;0,029
2011;0,029
2012;0,029
2013;0,029
2014;0,029
2015;0,029
2016;0,029
2017;0,029
2018;0,029
2019;0,029
2020;0,029
2021;0,029
