"KEY";"VALUE"
1849;0,047
1850;0,047
1851;0,047
1852;0,047
1853;0,047
1854;0,047
1855;0,047
1856;0,046
1857;0,046
1858;0,045
1859;0,044
1860;0,042
1861;0,041
1862;0,041
1863;0,04
1864;0,04
1865;0,04
1866;0,04
1867;0,04
1868;0,04
1869;0,04
1870;0,04
1871;0,04
1872;0,04
1873;0,04
1874;0,04
1875;0,04
1876;0,04
1877;0,04
1878;0,04
1879;0,04
1880;0,04
1881;0,04
1882;0,04
1883;0,04
1884;0,04
1885;0,04
1886;0,04
1887;0,04
1888;0,04
1889;0,04
1890;0,04
1891;0,04
1892;0,04
1893;0,04
1894;0,04
1895;0,04
1896;0,04
1897;0,04
1898;0,04
1899;0,04
1900;0,04
1901;0,04
1902;0,04
1903;0,04
1904;0,04
1905;0,04
1906;0,04
1907;0,04
1908;0,04
1909;0,04
1910;0,04
1911;0,04
1912;0,04
1913;0,039
1914;0,039
1915;0,04
1916;0,041
1917;0,044
1918;0,046
1919;0,049
1920;0,052
1921;0,054
1922;0,057
1923;0,058
1924;0,059
1925;0,059
1926;0,058
1927;0,058
1928;0,058
1929;0,058
1930;0,058
1931;0,058
1932;0,058
1933;0,058
1934;0,058
1935;0,058
1936;0,058
1937;0,058
1938;0,058
1939;0,058
1940;0,058
1941;0,058
1942;0,058
1943;0,058
1944;0,059
1945;0,059
1946;0,061
1947;0,063
1948;0,066
1949;0,07
1950;0,074
1951;0,078
1952;0,081
1953;0,083
1954;0,083
1955;0,081
1956;0,077
1957;0,074
1958;0,071
1959;0,068
1960;0,066
1961;0,065
1962;0,066
1963;0,067
1964;0,067
1965;0,065
1966;0,06
1967;0,053
1968;0,045
1969;0,036
1970;0,028
1971;0,02
1972;0,013
1973;0,007
1974;0,007
1975;0,007
1976;0,007
1977;0,007
1978;0,02
1979;0,037
1980;0,052
1981;0,062
1982;0,064
1983;0,059
1984;0,052
1985;0,046
1986;0,043
1987;0,044
1988;0,045
1989;0,046
1990;0,045
1991;0,044
1992;0,044
1993;0,046
1994;0,051
1995;0,058
1996;0,064
1997;0,068
1998;0,068
1999;0,065
2000;0,06
2001;0,055
2002;0,05
2003;0,047
2004;0,044
2005;0,042
2006;0,041
2007;0,041
2008;0,042
2009;0,042
2010;0,042
2011;0,042
2012;0,042
2013;0,042
2014;0,042
2015;0,042
2016;0,042
2017;0,042
2018;0,042
2019;0,042
2020;0,042
2021;0,042
