"KEY";"VALUE"
1849;0,03
1850;0,03
1851;0,03
1852;0,03
1853;0,031
1854;0,031
1855;0,03
1856;0,028
1857;0,026
1858;0,023
1859;0,02
1860;0,017
1861;0,014
1862;0,012
1863;0,01
1864;0,009
1865;0,009
1866;0,01
1867;0,01
1868;0,01
1869;0,01
1870;0,01
1871;0,01
1872;0,01
1873;0,01
1874;0,01
1875;0,01
1876;0,01
1877;0,01
1878;0,01
1879;0,01
1880;0,01
1881;0,01
1882;0,01
1883;0,01
1884;0,01
1885;0,01
1886;0,01
1887;0,01
1888;0,01
1889;0,01
1890;0,01
1891;0,01
1892;0,01
1893;0,01
1894;0,01
1895;0,01
1896;0,01
1897;0,01
1898;0,01
1899;0,01
1900;0,01
1901;0,01
1902;0,01
1903;0,01
1904;0,01
1905;0,01
1906;0,01
1907;0,01
1908;0,01
1909;0,01
1910;0,01
1911;0,01
1912;0,009
1913;0,008
1914;0,008
1915;0,01
1916;0,014
1917;0,02
1918;0,027
1919;0,035
1920;0,043
1921;0,05
1922;0,056
1923;0,06
1924;0,062
1925;0,062
1926;0,061
1927;0,06
1928;0,06
1929;0,06
1930;0,06
1931;0,06
1932;0,06
1933;0,06
1934;0,06
1935;0,06
1936;0,06
1937;0,06
1938;0,06
1939;0,06
1940;0,06
1941;0,059
1942;0,059
1943;0,06
1944;0,061
1945;0,064
1946;0,07
1947;0,078
1948;0,09
1949;0,106
1950;0,123
1951;0,138
1952;0,148
1953;0,15
1954;0,141
1955;0,123
1956;0,1
1957;0,075
1958;0,051
1959;0,029
1960;0,012
1961;0
1962;0
1963;0
1964;0
1965;0
1966;0,001
1967;0,001
1968;0,001
1969;0
1970;0
1971;0
1972;0
1973;0
1974;0
1975;0,001
1976;0,001
1977;0
1978;0
1979;0
1980;0,002
1981;0,01
1982;0,024
1983;0,041
1984;0,058
1985;0,07
1986;0,075
1987;0,076
1988;0,073
1989;0,07
1990;0,069
1991;0,069
1992;0,07
1993;0,07
1994;0,069
1995;0,067
1996;0,063
1997;0,06
1998;0,056
1999;0,053
2000;0,049
2001;0,045
2002;0,041
2003;0,036
2004;0,033
2005;0,03
2006;0,029
2007;0,029
2008;0,029
2009;0,03
2010;0,03
2011;0,03
2012;0,03
2013;0,03
2014;0,03
2015;0,03
2016;0,03
2017;0,03
2018;0,03
2019;0,03
2020;0,03
2021;0,03
