"KEY";"VALUE"
1849;0,02
1850;0,02
1851;0,02
1852;0,02
1853;0,02
1854;0,02
1855;0,02
1856;0,019
1857;0,018
1858;0,017
1859;0,015
1860;0,013
1861;0,012
1862;0,011
1863;0,01
1864;0,01
1865;0,01
1866;0,01
1867;0,01
1868;0,01
1869;0,01
1870;0,01
1871;0,01
1872;0,01
1873;0,01
1874;0,01
1875;0,01
1876;0,01
1877;0,01
1878;0,01
1879;0,01
1880;0,01
1881;0,01
1882;0,01
1883;0,01
1884;0,01
1885;0,01
1886;0,01
1887;0,01
1888;0,01
1889;0,01
1890;0,01
1891;0,01
1892;0,01
1893;0,01
1894;0,01
1895;0,01
1896;0,01
1897;0,01
1898;0,01
1899;0,01
1900;0,01
1901;0,01
1902;0,01
1903;0,01
1904;0,01
1905;0,01
1906;0,01
1907;0,01
1908;0,01
1909;0,01
1910;0,01
1911;0,01
1912;0,01
1913;0,01
1914;0,01
1915;0,01
1916;0,013
1917;0,018
1918;0,024
1919;0,03
1920;0,036
1921;0,042
1922;0,047
1923;0,05
1924;0,051
1925;0,051
1926;0,051
1927;0,05
1928;0,05
1929;0,05
1930;0,05
1931;0,05
1932;0,05
1933;0,05
1934;0,05
1935;0,05
1936;0,05
1937;0,05
1938;0,05
1939;0,05
1940;0,05
1941;0,05
1942;0,05
1943;0,05
1944;0,05
1945;0,049
1946;0,048
1947;0,046
1948;0,043
1949;0,04
1950;0,036
1951;0,032
1952;0,03
1953;0,03
1954;0,033
1955;0,037
1956;0,043
1957;0,05
1958;0,056
1959;0,062
1960;0,066
1961;0,07
1962;0,07
1963;0,07
1964;0,07
1965;0,07
1966;0,066
1967;0,062
1968;0,056
1969;0,05
1970;0,044
1971;0,038
1972;0,033
1973;0,03
1974;0,029
1975;0,029
1976;0,03
1977;0,03
1978;0,029
1979;0,026
1980;0,023
1981;0,02
1982;0,017
1983;0,014
1984;0,011
1985;0,01
1986;0,01
1987;0,01
1988;0,01
1989;0,01
1990;0,01
1991;0,01
1992;0,01
1993;0,01
1994;0,017
1995;0,026
1996;0,034
1997;0,04
1998;0,041
1999;0,039
2000;0,035
2001;0,03
2002;0,026
2003;0,023
2004;0,021
2005;0,02
2006;0,019
2007;0,019
2008;0,02
2009;0,02
2010;0,02
2011;0,02
2012;0,02
2013;0,02
2014;0,02
2015;0,02
2016;0,02
2017;0,02
2018;0,02
2019;0,02
2020;0,02
2021;0,02
