YoC;UValWall;UValWindow;UValRoof;UValFlatroof;UValTopCeil;UValLowCeil;UValGround;AVG
1880;2,0;5;3,2;3,2;1,6;1,6;2,9;2,75
1900;2,0;5;3,2;3,2;1,6;1,6;2,9;2,75
1916;2,0;5;3,2;3,2;1,6;1,6;2,9;2,75
1922;2,0;5;3,2;3,2;1,6;1,6;2,0;2,6
1946;2,0;4,5;3,2;3,2;1,6;1,6;2,0;2,53333333333333
1952;1,9;4,5;1,9;1,9;2,1;1,6;2,3;2,31333333333333
1955;1,9;4,5;1,9;1,9;2,1;1,6;2,3;2,31333333333333
1961;1,7;4,5;1,9;1,6;1,5;1,5;1,3;2,015
1965;1,7;4,5;1,9;1,6;1,5;1,5;1,3;2,015
1972;1,4;4;0,8;1,23;1,1;1,1;0,98;1,6125
1975;1,4;4;0,8;1,23;1,1;1,1;0,98;1,6125
1980;1,45;3,5;0,65;0,8;0,76;0,8;0,98;1,52416666666667
1982;1,45;3,5;0,65;0,8;0,76;0,8;0,98;1,52416666666667
1988;1,20;3,5;0,52;0,57;0,56;0,69;0,66;1,3075
1991;1,20;3;0,52;0,57;0,56;0,69;0,66;1,24083333333333
1997;0,5;2,5;0,3;0,3;0,3;0,5;0,5;0,733333333333333
2005;0,5;2;0,3;0,3;0,3;0,5;0,5;0,666666666666667
2010;0,26;2;0,3;0,3;0,3;0,26;0,26;0,498666666666667
2015;0,26;1,7;0,2;0,2;0,2;0,26;0,26;0,442
2020;0,26;1,7;0,2;0,2;0,2;0,26;0,26;0,442
2050;0,26;1,7;0,2;0,2;0,2;0,26;0,26;0,442
