YoC;UValEFH;UValRH;UValMFH;UValGMH;UValAVG
1900;1,31;0,78;1,79;2,06;1,49
1901;1,31;0,78;1,79;2,06;1,49
1902;1,31;0,78;1,79;2,06;1,49
1903;1,31;0,78;1,79;2,06;1,49
1904;1,31;0,78;1,79;2,06;1,49
1905;1,31;0,78;1,79;2,06;1,49
1906;1,31;0,78;1,79;2,06;1,49
1907;1,31;0,78;1,79;2,06;1,49
1908;1,31;0,78;1,79;2,06;1,49
1909;1,31;0,78;1,79;2,06;1,49
1910;1,31;0,78;1,79;2,06;1,49
1911;1,31;0,78;1,79;2,06;1,49
1912;1,31;0,78;1,79;2,06;1,49
1913;1,31;0,78;1,79;2,06;1,49
1914;1,31;0,78;1,79;2,06;1,49
1915;1,31;0,78;1,79;2,06;1,49
1916;1,31;0,78;1,79;2,06;1,49
1917;1,28;0,78;1,73;1,92;1,43
1918;1,21;0,78;1,61;1,63;1,31
1919;1,11;0,78;1,43;1,21;1,13
1920;1,04;0,78;1,31;0,92;1,01
1921;1,00;0,78;1,25;0,78;0,95
1922;1,00;0,78;1,25;0,78;0,95
1923;1,00;0,78;1,25;0,78;0,95
1924;1,00;0,78;1,25;0,78;0,95
1925;1,00;0,78;1,25;0,78;0,95
1926;1,00;0,78;1,25;0,78;0,95
1927;1,00;0,78;1,25;0,78;0,95
1928;1,00;0,78;1,25;0,78;0,95
1929;1,00;0,78;1,25;0,78;0,95
1930;1,00;0,78;1,25;0,78;0,95
1931;1,00;0,78;1,25;0,78;0,95
1932;1,00;0,78;1,25;0,78;0,95
1933;1,00;0,78;1,25;0,78;0,95
1934;1,00;0,78;1,25;0,78;0,95
1935;1,00;0,78;1,25;0,78;0,95
1936;1,00;0,78;1,25;0,78;0,95
1937;1,00;0,78;1,25;0,78;0,95
1938;1,00;0,78;1,25;0,78;0,95
1939;1,00;0,78;1,25;0,78;0,95
1940;1,00;0,78;1,25;0,78;0,95
1941;1,00;0,78;1,25;0,78;0,95
1942;1,00;0,78;1,25;0,78;0,95
1943;1,00;0,78;1,25;0,78;0,95
1944;1,00;0,78;1,25;0,78;0,95
1945;1,00;0,78;1,25;0,78;0,95
1946;1,00;0,78;1,25;0,78;0,95
1947;1,01;0,78;1,23;0,92;0,99
1948;1,01;0,78;1,19;1,21;1,05
1949;1,02;0,78;1,12;1,65;1,14
1950;1,03;0,78;1,08;1,94;1,20
1951;1,03;0,78;1,06;2,08;1,24
1952;1,03;0,78;1,06;2,08;1,24
1953;1,03;0,78;1,06;2,08;1,24
1954;1,03;0,78;1,06;2,08;1,24
1955;1,03;0,78;1,06;2,08;1,24
1956;1,01;0,83;1,13;1,93;1,23
1957;0,97;0,93;1,28;1,64;1,20
1958;0,91;1,08;1,50;1,19;1,17
1959;0,87;1,18;1,65;0,90;1,15
1960;0,85;1,23;1,72;0,75;1,14
1961;0,85;1,23;1,72;0,75;1,14
1962;0,85;1,23;1,72;0,75;1,14
1963;0,85;1,23;1,72;0,75;1,14
1964;0,85;1,23;1,72;0,75;1,14
1965;0,85;1,23;1,72;0,75;1,14
1966;0,85;1,23;1,72;0,75;1,14
1967;0,81;1,15;1,59;0,76;1,08
1968;0,75;0,99;1,34;0,77;0,96
1969;0,64;0,76;0,97;0,80;0,79
1970;0,58;0,60;0,72;0,81;0,68
1971;0,54;0,52;0,59;0,82;0,62
1972;0,54;0,52;0,59;0,82;0,62
1973;0,54;0,52;0,59;0,82;0,62
1974;0,54;0,52;0,59;0,82;0,62
1975;0,54;0,52;0,59;0,82;0,62
1976;0,54;0,52;0,59;0,82;0,62
1977;0,53;0,51;0,57;0,82;0,61
1978;0,50;0,49;0,54;0,82;0,59
1979;0,46;0,46;0,49;0,82;0,56
1980;0,43;0,44;0,46;0,82;0,54
1981;0,42;0,43;0,44;0,83;0,53
1982;0,40;0,41;0,42;0,83;0,52
1983;0,38;0,38;0,39;0,83;0,50
1984;0,34;0,34;0,35;0,84;0,46
1985;0,31;0,31;0,32;0,84;0,44
1986;0,29;0,29;0,30;0,84;0,43
1987;0,29;0,29;0,30;0,84;0,43
1988;0,29;0,29;0,30;0,84;0,43
1989;0,29;0,29;0,30;0,84;0,43
1990;0,29;0,29;0,30;0,84;0,43
1991;0,29;0,29;0,30;0,84;0,43
1992;0,29;0,29;0,30;0,84;0,43
1993;0,29;0,29;0,29;0,84;0,43
1994;0,27;0,27;0,27;0,84;0,41
1995;0,24;0,24;0,24;0,84;0,39
1996;0,23;0,23;0,22;0,84;0,38
1997;0,22;0,22;0,21;0,84;0,37
1998;0,22;0,22;0,21;0,84;0,37
1999;0,22;0,22;0,21;0,84;0,37
2000;0,22;0,21;0,21;0,84;0,37
2001;0,22;0,19;0,21;0,84;0,36
2002;0,22;0,16;0,21;0,84;0,36
2003;0,22;0,15;0,21;0,84;0,35
2004;0,22;0,14;0,21;0,84;0,35
2005;0,22;0,14;0,21;0,84;0,35
2006;0,22;0,14;0,21;0,84;0,35
2007;0,22;0,14;0,21;0,84;0,35
2008;0,22;0,14;0,21;0,84;0,35
2009;0,22;0,14;0,21;0,84;0,35
2010;0,22;0,14;0,21;0,84;0,35
2011;0,22;0,14;0,21;0,84;0,35
2012;0,22;0,14;0,21;0,84;0,35
2013;0,22;0,14;0,21;0,84;0,35
2014;0,22;0,14;0,21;0,84;0,35
2015;0,22;0,14;0,21;0,84;0,35
