YoC;UValEFH;UValRH;UValMFH;UValGMH;UValAVG
1900;1,46;0,78;2,60;2,60;1,86
1901;1,46;0,78;2,60;2,60;1,86
1902;1,46;0,78;2,60;2,60;1,86
1903;1,46;0,78;2,60;2,60;1,86
1904;1,46;0,78;2,60;2,60;1,86
1905;1,46;0,78;2,60;2,60;1,86
1906;1,46;0,78;2,60;2,60;1,86
1907;1,46;0,78;2,60;2,60;1,86
1908;1,46;0,78;2,60;2,60;1,86
1909;1,46;0,78;2,60;2,60;1,86
1910;1,46;0,78;2,60;2,60;1,86
1911;1,46;0,78;2,60;2,60;1,86
1912;1,46;0,78;2,60;2,60;1,86
1913;1,46;0,78;2,60;2,60;1,86
1914;1,46;0,78;2,60;2,60;1,86
1915;1,46;0,78;2,60;2,60;1,86
1916;1,46;0,78;2,60;2,60;1,86
1917;1,42;0,78;2,47;2,40;1,77
1918;1,34;0,78;2,20;1,99;1,58
1919;1,23;0,78;1,81;1,39;1,30
1920;1,15;0,78;1,54;0,98;1,11
1921;1,11;0,78;1,41;0,78;1,02
1922;1,11;0,78;1,41;0,78;1,02
1923;1,11;0,78;1,41;0,78;1,02
1924;1,11;0,78;1,41;0,78;1,02
1925;1,11;0,78;1,41;0,78;1,02
1926;1,11;0,78;1,41;0,78;1,02
1927;1,11;0,78;1,41;0,78;1,02
1928;1,11;0,78;1,41;0,78;1,02
1929;1,11;0,78;1,41;0,78;1,02
1930;1,11;0,78;1,41;0,78;1,02
1931;1,11;0,78;1,41;0,78;1,02
1932;1,11;0,78;1,41;0,78;1,02
1933;1,11;0,78;1,41;0,78;1,02
1934;1,11;0,78;1,41;0,78;1,02
1935;1,11;0,78;1,41;0,78;1,02
1936;1,11;0,78;1,41;0,78;1,02
1937;1,11;0,78;1,41;0,78;1,02
1938;1,11;0,78;1,41;0,78;1,02
1939;1,11;0,78;1,41;0,78;1,02
1940;1,11;0,78;1,41;0,78;1,02
1941;1,11;0,78;1,41;0,78;1,02
1942;1,11;0,78;1,41;0,78;1,02
1943;1,11;0,78;1,41;0,78;1,02
1944;1,11;0,78;1,41;0,78;1,02
1945;1,11;0,78;1,41;0,78;1,02
1946;1,11;0,78;1,41;0,78;1,02
1947;1,11;0,78;1,38;0,92;1,05
1948;1,11;0,78;1,33;1,21;1,11
1949;1,11;0,78;1,24;1,65;1,19
1950;1,11;0,78;1,18;1,94;1,25
1951;1,11;0,78;1,16;2,08;1,28
1952;1,11;0,78;1,16;2,08;1,28
1953;1,11;0,78;1,16;2,08;1,28
1954;1,11;0,78;1,16;2,08;1,28
1955;1,11;0,78;1,16;2,08;1,28
1956;1,09;0,83;1,22;1,93;1,27
1957;1,05;0,93;1,34;1,64;1,24
1958;0,98;1,08;1,53;1,19;1,20
1959;0,94;1,18;1,66;0,90;1,17
1960;0,92;1,23;1,72;0,75;1,16
1961;0,92;1,23;1,72;0,75;1,16
1962;0,92;1,23;1,72;0,75;1,16
1963;0,92;1,23;1,72;0,75;1,16
1964;0,92;1,23;1,72;0,75;1,16
1965;0,92;1,23;1,72;0,75;1,16
1966;0,92;1,23;1,72;0,75;1,16
1967;0,88;1,15;1,59;0,76;1,10
1968;0,81;0,99;1,34;0,77;0,98
1969;0,69;0,76;0,97;0,80;0,80
1970;0,61;0,60;0,72;0,81;0,69
1971;0,58;0,52;0,59;0,82;0,63
1972;0,58;0,52;0,59;0,82;0,63
1973;0,58;0,52;0,59;0,82;0,63
1974;0,58;0,52;0,59;0,82;0,63
1975;0,58;0,52;0,59;0,82;0,63
1976;0,58;0,52;0,59;0,82;0,63
1977;0,56;0,51;0,57;0,82;0,62
1978;0,53;0,49;0,54;0,82;0,59
1979;0,48;0,46;0,49;0,82;0,56
1980;0,45;0,44;0,46;0,82;0,54
1981;0,43;0,43;0,44;0,83;0,53
1982;0,42;0,42;0,42;0,83;0,52
1983;0,39;0,39;0,39;0,83;0,50
1984;0,34;0,34;0,35;0,84;0,47
1985;0,31;0,31;0,32;0,84;0,45
1986;0,30;0,30;0,30;0,84;0,44
1987;0,30;0,30;0,30;0,84;0,44
1988;0,30;0,30;0,30;0,84;0,44
1989;0,30;0,30;0,30;0,84;0,44
1990;0,30;0,30;0,30;0,84;0,44
1991;0,30;0,30;0,30;0,84;0,44
1992;0,30;0,30;0,30;0,84;0,44
1993;0,29;0,29;0,29;0,84;0,43
1994;0,27;0,27;0,27;0,84;0,41
1995;0,25;0,25;0,24;0,84;0,39
1996;0,23;0,23;0,22;0,84;0,38
1997;0,22;0,22;0,21;0,84;0,37
1998;0,22;0,22;0,21;0,84;0,37
1999;0,22;0,22;0,21;0,84;0,37
2000;0,22;0,21;0,21;0,84;0,37
2001;0,22;0,19;0,21;0,84;0,37
2002;0,22;0,17;0,22;0,84;0,36
2003;0,22;0,15;0,22;0,84;0,36
2004;0,22;0,14;0,22;0,84;0,36
2005;0,22;0,14;0,22;0,84;0,36
2006;0,22;0,14;0,22;0,84;0,36
2007;0,22;0,14;0,22;0,84;0,36
2008;0,22;0,14;0,22;0,84;0,36
2009;0,22;0,14;0,22;0,84;0,36
2010;0,22;0,14;0,22;0,84;0,36
2011;0,22;0,14;0,22;0,84;0,36
2012;0,22;0,14;0,22;0,84;0,36
2013;0,22;0,14;0,22;0,84;0,36
2014;0,22;0,14;0,22;0,84;0,36
2015;0,22;0,14;0,22;0,84;0,36
