YoC;UValEFH;UValRH;UValMFH;UValGMH;UValAVG
1900;1,80;1,70;1,68;1,45;1,66
1901;1,80;1,70;1,68;1,45;1,66
1902;1,80;1,70;1,68;1,45;1,66
1903;1,80;1,70;1,68;1,45;1,66
1904;1,80;1,70;1,68;1,45;1,66
1905;1,80;1,70;1,68;1,45;1,66
1906;1,80;1,70;1,68;1,45;1,66
1907;1,80;1,70;1,68;1,45;1,66
1908;1,80;1,70;1,68;1,45;1,66
1909;1,80;1,70;1,68;1,45;1,66
1910;1,80;1,70;1,68;1,45;1,66
1911;1,80;1,70;1,68;1,45;1,66
1912;1,80;1,70;1,68;1,45;1,66
1913;1,80;1,70;1,68;1,45;1,66
1914;1,80;1,70;1,68;1,45;1,66
1915;1,80;1,70;1,68;1,45;1,66
1916;1,80;1,70;1,68;1,45;1,66
1917;1,79;1,67;1,67;1,45;1,64
1918;1,77;1,60;1,66;1,45;1,62
1919;1,73;1,49;1,65;1,45;1,58
1920;1,71;1,42;1,64;1,45;1,56
1921;1,70;1,39;1,64;1,45;1,55
1922;1,70;1,39;1,64;1,45;1,55
1923;1,70;1,39;1,64;1,45;1,55
1924;1,70;1,39;1,64;1,45;1,55
1925;1,70;1,39;1,64;1,45;1,55
1926;1,70;1,39;1,64;1,45;1,55
1927;1,70;1,39;1,64;1,45;1,55
1928;1,70;1,39;1,64;1,45;1,55
1929;1,70;1,39;1,64;1,45;1,55
1930;1,70;1,39;1,64;1,45;1,55
1931;1,70;1,39;1,64;1,45;1,55
1932;1,70;1,39;1,64;1,45;1,55
1933;1,70;1,39;1,64;1,45;1,55
1934;1,70;1,39;1,64;1,45;1,55
1935;1,70;1,39;1,64;1,45;1,55
1936;1,70;1,39;1,64;1,45;1,55
1937;1,70;1,39;1,64;1,45;1,55
1938;1,70;1,39;1,64;1,45;1,55
1939;1,70;1,39;1,64;1,45;1,55
1940;1,70;1,39;1,64;1,45;1,55
1941;1,70;1,39;1,64;1,45;1,55
1942;1,70;1,39;1,64;1,45;1,55
1943;1,70;1,39;1,64;1,45;1,55
1944;1,70;1,39;1,64;1,45;1,55
1945;1,70;1,39;1,64;1,45;1,55
1946;1,70;1,39;1,64;1,45;1,55
1947;1,64;1,33;1,61;1,42;1,50
1948;1,53;1,21;1,54;1,37;1,41
1949;1,37;1,04;1,43;1,29;1,28
1950;1,26;0,92;1,36;1,24;1,19
1951;1,20;0,86;1,33;1,21;1,15
1952;1,20;0,86;1,33;1,21;1,15
1953;1,20;0,86;1,33;1,21;1,15
1954;1,20;0,86;1,33;1,21;1,15
1955;1,20;0,86;1,33;1,21;1,15
1956;1,23;0,92;1,33;1,21;1,17
1957;1,28;1,05;1,33;1,21;1,22
1958;1,36;1,25;1,33;1,21;1,29
1959;1,41;1,38;1,33;1,21;1,33
1960;1,44;1,44;1,34;1,21;1,36
1961;1,44;1,44;1,34;1,21;1,36
1962;1,44;1,44;1,34;1,21;1,36
1963;1,44;1,44;1,34;1,21;1,36
1964;1,44;1,44;1,34;1,21;1,36
1965;1,44;1,44;1,34;1,21;1,36
1966;1,44;1,44;1,34;1,21;1,36
1967;1,37;1,37;1,27;1,19;1,30
1968;1,23;1,23;1,14;1,15;1,19
1969;1,02;1,01;0,94;1,09;1,02
1970;0,88;0,87;0,81;1,06;0,90
1971;0,81;0,80;0,74;1,04;0,85
1972;0,81;0,80;0,74;1,04;0,85
1973;0,81;0,80;0,74;1,04;0,85
1974;0,81;0,80;0,74;1,04;0,85
1975;0,81;0,80;0,74;1,04;0,85
1976;0,81;0,80;0,74;1,04;0,85
1977;0,80;0,79;0,75;1,03;0,84
1978;0,80;0,76;0,76;1,00;0,83
1979;0,80;0,72;0,78;0,97;0,82
1980;0,80;0,69;0,79;0,95;0,81
1981;0,80;0,68;0,80;0,94;0,80
1982;0,79;0,69;0,78;0,92;0,79
1983;0,76;0,71;0,75;0,88;0,78
1984;0,72;0,74;0,71;0,82;0,75
1985;0,69;0,76;0,68;0,78;0,73
1986;0,68;0,77;0,66;0,76;0,72
1987;0,68;0,77;0,66;0,76;0,72
1988;0,68;0,77;0,66;0,76;0,72
1989;0,68;0,77;0,66;0,76;0,72
1990;0,68;0,77;0,66;0,76;0,72
1991;0,68;0,77;0,66;0,76;0,72
1992;0,68;0,77;0,66;0,76;0,72
1993;0,67;0,74;0,62;0,76;0,70
1994;0,64;0,68;0,53;0,76;0,65
1995;0,59;0,58;0,41;0,76;0,59
1996;0,56;0,52;0,32;0,76;0,54
1997;0,55;0,49;0,28;0,76;0,52
1998;0,55;0,49;0,28;0,76;0,52
1999;0,55;0,49;0,28;0,76;0,52
2000;0,53;0,46;0,29;0,76;0,51
2001;0,48;0,41;0,30;0,76;0,49
2002;0,42;0,32;0,33;0,76;0,46
2003;0,37;0,27;0,34;0,76;0,44
2004;0,35;0,24;0,35;0,76;0,43
2005;0,35;0,24;0,35;0,76;0,43
2006;0,35;0,24;0,35;0,76;0,43
2007;0,35;0,24;0,35;0,76;0,43
2008;0,35;0,24;0,35;0,76;0,43
2009;0,35;0,24;0,35;0,76;0,43
2010;0,35;0,24;0,35;0,76;0,43
2011;0,35;0,24;0,35;0,76;0,43
2012;0,35;0,24;0,35;0,76;0,43
2013;0,35;0,24;0,35;0,76;0,43
2014;0,35;0,24;0,35;0,76;0,43
2015;0,35;0,24;0,35;0,76;0,43
