YEAR;U_BASE;U_WALL;U_WINDOW;U_ROOF;U_ROOF_PRJ1;U_ROOF_PRJ2
1840;1,20;1,70;3,50;1,30;0,72;0,97
1842;1,20;1,70;3,50;1,30;0,72;0,97
1844;1,20;1,70;3,50;1,30;0,72;0,97
1846;1,20;1,70;3,50;1,30;0,72;0,97
1848;1,20;1,70;3,50;1,30;0,72;0,97
1850;1,20;1,70;3,50;1,30;0,72;0,97
1852;1,20;1,70;3,50;1,30;0,72;0,97
1854;1,20;1,70;3,50;1,30;0,72;0,97
1856;1,20;1,70;3,50;1,30;0,72;0,97
1858;1,20;1,70;3,50;1,30;0,72;0,97
1860;1,20;1,70;3,50;1,30;0,72;0,97
1862;1,20;1,70;3,50;1,30;0,72;0,97
1864;1,20;1,70;3,50;1,30;0,72;0,97
1866;1,20;1,70;3,50;1,30;0,72;0,97
1868;1,20;1,70;3,50;1,30;0,72;0,97
1870;1,20;1,70;3,50;1,30;0,72;0,97
1872;1,20;1,70;3,50;1,30;0,72;0,97
1874;1,20;1,70;3,50;1,30;0,72;0,97
1876;1,20;1,70;3,50;1,30;0,72;0,97
1878;1,20;1,70;3,50;1,30;0,72;0,97
1880;1,20;1,70;3,50;1,30;0,72;0,97
1882;1,20;1,70;3,50;1,30;0,72;0,97
1884;1,20;1,70;3,50;1,30;0,72;0,97
1886;1,20;1,70;3,50;1,30;0,72;0,97
1888;1,20;1,70;3,50;1,30;0,72;0,97
1890;1,20;1,70;3,50;1,30;0,72;0,97
1892;1,20;1,70;3,50;1,30;0,72;0,97
1894;1,20;1,70;3,50;1,30;0,72;0,97
1896;1,20;1,70;3,50;1,30;0,72;0,97
1898;1,20;1,70;3,50;1,30;0,72;0,97
1900;1,20;1,70;3,50;1,30;0,72;0,97
1902;1,20;1,70;3,50;1,30;0,72;0,97
1904;1,20;1,70;3,50;1,30;0,72;0,97
1906;1,20;1,70;3,50;1,30;0,72;0,97
1908;1,20;1,70;3,50;1,30;0,72;0,97
1910;1,20;1,70;3,50;1,30;0,72;0,97
1912;1,20;1,70;3,50;1,30;0,72;0,97
1914;1,20;1,70;3,50;1,30;0,72;0,97
1916;1,20;1,70;3,50;1,30;0,72;0,97
1918;1,20;1,70;3,50;1,30;0,72;0,97
1920;1,00;1,40;3,50;0,80;0,80;0,87
1922;1,00;1,40;3,50;0,80;0,80;0,87
1924;1,00;1,40;3,50;0,80;0,80;0,87
1926;1,00;1,40;3,50;0,80;0,80;0,87
1928;1,00;1,40;3,50;0,80;0,80;0,87
1930;1,00;1,40;3,50;0,80;0,80;0,87
1932;1,00;1,40;3,50;0,80;0,80;0,87
1934;1,00;1,40;3,50;0,80;0,80;0,87
1936;1,00;1,40;3,50;0,80;0,80;0,87
1938;1,00;1,40;3,50;0,80;0,80;0,87
1940;1,00;1,40;3,50;0,80;0,80;0,87
1942;1,00;1,40;3,50;0,80;0,80;0,87
1944;1,00;1,40;3,50;0,80;0,80;0,87
1946;1,00;1,40;3,50;0,80;0,80;0,87
1948;1,00;1,40;3,50;0,80;0,80;0,87
1950;2,10;1,20;3,50;1,60;1,60;1,69
1952;2,10;1,20;3,50;1,60;1,60;1,69
1954;2,10;1,20;3,50;1,60;1,60;1,69
1956;2,10;1,20;3,50;1,60;1,60;1,69
1958;1,60;1,20;3,50;0,60;0,60;0,96
1960;1,60;1,20;3,50;0,60;0,60;0,96
1962;1,60;1,20;3,50;0,60;0,60;0,96
1964;1,60;1,20;3,50;0,60;0,60;0,96
1966;1,60;1,20;3,50;0,60;0,60;0,96
1968;1,60;1,20;3,50;0,60;0,60;0,96
1970;1,00;1,10;2,70;0,60;0,60;0,63
1972;1,00;1,10;2,70;0,60;0,60;0,63
1974;1,00;1,10;2,70;0,60;0,60;0,63
1976;1,00;1,10;2,70;0,60;0,60;0,63
1978;1,00;1,10;2,70;0,60;0,60;0,63
1980;0,80;0,90;3,50;0,50;0,50;0,53
1982;0,80;0,90;3,50;0,50;0,50;0,53
1984;0,60;0,60;3,50;0,40;0,40;0,42
1986;0,60;0,60;3,50;0,40;0,40;0,42
1988;0,60;0,60;3,50;0,40;0,40;0,42
1990;0,60;0,60;3,50;0,40;0,40;0,42
1992;0,60;0,60;3,50;0,40;0,40;0,42
1994;0,60;0,60;3,50;0,40;0,40;0,42
1996;0,60;0,60;3,50;0,40;0,40;0,42
1998;0,60;0,60;3,50;0,40;0,40;0,42
2000;0,60;0,60;3,50;0,40;0,40;0,42
2002;0,60;0,60;3,50;0,40;0,40;0,42
2004;0,60;0,60;3,50;0,40;0,40;0,42
2006;0,60;0,60;3,50;0,40;0,40;0,42
2008;0,60;0,60;3,50;0,40;0,40;0,42
2010;0,60;0,60;3,50;0,40;0,40;0,42
2012;0,60;0,60;3,50;0,40;0,40;0,42
2014;0,60;0,60;3,50;0,40;0,40;0,42
2016;0,60;0,60;3,50;0,40;0,40;0,42
2018;0,60;0,60;3,50;0,40;0,40;0,42
2020;0,60;0,60;3,50;0,40;0,40;0,42
2022;0,60;0,60;3,50;0,40;0,40;0,42
2024;0,60;0,60;3,50;0,40;0,40;0,42
2026;0,60;0,60;3,50;0,40;0,40;0,42
2028;0,60;0,60;3,50;0,40;0,40;0,42
2030;0,60;0,60;3,50;0,40;0,40;0,42
2032;0,60;0,60;3,50;0,40;0,40;0,42
2034;0,60;0,60;3,50;0,40;0,40;0,42
2036;0,60;0,60;3,50;0,40;0,40;0,42
2038;0,60;0,60;3,50;0,40;0,40;0,42
2040;0,60;0,60;3,50;0,40;0,40;0,42
2042;0,60;0,60;3,50;0,40;0,40;0,42
2044;0,60;0,60;3,50;0,40;0,40;0,42
2046;0,60;0,60;3,50;0,40;0,40;0,42
2048;0,60;0,60;3,50;0,40;0,40;0,42
2050;0,60;0,60;3,50;0,40;0,40;0,42
