TABULA_ID;YEAR1;YEAR2;A_G_BRUTTO;A_FL1;A_FL2;A_FL;U_FL1;U_FL2;U_FL_AVG;A_W1;A_W2;A_W3;A_W;U_W1;U_W2;U_W3;U_W_AVG;A_R1;A_R2;A_R;A_R1_NETTO;A_R2_NETTO;A_R_NETTO;U_R1;U_R2;U_R_AVG;ANG_R_AVG;SLOPING_R;PERC_TOP_USED;H_TOP;R_ADD_R;U_R_AVG_PROJ2;U_R_AVG_PROJ;A_C_Ref;N_FL_CALC;N_FL;A_WIN1;A_WIN2;A_FL;U_WIN1;U_WIN2;U_WIN_AVG
DE.N.TH.02.Gen;0;1918;70,59;60,00;0,00;60,00;1,20;1,20;1,20;74,47;0,00;0,00;74,47;1,70;1,70;1,70;1,70;0,00;60,00;60,00;0,00;56,70;56,70;1,30;1,00;1,00;0,00;0,95;0,60;0,00;0,00;1,00;1,06;95,96;1,60;1,00;18,09;0,00;18,09;2,70;2,70;2,70
DE.N.TH.03.Gen;1919;1948;59,24;50,35;0,00;50,35;1,00;1,00;1,00;64,14;0,00;0,00;64,14;1,70;1,70;1,70;1,70;0,00;50,35;50,35;0,00;47,58;47,58;1,40;0,80;0,80;0,00;0,95;0,24;0,00;0,00;0,80;0,85;112,75;2,24;2,00;21,48;0,00;21,48;3,50;3,50;3,50
DE.N.TH.04.Gen;1949;1957;95,53;81,20;0,00;81,20;2,10;2,10;2,10;134,66;0,00;0,00;134,66;1,20;1,20;1,20;1,20;0,00;81,20;81,20;0,00;76,73;76,73;1,40;0,80;0,80;0,00;0,95;0,84;0,00;0,00;0,80;0,85;149,60;1,84;2,00;46,67;0,00;46,67;3,50;3,50;3,50
DE.N.TH.05.Gen;1958;1968;54,35;46,20;0,00;46,20;1,60;1,60;1,60;40,42;0,00;0,00;40,42;1,20;1,20;1,20;1,20;0,00;46,20;46,20;0,00;43,66;43,66;0,80;0,60;0,60;0,00;0,95;0,54;0,00;0,00;0,60;0,63;117,37;2,54;2,00;13,52;0,00;13,52;3,50;3,50;3,50
DE.N.TH.06.Gen;1969;1978;71,59;60,85;0,00;60,85;1,00;1,00;1,00;53,72;0,00;0,00;53,72;1,00;1,00;1,00;1,00;0,00;60,85;60,85;0,00;57,50;57,50;0,50;0,60;0,60;0,00;0,95;0,75;0,00;0,00;0,60;0,63;106,31;1,75;1,00;23,36;0,00;23,36;3,50;3,50;3,50
DE.N.TH.07.Gen;1979;1983;85,88;73,00;0,00;73,00;0,80;0,80;0,80;54,10;0,00;0,00;54,10;0,80;0,80;0,80;0,80;97,63;0,00;97,63;92,26;0,00;92,26;0,50;0,50;0,50;0,79;1,26;0,48;8,64;0,45;0,41;0,40;108,27;1,48;1,00;20,25;0,00;20,25;3,50;3,50;3,50
DE.N.TH.08.Gen;1984;1994;65,98;56,08;0,00;56,08;0,60;0,60;0,60;50,90;0,00;0,00;50,90;0,60;0,60;0,60;0,60;64,87;0,00;64,87;61,30;0,00;61,30;0,40;0,40;0,40;0,91;1,09;0,28;9,73;0,51;0,33;0,37;127,60;2,28;2,00;18,75;0,00;18,75;3,50;3,50;3,50
DE.N.TH.09.Gen;1995;2001;61,06;0,00;51,90;51,90;0,45;0,45;0,45;45,20;13,90;0,00;59,10;0,60;0,60;0,60;0,60;77,40;0,00;77,40;73,14;0,00;73,14;0,35;0,27;0,35;0,71;1,41;0,87;6,19;0,32;0,31;0,25;148,83;2,87;3,00;22,40;0,00;22,40;1,60;1,60;1,60
DE.N.TH.10.Gen;2002;2009;83,18;70,70;0,00;70,70;0,30;0,30;0,30;140,70;0,00;0,00;140,70;0,30;0,30;0,30;0,30;91,30;0,00;91,30;86,28;0,00;86,28;0,20;0,24;0,20;0,82;1,22;0,15;9,00;0,47;0,18;0,16;151,91;2,15;2,00;36,30;0,00;36,30;1,30;1,30;1,30
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
