YEAR;U_BASE;U_WALL;U_ROOF;U_AVG_OPAQ;U_WINDOW;U_ROOF_PRJ1;U_ROOF_PRJ2
1840;1,63;1,85;1,88;1,78;3,30;1,03;1,37
1842;1,63;1,85;1,88;1,78;3,30;1,03;1,37
1844;1,63;1,85;1,88;1,78;3,30;1,03;1,37
1846;1,63;1,85;1,88;1,78;3,30;1,03;1,37
1848;1,63;1,85;1,88;1,78;3,30;1,03;1,37
1850;1,63;1,85;1,88;1,78;3,30;1,03;1,37
1852;1,63;1,85;1,88;1,78;3,30;1,03;1,37
1854;1,63;1,85;1,88;1,78;3,30;1,03;1,37
1856;1,63;1,85;1,88;1,78;3,30;1,03;1,37
1858;1,63;1,85;1,88;1,78;3,30;1,03;1,37
1860;1,20;1,83;1,23;1,42;3,10;0,92;1,18
1862;1,20;1,83;1,23;1,42;3,10;0,92;1,18
1864;1,20;1,83;1,23;1,42;3,10;0,92;1,18
1866;1,20;1,83;1,23;1,42;3,10;0,92;1,18
1868;1,20;1,83;1,23;1,42;3,10;0,92;1,18
1870;1,20;1,83;1,23;1,42;3,10;0,92;1,18
1872;1,20;1,83;1,23;1,42;3,10;0,92;1,18
1874;1,20;1,83;1,23;1,42;3,10;0,92;1,18
1876;1,20;1,83;1,23;1,42;3,10;0,92;1,18
1878;1,20;1,83;1,23;1,42;3,10;0,92;1,18
1880;1,20;1,83;1,23;1,42;3,10;0,92;1,18
1882;1,20;1,83;1,23;1,42;3,10;0,92;1,18
1884;1,20;1,83;1,23;1,42;3,10;0,92;1,18
1886;1,20;1,83;1,23;1,42;3,10;0,92;1,18
1888;1,20;1,83;1,23;1,42;3,10;0,92;1,18
1890;1,20;1,83;1,23;1,42;3,10;0,92;1,18
1892;1,20;1,83;1,23;1,42;3,10;0,92;1,18
1894;1,20;1,83;1,23;1,42;3,10;0,92;1,18
1896;1,20;1,83;1,23;1,42;3,10;0,92;1,18
1898;1,20;1,83;1,23;1,42;3,10;0,92;1,18
1900;1,20;1,83;1,23;1,42;3,10;0,92;1,18
1902;1,20;1,83;1,23;1,42;3,10;0,92;1,18
1904;1,20;1,83;1,23;1,42;3,10;0,92;1,18
1906;1,20;1,83;1,23;1,42;3,10;0,92;1,18
1908;1,20;1,83;1,23;1,42;3,10;0,92;1,18
1910;1,20;1,83;1,23;1,42;3,10;0,92;1,18
1912;1,20;1,83;1,23;1,42;3,10;0,92;1,18
1914;1,20;1,83;1,23;1,42;3,10;0,92;1,18
1916;1,20;1,83;1,23;1,42;3,10;0,92;1,18
1918;1,20;1,83;1,23;1,42;3,10;0,92;1,18
1920;1,00;1,63;1,06;1,23;3,50;0,75;0,96
1922;1,00;1,63;1,06;1,23;3,50;0,75;0,96
1924;1,00;1,63;1,06;1,23;3,50;0,75;0,96
1926;1,00;1,63;1,06;1,23;3,50;0,75;0,96
1928;1,00;1,63;1,06;1,23;3,50;0,75;0,96
1930;1,00;1,63;1,06;1,23;3,50;0,75;0,96
1932;1,00;1,63;1,06;1,23;3,50;0,75;0,96
1934;1,00;1,63;1,06;1,23;3,50;0,75;0,96
1936;1,00;1,63;1,06;1,23;3,50;0,75;0,96
1938;1,00;1,63;1,06;1,23;3,50;0,75;0,96
1940;1,00;1,63;1,06;1,23;3,50;0,75;0,96
1942;1,00;1,63;1,06;1,23;3,50;0,75;0,96
1944;1,00;1,63;1,06;1,23;3,50;0,75;0,96
