TABULA_ID;YEAR1;YEAR2;A_G_BRUTTO;A_FL1;A_FL2;A_FL;U_FL1;U_FL2;U_FL_AVG;A_W1;A_W2;A_W3;A_W;U_W1;U_W2;U_W3;U_W_AVG;A_R1;A_R2;A_R;A_R1_NETTO;A_R2_NETTO;A_R_NETTO;U_R1;U_R2;U_R_AVG;ANG_R_AVG;SLOPING_R;PERC_TOP_USED;H_TOP;R_ADD_R;U_R_AVG_PROJ2;U_R_AVG_PROJ;A_C_Ref;N_FL_CALC;N_FL;A_WIN1;A_WIN2;A_FL;U_WIN1;U_WIN2;U_WIN_AVG
DE.N.MFH.01.Gen;0;1859;204,39;124,76;48,97;173,73;1,20;1,20;1,20;749,31;0,00;0,00;749,31;2,00;2,00;2,00;2,00;284,10;0,00;284,10;268,47;0,00;268,47;2,60;1,00;2,60;0,65;1,55;0,90;9,96;0,52;1,10;1,68;677,49;3,90;4,00;106,97;0,00;106,97;3,50;3,50;3,50
DE.N.MFH.02.Gen;1860;1918;120,94;102,80;0,00;102,80;1,20;1,20;1,20;146,00;0,00;0,00;146,00;2,20;2,20;2,20;2,20;102,80;0,00;102,80;97,15;0,00;97,15;1,30;1,00;1,30;0,00;0,95;0,04;0,00;0,00;1,30;1,38;312,40;3,04;3,00;54,08;0,00;54,08;2,70;2,70;2,70
DE.N.MFH.03.Gen;1919;1948;186,47;127,40;31,10;158,50;1,00;1,00;1,00;323,54;0,00;0,00;323,54;1,70;1,70;1,70;1,70;158,50;31,10;189,60;149,78;29,39;179,17;1,40;0,80;1,25;0,88;1,13;0,43;15,37;0,81;0,62;1,10;385,00;2,43;2,00;71,16;0,00;71,16;3,50;3,50;3,50
DE.N.MFH.04.Gen;1949;1957;417,65;355,00;0,00;355,00;2,20;2,20;2,20;462,00;0,00;0,00;462,00;1,20;1,20;1,20;1,20;0,00;355,00;355,00;0,00;335,48;335,48;1,40;1,60;1,60;0,00;0,95;0,78;0,00;0,00;1,60;1,69;632,28;1,78;2,00;98,72;0,00;98,72;3,50;3,50;3,50
DE.East.MFH.04.Gen;1949;1957;657,31;558,71;0,00;558,71;2,20;2,20;2,20;1.158,16;0,00;0,00;1.158,16;1,20;1,20;1,20;1,20;0,00;558,71;558,71;0,00;527,98;527,98;1,40;1,60;1,60;0,00;0,95;0,45;0,00;0,00;1,60;1,69;1.928,30;3,45;3,00;319,90;0,00;319,90;3,50;3,50;3,50
DE.N.MFH.05.Gen;1958;1968;1.142,48;971,11;0,00;971,11;1,60;1,60;1,60;2.039,00;0,00;0,00;2.039,00;1,20;1,20;1,20;1,20;0,00;971,11;971,11;0,00;917,70;917,70;0,80;0,60;0,60;0,00;0,95;0,22;0,00;0,00;0,60;0,63;3.129,07;3,22;3,00;507,48;0,00;507,48;3,50;3,50;3,50
DE.East.MFH.05.Gen;1958;1968;955,20;811,92;0,00;811,92;1,60;1,60;1,60;1.480,48;0,00;0,00;1.480,48;1,10;1,10;1,10;1,10;0,00;811,92;811,92;0,00;767,26;767,26;0,80;0,60;0,60;0,00;0,95;0,38;0,00;0,00;0,60;0,63;2.742,30;3,38;3,00;547,00;0,00;547,00;2,70;2,70;2,70
DE.N.MFH.06.Gen;1969;1978;254,94;216,70;0,00;216,70;1,00;1,00;1,00;336,00;0,00;0,00;336,00;1,00;1,00;1,00;1,00;0,00;216,70;216,70;0,00;204,78;204,78;0,50;0,60;0,60;0,00;0,95;0,16;0,00;0,00;0,60;0,63;468,61;2,16;2,00;81,30;0,00;81,30;3,50;3,50;3,50
DE.N.MFH.07.Gen;1979;1983;292,06;248,25;0,00;248,25;0,80;0,80;0,80;447,13;0,00;0,00;447,13;0,80;0,80;0,80;0,80;0,00;248,25;248,25;0,00;234,60;234,60;0,50;0,50;0,50;0,00;0,95;0,63;0,00;0,00;0,50;0,53;653,95;2,63;2,00;99,37;0,00;99,37;3,50;3,50;3,50
DE.N.MFH.08.Gen;1984;1994;293,41;249,40;0,00;249,40;0,60;0,60;0,60;774,80;0,00;0,00;774,80;0,60;0,60;0,60;0,60;0,00;249,40;249,40;0,00;235,68;235,68;0,40;0,40;0,40;0,00;0,95;0,12;0,00;0,00;0,40;0,42;778,14;3,12;3,00;161,00;0,00;161,00;3,50;3,50;3,50
DE.N.MFH.09.Gen;1995;2001;333,76;283,70;0,00;283,70;0,45;0,45;0,45;695,80;0,00;0,00;695,80;0,40;0,40;0,40;0,40;0,00;283,70;283,70;0,00;268,10;268,10;0,35;0,35;0,35;0,00;0,95;0,94;0,00;0,00;0,35;0,37;834,90;2,94;3,00;162,80;0,00;162,80;1,90;1,90;1,90
DE.N.MFH.10.Gen;2002;2009;728,82;619,50;0,00;619,50;0,35;0,35;0,35;1.698,00;0,00;0,00;1.698,00;0,25;0,25;0,25;0,25;580,00;0,00;580,00;548,10;0,00;548,10;0,20;0,24;0,20;0,00;0,88;0,54;0,00;0,00;0,20;0,23;2.190,10;3,54;3,00;308,70;0,00;308,70;1,40;1,40;1,40
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
