TABULA_ID;YEAR1;YEAR2;A_W1;A_W2;A_W3;A_W;U_W1;U_W2;U_W3;U_W_AVG;A_WIN1;A_WIN2;A_WIN_H;A_WIN_E;A_WIN_S;A_WIN_W;A_WIN_N;A_WIN;A_WIN_H_PERC;A_WIN_ROOF_PERC;A_WIN_E_PERC;A_WIN_S_PERC;A_WIN_W_PERC;A_WIN_N_PERC;A_WIN_WALL_PERC;U_WIN1;U_WIN2;U_WIN_AVG;U_WALL_WIN;A_R1;A_R2;A_R;A_R1_NETTO;A_R2_NETTO;A_R_NETTO;U_R1;U_R2;U_R_AVG;U_R_WIN
DE.N.MFH.01.Gen;0;1859;749,31;0,00;0,00;749,31;2,00;2,00;2,00;2,00;106,97;0,00;0,00;25,46;36,57;25,46;19,48;106,97;0,00 %;0,00;23,80 %;34,19 %;23,80 %;18,21 %;14,28 %;3,50;3,50;3,50;2,21;284,10;0,00;284,10;268,47;0,00;268,47;2,60;1,00;2,60;2,60
DE.N.MFH.02.Gen;1860;1918;146,00;0,00;0,00;146,00;2,20;2,20;2,20;2,20;54,08;0,00;0,00;26,40;0,00;26,40;1,29;54,08;0,00 %;0,00;48,81 %;0,00 %;48,81 %;2,39 %;37,04 %;2,70;2,70;2,70;2,39;102,80;0,00;102,80;97,15;0,00;97,15;1,30;1,00;1,30;1,30
DE.N.MFH.03.Gen;1919;1948;323,54;0,00;0,00;323,54;1,70;1,70;1,70;1,70;71,16;0,00;0,00;9,50;33,66;9,50;18,50;71,16;0,00 %;0,00;13,35 %;47,30 %;13,35 %;26,00 %;21,99 %;3,50;3,50;3,50;2,10;158,50;31,10;189,60;149,78;29,39;179,17;1,40;0,80;1,25;1,25
DE.N.MFH.04.Gen;1949;1957;462,00;0,00;0,00;462,00;1,20;1,20;1,20;1,20;98,72;0,00;0,00;45,58;3,78;45,58;3,78;98,72;0,00 %;0,00;46,17 %;3,83 %;46,17 %;3,83 %;21,37 %;3,50;3,50;3,50;1,69;0,00;355,00;355,00;0,00;335,48;335,48;1,40;1,60;1,60;1,60
DE.East.MFH.04.Gen;1949;1957;1.158,16;0,00;0,00;1.158,16;1,20;1,20;1,20;1,20;319,90;0,00;0,00;0,00;150,30;0,00;169,60;319,90;0,00 %;0,00;0,00 %;46,98 %;0,00 %;53,02 %;27,62 %;3,50;3,50;3,50;1,84;0,00;558,71;558,71;0,00;527,98;527,98;1,40;1,60;1,60;1,60
DE.N.MFH.05.Gen;1958;1968;2.039,00;0,00;0,00;2.039,00;1,20;1,20;1,20;1,20;507,48;0,00;0,00;22,25;243,24;22,25;219,75;507,48;0,00 %;0,00;4,38 %;47,93 %;4,38 %;43,30 %;24,89 %;3,50;3,50;3,50;1,77;0,00;971,11;971,11;0,00;917,70;917,70;0,80;0,60;0,60;0,60
DE.East.MFH.05.Gen;1958;1968;1.480,48;0,00;0,00;1.480,48;1,10;1,10;1,10;1,10;547,00;0,00;0,00;267,50;6,00;267,50;6,00;547,00;0,00 %;0,00;48,90 %;1,10 %;48,90 %;1,10 %;36,95 %;2,70;2,70;2,70;1,69;0,00;811,92;811,92;0,00;767,26;767,26;0,80;0,60;0,60;0,60
DE.N.MFH.06.Gen;1969;1978;336,00;0,00;0,00;336,00;1,00;1,00;1,00;1,00;81,30;0,00;0,00;40,65;0,00;40,65;0,00;81,30;0,00 %;0,00;50,00 %;0,00 %;50,00 %;0,00 %;24,20 %;3,50;3,50;3,50;1,60;0,00;216,70;216,70;0,00;204,78;204,78;0,50;0,60;0,60;0,60
DE.N.MFH.07.Gen;1979;1983;447,13;0,00;0,00;447,13;0,80;0,80;0,80;0,80;99,37;0,00;0,00;46,34;3,35;46,34;3,35;99,37;0,00 %;0,00;46,63 %;3,37 %;46,63 %;3,37 %;22,22 %;3,50;3,50;3,50;1,40;0,00;248,25;248,25;0,00;234,60;234,60;0,50;0,50;0,50;0,50
DE.N.MFH.08.Gen;1984;1994;774,80;0,00;0,00;774,80;0,60;0,60;0,60;0,60;161,00;0,00;0,00;11,40;84,20;11,40;54,00;161,00;0,00 %;0,00;7,08 %;52,30 %;7,08 %;33,54 %;20,78 %;3,50;3,50;3,50;1,20;0,00;249,40;249,40;0,00;235,68;235,68;0,40;0,40;0,40;0,40
DE.N.MFH.09.Gen;1995;2001;695,80;0,00;0,00;695,80;0,40;0,40;0,40;0,40;162,80;0,00;0,00;22,70;77,50;22,70;39,90;162,80;0,00 %;0,00;13,94 %;47,60 %;13,94 %;24,51 %;23,40 %;1,90;1,90;1,90;0,75;0,00;283,70;283,70;0,00;268,10;268,10;0,35;0,35;0,35;0,35
DE.N.MFH.10.Gen;2002;2009;1.698,00;0,00;0,00;1.698,00;0,25;0,25;0,25;0,25;308,70;0,00;0,00;79,50;108,60;77,90;42,70;308,70;0,00 %;0,00;25,75 %;35,18 %;25,23 %;13,83 %;18,18 %;1,40;1,40;1,40;0,46;580,00;0,00;580,00;548,10;0,00;548,10;0,20;0,24;0,20;0,20
;;;;;;;;;;1,14;;;;;;;;;0,00 %;0,00;27,40 %;26,65 %;27,36 %;18,59 %;24,41 %;;;3,06;1,59;;;;;;;;;0,97;0,97
