YEAR;A_WIN_E_BY_ A_W;A_WIN_S_BY_ A_W;A_WIN_W_BY_ A_W;A_WIN_N_BY_ A_W;A_WIN_BY_ A_W
1840;3,40 %;4,88 %;3,40 %;2,60 %;14,28 %
1842;3,40 %;4,88 %;3,40 %;2,60 %;14,28 %
1844;3,40 %;4,88 %;3,40 %;2,60 %;14,28 %
1846;3,40 %;4,88 %;3,40 %;2,60 %;14,28 %
1848;3,40 %;4,88 %;3,40 %;2,60 %;14,28 %
1850;3,40 %;4,88 %;3,40 %;2,60 %;14,28 %
1852;3,40 %;4,88 %;3,40 %;2,60 %;14,28 %
1854;3,40 %;4,88 %;3,40 %;2,60 %;14,28 %
1856;3,40 %;4,88 %;3,40 %;2,60 %;14,28 %
1858;3,40 %;4,88 %;3,40 %;2,60 %;14,28 %
1860;18,08 %;0,00 %;18,08 %;0,88 %;37,04 %
1862;18,08 %;0,00 %;18,08 %;0,88 %;37,04 %
1864;18,08 %;0,00 %;18,08 %;0,88 %;37,04 %
1866;18,08 %;0,00 %;18,08 %;0,88 %;37,04 %
1868;18,08 %;0,00 %;18,08 %;0,88 %;37,04 %
1870;18,08 %;0,00 %;18,08 %;0,88 %;37,04 %
1872;18,08 %;0,00 %;18,08 %;0,88 %;37,04 %
1874;18,08 %;0,00 %;18,08 %;0,88 %;37,04 %
1876;18,08 %;0,00 %;18,08 %;0,88 %;37,04 %
1878;18,08 %;0,00 %;18,08 %;0,88 %;37,04 %
1880;18,08 %;0,00 %;18,08 %;0,88 %;37,04 %
1882;18,08 %;0,00 %;18,08 %;0,88 %;37,04 %
1884;18,08 %;0,00 %;18,08 %;0,88 %;37,04 %
1886;18,08 %;0,00 %;18,08 %;0,88 %;37,04 %
1888;18,08 %;0,00 %;18,08 %;0,88 %;37,04 %
1890;18,08 %;0,00 %;18,08 %;0,88 %;37,04 %
1892;18,08 %;0,00 %;18,08 %;0,88 %;37,04 %
1894;18,08 %;0,00 %;18,08 %;0,88 %;37,04 %
1896;18,08 %;0,00 %;18,08 %;0,88 %;37,04 %
1898;18,08 %;0,00 %;18,08 %;0,88 %;37,04 %
1900;18,08 %;0,00 %;18,08 %;0,88 %;37,04 %
1902;18,08 %;0,00 %;18,08 %;0,88 %;37,04 %
1904;18,08 %;0,00 %;18,08 %;0,88 %;37,04 %
1906;18,08 %;0,00 %;18,08 %;0,88 %;37,04 %
1908;18,08 %;0,00 %;18,08 %;0,88 %;37,04 %
1910;18,08 %;0,00 %;18,08 %;0,88 %;37,04 %
1912;18,08 %;0,00 %;18,08 %;0,88 %;37,04 %
1914;18,08 %;0,00 %;18,08 %;0,88 %;37,04 %
1916;18,08 %;0,00 %;18,08 %;0,88 %;37,04 %
1918;18,08 %;0,00 %;18,08 %;0,88 %;37,04 %
1920;2,94 %;10,40 %;2,94 %;5,72 %;21,99 %
1922;2,94 %;10,40 %;2,94 %;5,72 %;21,99 %
1924;2,94 %;10,40 %;2,94 %;5,72 %;21,99 %
1926;2,94 %;10,40 %;2,94 %;5,72 %;21,99 %
1928;2,94 %;10,40 %;2,94 %;5,72 %;21,99 %
1930;2,94 %;10,40 %;2,94 %;5,72 %;21,99 %
1932;2,94 %;10,40 %;2,94 %;5,72 %;21,99 %
1934;2,94 %;10,40 %;2,94 %;5,72 %;21,99 %
1936;2,94 %;10,40 %;2,94 %;5,72 %;21,99 %
1938;2,94 %;10,40 %;2,94 %;5,72 %;21,99 %
1940;2,94 %;10,40 %;2,94 %;5,72 %;21,99 %
1942;2,94 %;10,40 %;2,94 %;5,72 %;21,99 %
1944;2,94 %;10,40 %;2,94 %;5,72 %;21,99 %
1946;2,94 %;10,40 %;2,94 %;5,72 %;21,99 %
1948;2,94 %;10,40 %;2,94 %;5,72 %;21,99 %
1950;0,00 %;12,98 %;0,00 %;14,64 %;27,62 %
1952;0,00 %;12,98 %;0,00 %;14,64 %;27,62 %
1954;0,00 %;12,98 %;0,00 %;14,64 %;27,62 %
1956;0,00 %;12,98 %;0,00 %;14,64 %;27,62 %
1958;18,07 %;0,41 %;18,07 %;0,41 %;36,95 %
1960;18,07 %;0,41 %;18,07 %;0,41 %;36,95 %
1962;18,07 %;0,41 %;18,07 %;0,41 %;36,95 %
1964;18,07 %;0,41 %;18,07 %;0,41 %;36,95 %
1966;18,07 %;0,41 %;18,07 %;0,41 %;36,95 %
1968;18,07 %;0,41 %;18,07 %;0,41 %;36,95 %
1970;12,10 %;0,00 %;12,10 %;0,00 %;24,20 %
1972;12,10 %;0,00 %;12,10 %;0,00 %;24,20 %
1974;12,10 %;0,00 %;12,10 %;0,00 %;24,20 %
1976;12,10 %;0,00 %;12,10 %;0,00 %;24,20 %
1978;12,10 %;0,00 %;12,10 %;0,00 %;24,20 %
1980;10,36 %;0,75 %;10,36 %;0,75 %;22,22 %
1982;10,36 %;0,75 %;10,36 %;0,75 %;22,22 %
1984;1,47 %;10,87 %;1,47 %;6,97 %;20,78 %
1986;1,47 %;10,87 %;1,47 %;6,97 %;20,78 %
1988;1,47 %;10,87 %;1,47 %;6,97 %;20,78 %
1990;1,47 %;10,87 %;1,47 %;6,97 %;20,78 %
1992;1,47 %;10,87 %;1,47 %;6,97 %;20,78 %
1994;1,47 %;10,87 %;1,47 %;6,97 %;20,78 %
1996;3,26 %;11,14 %;3,26 %;5,73 %;23,40 %
1998;3,26 %;11,14 %;3,26 %;5,73 %;23,40 %
2000;3,26 %;11,14 %;3,26 %;5,73 %;23,40 %
2002;4,68 %;6,40 %;4,59 %;2,51 %;18,18 %
2004;4,68 %;6,40 %;4,59 %;2,51 %;18,18 %
2006;4,68 %;6,40 %;4,59 %;2,51 %;18,18 %
2008;4,68 %;6,40 %;4,59 %;2,51 %;18,18 %
2010;4,68 %;6,40 %;4,59 %;2,51 %;18,18 %
2012;4,68 %;6,40 %;4,59 %;2,51 %;18,18 %
2014;4,68 %;6,40 %;4,59 %;2,51 %;18,18 %
2016;4,68 %;6,40 %;4,59 %;2,51 %;18,18 %
2018;4,68 %;6,40 %;4,59 %;2,51 %;18,18 %
2020;4,68 %;6,40 %;4,59 %;2,51 %;18,18 %
2022;4,68 %;6,40 %;4,59 %;2,51 %;18,18 %
2024;4,68 %;6,40 %;4,59 %;2,51 %;18,18 %
2026;4,68 %;6,40 %;4,59 %;2,51 %;18,18 %
2028;4,68 %;6,40 %;4,59 %;2,51 %;18,18 %
2030;4,68 %;6,40 %;4,59 %;2,51 %;18,18 %
2032;4,68 %;6,40 %;4,59 %;2,51 %;18,18 %
2034;4,68 %;6,40 %;4,59 %;2,51 %;18,18 %
2036;4,68 %;6,40 %;4,59 %;2,51 %;18,18 %
2038;4,68 %;6,40 %;4,59 %;2,51 %;18,18 %
2040;4,68 %;6,40 %;4,59 %;2,51 %;18,18 %
2042;4,68 %;6,40 %;4,59 %;2,51 %;18,18 %
2044;4,68 %;6,40 %;4,59 %;2,51 %;18,18 %
2046;4,68 %;6,40 %;4,59 %;2,51 %;18,18 %
2048;4,68 %;6,40 %;4,59 %;2,51 %;18,18 %
2050;4,68 %;6,40 %;4,59 %;2,51 %;18,18 %
