TABULA_ID;YEAR1;YEAR2;A_G_BRUTTO;A_FL1;A_FL2;A_FL;U_FL1;U_FL2;U_FL_AVG;A_W1;A_W2;A_W3;A_W;U_W1;U_W2;U_W3;U_W_AVG;A_R1;A_R2;A_R;A_R1_NETTO;A_R2_NETTO;A_R_NETTO;U_R1;U_R2;U_R_AVG;ANG_R_AVG;SLOPING_R;PERC_TOP_USED;H_TOP;R_ADD_R;U_R_AVG_PROJ2;U_R_AVG_PROJ;A_C_Ref;N_FL_CALC;N_FL;A_WIN1;A_WIN2;A_FL;U_WIN1;U_WIN2;U_WIN_AVG
DE.N.SFH.01.Gen;0;1859;100,54;0,00;85,46;85,46;2,90;2,90;2,90;169,78;0,00;0,00;169,78;2,00;2,00;2,00;2,00;134,19;0,00;134,19;126,81;0,00;126,81;2,60;1,00;2,60;0,67;1,48;0,56;7,38;0,39;1,30;1,75;218,90;2,56;2,00;28,78;0,00;28,78;3,50;5,00;3,50
DE.N.SFH.02.Gen;1860;1918;92,12;45,60;32,70;78,30;1,20;1,20;1,20;194,04;0,00;0,00;194,04;1,70;1,70;1,70;1,70;83,12;0,00;83,12;78,55;0,00;78,55;1,30;1,00;1,30;1,00;1,00;0,81;13,69;0,72;0,67;1,30;141,79;1,81;2,00;22,30;0,00;22,30;3,50;3,50;3,50
DE.N.SFH.03.Gen;1919;1948;170,47;144,90;0,00;144,90;1,00;1,00;1,00;235,30;0,00;0,00;235,30;1,70;1,70;1,70;1,70;213,99;0,00;213,99;202,22;0,00;202,22;1,40;0,80;1,40;0,72;1,40;0,09;10,48;0,55;0,79;1,00;302,50;2,09;2,00;52,35;0,00;52,35;3,50;3,50;3,50
DE.N.SFH.04.Gen;1949;1957;94,00;62,00;17,90;79,90;1,01;1,01;1,01;117,80;0,00;0,00;117,80;1,40;1,40;1,40;1,40;125,40;0,00;125,40;118,50;0,00;118,50;1,40;0,80;1,40;0,67;1,48;0,39;7,14;0,37;0,92;0,94;111,10;1,39;1,00;18,40;0,00;18,40;3,50;3,50;3,50
DE.N.SFH.05.Gen;1958;1968;170,59;145,00;0,00;145,00;1,60;1,60;1,60;183,33;0,00;51,00;234,33;1,20;1,20;1,20;1,20;180,90;0,00;180,90;170,95;0,00;170,95;0,80;0,60;0,80;0,85;1,18;0,84;13,66;0,72;0,51;0,68;266,20;1,84;2,00;45,15;0,00;45,15;3,50;3,50;3,50
DE.N.SFH.06.Gen;1969;1978;179,20;78,32;74,00;152,32;1,00;1,00;1,00;177,55;0,00;0,00;177,55;1,00;1,00;1,00;1,00;183,13;0,00;183,13;173,06;0,00;173,06;0,50;0,60;0,50;0,88;1,14;0,14;14,93;0,78;0,36;0,44;173,25;1,14;1,00;34,21;0,00;34,21;3,50;3,50;3,50
DE.N.SFH.06.LightFrame;1969;1978;124,71;106,00;0,00;106,00;1,00;1,00;1,00;117,00;0,00;0,00;117,00;0,60;0,60;0,60;0,60;138,00;0,00;138,00;130,41;0,00;130,41;0,50;0,50;0,50;0,81;1,23;0,74;10,88;0,57;0,39;0,41;184,80;1,74;1,00;32,00;0,00;32,00;3,50;3,50;3,50
DE.N.SFH.07.Gen;1979;1983;98,12;83,40;0,00;83,40;0,80;0,80;0,80;159,40;0,00;0,00;159,40;0,80;0,80;0,80;0,80;100,80;0,00;100,80;95,26;0,00;95,26;0,50;0,50;0,50;0,88;1,14;0,59;10,95;0,57;0,39;0,44;215,60;2,59;2,00;27,00;0,00;27,00;4,30;4,30;4,30
DE.N.SFH.08.Gen;1984;1994;88,62;75,33;0,00;75,33;0,60;0,60;0,60;211,30;0,00;0,00;211,30;0,50;0,50;0,50;0,50;123,20;0,00;123,20;116,42;0,00;116,42;0,40;0,40;0,40;0,65;1,55;0,99;6,56;0,34;0,35;0,26;150,21;1,99;2,00;29,67;0,00;29,67;3,50;3,50;3,50
DE.N.SFH.09.Gen;1995;2001;99,19;84,31;0,00;84,31;0,45;0,45;0,45;126,60;0,00;0,00;126,60;0,30;0,30;0,30;0,30;115,50;0,00;115,50;109,15;0,00;109,15;0,35;0,30;0,35;0,77;1,29;0,45;8,95;0,47;0,30;0,27;121,88;1,45;1,00;32,46;0,00;32,46;1,90;1,90;1,90
DE.N.SFH.10.Gen;2002;2009;93,91;79,82;0,00;79,82;0,30;0,30;0,30;188,86;0,00;0,00;188,86;0,30;0,30;0,30;0,30;85,91;0,00;85,91;81,18;0,00;81,18;0,25;0,24;0,25;0,98;1,02;0,84;13,41;0,70;0,21;0,25;146,52;1,84;2,00;28,30;0,00;28,30;1,40;1,40;1,40
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
