YEAR;U_BASE;U_WALL;U_ROOF;U_AVG_OPAQ;U_WINDOW;U_ROOF_PRJ1;U_ROOF_PRJ2
1840;2,90;2,00;2,60;2,50;3,50;1,30;1,75
1842;2,90;2,00;2,60;2,50;3,50;1,30;1,75
1844;2,90;2,00;2,60;2,50;3,50;1,30;1,75
1846;2,90;2,00;2,60;2,50;3,50;1,30;1,75
1848;2,90;2,00;2,60;2,50;3,50;1,30;1,75
1850;2,90;2,00;2,60;2,50;3,50;1,30;1,75
1852;2,90;2,00;2,60;2,50;3,50;1,30;1,75
1854;2,90;2,00;2,60;2,50;3,50;1,30;1,75
1856;2,90;2,00;2,60;2,50;3,50;1,30;1,75
1858;2,90;2,00;2,60;2,50;3,50;1,30;1,75
1860;1,20;1,70;1,30;1,40;3,50;0,67;1,30
1862;1,20;1,70;1,30;1,40;3,50;0,67;1,30
1864;1,20;1,70;1,30;1,40;3,50;0,67;1,30
1866;1,20;1,70;1,30;1,40;3,50;0,67;1,30
1868;1,20;1,70;1,30;1,40;3,50;0,67;1,30
1870;1,20;1,70;1,30;1,40;3,50;0,67;1,30
1872;1,20;1,70;1,30;1,40;3,50;0,67;1,30
1874;1,20;1,70;1,30;1,40;3,50;0,67;1,30
1876;1,20;1,70;1,30;1,40;3,50;0,67;1,30
1878;1,20;1,70;1,30;1,40;3,50;0,67;1,30
1880;1,20;1,70;1,30;1,40;3,50;0,67;1,30
1882;1,20;1,70;1,30;1,40;3,50;0,67;1,30
1884;1,20;1,70;1,30;1,40;3,50;0,67;1,30
1886;1,20;1,70;1,30;1,40;3,50;0,67;1,30
1888;1,20;1,70;1,30;1,40;3,50;0,67;1,30
1890;1,20;1,70;1,30;1,40;3,50;0,67;1,30
1892;1,20;1,70;1,30;1,40;3,50;0,67;1,30
1894;1,20;1,70;1,30;1,40;3,50;0,67;1,30
1896;1,20;1,70;1,30;1,40;3,50;0,67;1,30
1898;1,20;1,70;1,30;1,40;3,50;0,67;1,30
1900;1,20;1,70;1,30;1,40;3,50;0,67;1,30
1902;1,20;1,70;1,30;1,40;3,50;0,67;1,30
1904;1,20;1,70;1,30;1,40;3,50;0,67;1,30
1906;1,20;1,70;1,30;1,40;3,50;0,67;1,30
1908;1,20;1,70;1,30;1,40;3,50;0,67;1,30
1910;1,20;1,70;1,30;1,40;3,50;0,67;1,30
1912;1,20;1,70;1,30;1,40;3,50;0,67;1,30
1914;1,20;1,70;1,30;1,40;3,50;0,67;1,30
1916;1,20;1,70;1,30;1,40;3,50;0,67;1,30
1918;1,20;1,70;1,30;1,40;3,50;0,67;1,30
1920;1,00;1,70;1,40;1,37;3,50;0,79;1,00
1922;1,00;1,70;1,40;1,37;3,50;0,79;1,00
1924;1,00;1,70;1,40;1,37;3,50;0,79;1,00
1926;1,00;1,70;1,40;1,37;3,50;0,79;1,00
1928;1,00;1,70;1,40;1,37;3,50;0,79;1,00
1930;1,00;1,70;1,40;1,37;3,50;0,79;1,00
1932;1,00;1,70;1,40;1,37;3,50;0,79;1,00
1934;1,00;1,70;1,40;1,37;3,50;0,79;1,00
1936;1,00;1,70;1,40;1,37;3,50;0,79;1,00
1938;1,00;1,70;1,40;1,37;3,50;0,79;1,00
1940;1,00;1,70;1,40;1,37;3,50;0,79;1,00
1942;1,00;1,70;1,40;1,37;3,50;0,79;1,00
1944;1,00;1,70;1,40;1,37;3,50;0,79;1,00
1946;1,00;1,70;1,40;1,37;3,50;0,79;1,00
1948;1,00;1,70;1,40;1,37;3,50;0,79;1,00
1950;1,01;1,40;1,40;1,27;3,50;0,92;0,94
1952;1,01;1,40;1,40;1,27;3,50;0,92;0,94
1954;1,01;1,40;1,40;1,27;3,50;0,92;0,94
1956;1,01;1,40;1,40;1,27;3,50;0,92;0,94
1958;1,60;1,20;0,80;1,20;3,50;0,51;0,68
1960;1,60;1,20;0,80;1,20;3,50;0,51;0,68
1962;1,60;1,20;0,80;1,20;3,50;0,51;0,68
1964;1,60;1,20;0,80;1,20;3,50;0,51;0,68
1966;1,60;1,20;0,80;1,20;3,50;0,51;0,68
1968;1,60;1,20;0,80;1,20;3,50;0,51;0,68
1970;1,00;0,60;0,50;0,70;3,50;0,39;0,41
1972;1,00;0,60;0,50;0,70;3,50;0,39;0,41
1974;1,00;0,60;0,50;0,70;3,50;0,39;0,41
1976;1,00;0,60;0,50;0,70;3,50;0,39;0,41
1978;1,00;0,60;0,50;0,70;3,50;0,39;0,41
1980;0,80;0,80;0,50;0,70;4,30;0,39;0,44
1982;0,80;0,80;0,50;0,70;4,30;0,39;0,44
1984;0,60;0,50;0,40;0,50;3,50;0,35;0,26
1986;0,60;0,50;0,40;0,50;3,50;0,35;0,26
1988;0,60;0,50;0,40;0,50;3,50;0,35;0,26
1990;0,60;0,50;0,40;0,50;3,50;0,35;0,26
1992;0,60;0,50;0,40;0,50;3,50;0,35;0,26
1994;0,60;0,50;0,40;0,50;3,50;0,35;0,26
1996;0,45;0,30;0,35;0,37;1,90;0,30;0,27
1998;0,45;0,30;0,35;0,37;1,90;0,30;0,27
2000;0,45;0,30;0,35;0,37;1,90;0,30;0,27
2002;0,30;0,30;0,25;0,28;1,40;0,21;0,25
2004;0,30;0,30;0,25;0,28;1,40;0,21;0,25
2006;0,30;0,30;0,25;0,28;1,40;0,21;0,25
2008;0,30;0,30;0,25;0,28;1,40;0,21;0,25
2010;0,30;0,30;0,25;0,28;1,40;0,21;0,25
2012;0,30;0,30;0,25;0,28;1,40;0,21;0,25
2014;0,30;0,30;0,25;0,28;1,40;0,21;0,25
2016;0,30;0,30;0,25;0,28;1,40;0,21;0,25
2018;0,30;0,30;0,25;0,28;1,40;0,21;0,25
2020;0,30;0,30;0,25;0,28;1,40;0,21;0,25
2022;0,30;0,30;0,25;0,28;1,40;0,21;0,25
2024;0,30;0,30;0,25;0,28;1,40;0,21;0,25
2026;0,30;0,30;0,25;0,28;1,40;0,21;0,25
2028;0,30;0,30;0,25;0,28;1,40;0,21;0,25
2030;0,30;0,30;0,25;0,28;1,40;0,21;0,25
