YEAR;A_WIN_E_BY_ A_W;A_WIN_S_BY_ A_W;A_WIN_W_BY_ A_W;A_WIN_N_BY_ A_W;A_WIN_BY_ A_W
1840;4,68 %;5,63 %;4,68 %;1,97 %;16,95 %
1842;4,68 %;5,63 %;4,68 %;1,97 %;16,95 %
1844;4,68 %;5,63 %;4,68 %;1,97 %;16,95 %
1846;4,68 %;5,63 %;4,68 %;1,97 %;16,95 %
1848;4,68 %;5,63 %;4,68 %;1,97 %;16,95 %
1850;4,68 %;5,63 %;4,68 %;1,97 %;16,95 %
1852;4,68 %;5,63 %;4,68 %;1,97 %;16,95 %
1854;4,68 %;5,63 %;4,68 %;1,97 %;16,95 %
1856;4,68 %;5,63 %;4,68 %;1,97 %;16,95 %
1858;4,68 %;5,63 %;4,68 %;1,97 %;16,95 %
1860;3,94 %;2,89 %;3,94 %;0,72 %;11,49 %
1862;3,94 %;2,89 %;3,94 %;0,72 %;11,49 %
1864;3,94 %;2,89 %;3,94 %;0,72 %;11,49 %
1866;3,94 %;2,89 %;3,94 %;0,72 %;11,49 %
1868;3,94 %;2,89 %;3,94 %;0,72 %;11,49 %
1870;3,94 %;2,89 %;3,94 %;0,72 %;11,49 %
1872;3,94 %;2,89 %;3,94 %;0,72 %;11,49 %
1874;3,94 %;2,89 %;3,94 %;0,72 %;11,49 %
1876;3,94 %;2,89 %;3,94 %;0,72 %;11,49 %
1878;3,94 %;2,89 %;3,94 %;0,72 %;11,49 %
1880;3,94 %;2,89 %;3,94 %;0,72 %;11,49 %
1882;3,94 %;2,89 %;3,94 %;0,72 %;11,49 %
1884;3,94 %;2,89 %;3,94 %;0,72 %;11,49 %
1886;3,94 %;2,89 %;3,94 %;0,72 %;11,49 %
1888;3,94 %;2,89 %;3,94 %;0,72 %;11,49 %
1890;3,94 %;2,89 %;3,94 %;0,72 %;11,49 %
1892;3,94 %;2,89 %;3,94 %;0,72 %;11,49 %
1894;3,94 %;2,89 %;3,94 %;0,72 %;11,49 %
1896;3,94 %;2,89 %;3,94 %;0,72 %;11,49 %
1898;3,94 %;2,89 %;3,94 %;0,72 %;11,49 %
1900;3,94 %;2,89 %;3,94 %;0,72 %;11,49 %
1902;3,94 %;2,89 %;3,94 %;0,72 %;11,49 %
1904;3,94 %;2,89 %;3,94 %;0,72 %;11,49 %
1906;3,94 %;2,89 %;3,94 %;0,72 %;11,49 %
1908;3,94 %;2,89 %;3,94 %;0,72 %;11,49 %
1910;3,94 %;2,89 %;3,94 %;0,72 %;11,49 %
1912;3,94 %;2,89 %;3,94 %;0,72 %;11,49 %
1914;3,94 %;2,89 %;3,94 %;0,72 %;11,49 %
1916;3,94 %;2,89 %;3,94 %;0,72 %;11,49 %
1918;3,94 %;2,89 %;3,94 %;0,72 %;11,49 %
1920;3,87 %;9,35 %;3,87 %;5,16 %;22,25 %
1922;3,87 %;9,35 %;3,87 %;5,16 %;22,25 %
1924;3,87 %;9,35 %;3,87 %;5,16 %;22,25 %
1926;3,87 %;9,35 %;3,87 %;5,16 %;22,25 %
