YEAR;U_BASE;U_WALL;U_ROOF;U_AVG_OPAQ;U_WINDOW;U_ROOF_PRJ1;U_ROOF_PRJ2
1840;1,20;1,70;1,00;1,30;2,70;1,00;1,06
1842;1,20;1,70;1,00;1,30;2,70;1,00;1,06
1844;1,20;1,70;1,00;1,30;2,70;1,00;1,06
1846;1,20;1,70;1,00;1,30;2,70;1,00;1,06
1848;1,20;1,70;1,00;1,30;2,70;1,00;1,06
1850;1,20;1,70;1,00;1,30;2,70;1,00;1,06
1852;1,20;1,70;1,00;1,30;2,70;1,00;1,06
1854;1,20;1,70;1,00;1,30;2,70;1,00;1,06
1856;1,20;1,70;1,00;1,30;2,70;1,00;1,06
1858;1,20;1,70;1,00;1,30;2,70;1,00;1,06
1860;1,20;1,70;1,00;1,30;2,70;1,00;1,06
1862;1,20;1,70;1,00;1,30;2,70;1,00;1,06
1864;1,20;1,70;1,00;1,30;2,70;1,00;1,06
1866;1,20;1,70;1,00;1,30;2,70;1,00;1,06
1868;1,20;1,70;1,00;1,30;2,70;1,00;1,06
1870;1,20;1,70;1,00;1,30;2,70;1,00;1,06
1872;1,20;1,70;1,00;1,30;2,70;1,00;1,06
1874;1,20;1,70;1,00;1,30;2,70;1,00;1,06
1876;1,20;1,70;1,00;1,30;2,70;1,00;1,06
1878;1,20;1,70;1,00;1,30;2,70;1,00;1,06
1880;1,20;1,70;1,00;1,30;2,70;1,00;1,06
1882;1,20;1,70;1,00;1,30;2,70;1,00;1,06
1884;1,20;1,70;1,00;1,30;2,70;1,00;1,06
1886;1,20;1,70;1,00;1,30;2,70;1,00;1,06
1888;1,20;1,70;1,00;1,30;2,70;1,00;1,06
1890;1,20;1,70;1,00;1,30;2,70;1,00;1,06
1892;1,20;1,70;1,00;1,30;2,70;1,00;1,06
1894;1,20;1,70;1,00;1,30;2,70;1,00;1,06
1896;1,20;1,70;1,00;1,30;2,70;1,00;1,06
1898;1,20;1,70;1,00;1,30;2,70;1,00;1,06
1900;1,20;1,70;1,00;1,30;2,70;1,00;1,06
1902;1,20;1,70;1,00;1,30;2,70;1,00;1,06
1904;1,20;1,70;1,00;1,30;2,70;1,00;1,06
1906;1,20;1,70;1,00;1,30;2,70;1,00;1,06
1908;1,20;1,70;1,00;1,30;2,70;1,00;1,06
1910;1,20;1,70;1,00;1,30;2,70;1,00;1,06
1912;1,20;1,70;1,00;1,30;2,70;1,00;1,06
1914;1,20;1,70;1,00;1,30;2,70;1,00;1,06
1916;1,20;1,70;1,00;1,30;2,70;1,00;1,06
1918;1,20;1,70;1,00;1,30;2,70;1,00;1,06
1920;1,00;1,70;0,80;1,17;3,50;0,80;0,85
1922;1,00;1,70;0,80;1,17;3,50;0,80;0,85
1924;1,00;1,70;0,80;1,17;3,50;0,80;0,85
1926;1,00;1,70;0,80;1,17;3,50;0,80;0,85
1928;1,00;1,70;0,80;1,17;3,50;0,80;0,85
1930;1,00;1,70;0,80;1,17;3,50;0,80;0,85
1932;1,00;1,70;0,80;1,17;3,50;0,80;0,85
1934;1,00;1,70;0,80;1,17;3,50;0,80;0,85
1936;1,00;1,70;0,80;1,17;3,50;0,80;0,85
