YEAR;A_WIN_E_BY_ A_W;A_WIN_S_BY_ A_W;A_WIN_W_BY_ A_W;A_WIN_N_BY_ A_W;A_WIN_BY_ A_W
1840;0,00 %;10,72 %;0,00 %;13,58 %;24,29 %
1842;0,00 %;10,72 %;0,00 %;13,58 %;24,29 %
1844;0,00 %;10,72 %;0,00 %;13,58 %;24,29 %
1846;0,00 %;10,72 %;0,00 %;13,58 %;24,29 %
1848;0,00 %;10,72 %;0,00 %;13,58 %;24,29 %
1850;0,00 %;10,72 %;0,00 %;13,58 %;24,29 %
1852;0,00 %;10,72 %;0,00 %;13,58 %;24,29 %
1854;0,00 %;10,72 %;0,00 %;13,58 %;24,29 %
1856;0,00 %;10,72 %;0,00 %;13,58 %;24,29 %
1858;0,00 %;10,72 %;0,00 %;13,58 %;24,29 %
1860;0,00 %;10,72 %;0,00 %;13,58 %;24,29 %
1862;0,00 %;10,72 %;0,00 %;13,58 %;24,29 %
1864;0,00 %;10,72 %;0,00 %;13,58 %;24,29 %
1866;0,00 %;10,72 %;0,00 %;13,58 %;24,29 %
1868;0,00 %;10,72 %;0,00 %;13,58 %;24,29 %
1870;0,00 %;10,72 %;0,00 %;13,58 %;24,29 %
1872;0,00 %;10,72 %;0,00 %;13,58 %;24,29 %
1874;0,00 %;10,72 %;0,00 %;13,58 %;24,29 %
1876;0,00 %;10,72 %;0,00 %;13,58 %;24,29 %
1878;0,00 %;10,72 %;0,00 %;13,58 %;24,29 %
1880;0,00 %;10,72 %;0,00 %;13,58 %;24,29 %
1882;0,00 %;10,72 %;0,00 %;13,58 %;24,29 %
1884;0,00 %;10,72 %;0,00 %;13,58 %;24,29 %
1886;0,00 %;10,72 %;0,00 %;13,58 %;24,29 %
1888;0,00 %;10,72 %;0,00 %;13,58 %;24,29 %
1890;0,00 %;10,72 %;0,00 %;13,58 %;24,29 %
1892;0,00 %;10,72 %;0,00 %;13,58 %;24,29 %
1894;0,00 %;10,72 %;0,00 %;13,58 %;24,29 %
1896;0,00 %;10,72 %;0,00 %;13,58 %;24,29 %
1898;0,00 %;10,72 %;0,00 %;13,58 %;24,29 %
1900;0,00 %;10,72 %;0,00 %;13,58 %;24,29 %
1902;0,00 %;10,72 %;0,00 %;13,58 %;24,29 %
1904;0,00 %;10,72 %;0,00 %;13,58 %;24,29 %
1906;0,00 %;10,72 %;0,00 %;13,58 %;24,29 %
1908;0,00 %;10,72 %;0,00 %;13,58 %;24,29 %
1910;0,00 %;10,72 %;0,00 %;13,58 %;24,29 %
1912;0,00 %;10,72 %;0,00 %;13,58 %;24,29 %
1914;0,00 %;10,72 %;0,00 %;13,58 %;24,29 %
1916;0,00 %;10,72 %;0,00 %;13,58 %;24,29 %
1918;0,00 %;10,72 %;0,00 %;13,58 %;24,29 %
1920;0,00 %;21,13 %;0,00 %;12,36 %;33,49 %
1922;0,00 %;21,13 %;0,00 %;12,36 %;33,49 %
1924;0,00 %;21,13 %;0,00 %;12,36 %;33,49 %
1926;0,00 %;21,13 %;0,00 %;12,36 %;33,49 %
1928;0,00 %;21,13 %;0,00 %;12,36 %;33,49 %
1930;0,00 %;21,13 %;0,00 %;12,36 %;33,49 %
1932;0,00 %;21,13 %;0,00 %;12,36 %;33,49 %
