YEAR;A_WIN_E_BY_AW;A_WIN_S_BY_AW;A_WIN_W_BY_AW;A_WIN_N_BY_AW;A_WIN_BY_AW
1840;0,074;0,055;0,074;0,047;0,250
1842;0,074;0,055;0,074;0,047;0,250
1844;0,074;0,055;0,074;0,047;0,250
1846;0,074;0,055;0,074;0,047;0,250
1848;0,074;0,055;0,074;0,047;0,250
1850;0,074;0,055;0,074;0,047;0,250
1852;0,074;0,055;0,074;0,047;0,250
1854;0,074;0,055;0,074;0,047;0,250
1856;0,074;0,055;0,074;0,047;0,250
1858;0,074;0,055;0,074;0,047;0,250
1860;0,109;0,036;0,109;0,040;0,294
1862;0,109;0,036;0,109;0,040;0,294
1864;0,109;0,036;0,109;0,040;0,294
1866;0,109;0,036;0,109;0,040;0,294
1868;0,109;0,036;0,109;0,040;0,294
1870;0,109;0,036;0,109;0,040;0,294
1872;0,109;0,036;0,109;0,040;0,294
1874;0,109;0,036;0,109;0,040;0,294
1876;0,109;0,036;0,109;0,040;0,294
1878;0,109;0,036;0,109;0,040;0,294
1880;0,109;0,036;0,109;0,040;0,294
1882;0,109;0,036;0,109;0,040;0,294
1884;0,109;0,036;0,109;0,040;0,294
1886;0,109;0,036;0,109;0,040;0,294
1888;0,109;0,036;0,109;0,040;0,294
1890;0,109;0,036;0,109;0,040;0,294
1892;0,109;0,036;0,109;0,040;0,294
1894;0,109;0,036;0,109;0,040;0,294
1896;0,109;0,036;0,109;0,040;0,294
1898;0,109;0,036;0,109;0,040;0,294
1900;0,109;0,036;0,109;0,040;0,294
1902;0,109;0,036;0,109;0,040;0,294
1904;0,109;0,036;0,109;0,040;0,294
1906;0,109;0,036;0,109;0,040;0,294
1908;0,109;0,036;0,109;0,040;0,294
1910;0,109;0,036;0,109;0,040;0,294
1912;0,109;0,036;0,109;0,040;0,294
1914;0,109;0,036;0,109;0,040;0,294
1916;0,109;0,036;0,109;0,040;0,294
1918;0,109;0,036;0,109;0,040;0,294
1920;0,043;0,107;0,043;0,058;0,250
1922;0,043;0,107;0,043;0,058;0,250
1924;0,043;0,107;0,043;0,058;0,250
1926;0,043;0,107;0,043;0,058;0,250
1928;0,043;0,107;0,043;0,058;0,250
1930;0,043;0,107;0,043;0,058;0,250
1932;0,043;0,107;0,043;0,058;0,250
1934;0,043;0,107;0,043;0,058;0,250
1936;0,043;0,107;0,043;0,058;0,250
1938;0,043;0,107;0,043;0,058;0,250
1940;0,043;0,107;0,043;0,058;0,250
1942;0,043;0,107;0,043;0,058;0,250
1944;0,043;0,107;0,043;0,058;0,250
1946;0,043;0,107;0,043;0,058;0,250
1948;0,043;0,107;0,043;0,058;0,250
1950;0,030;0,105;0,030;0,083;0,248
1952;0,030;0,105;0,030;0,083;0,248
1954;0,030;0,105;0,030;0,083;0,248
1956;0,030;0,105;0,030;0,083;0,248
1958;0,073;0,084;0,073;0,065;0,294
1960;0,073;0,084;0,073;0,065;0,294
1962;0,073;0,084;0,073;0,065;0,294
1964;0,073;0,084;0,073;0,065;0,294
1966;0,073;0,084;0,073;0,065;0,294
1968;0,073;0,084;0,073;0,065;0,294
1970;0,129;0,035;0,129;0,007;0,301
1972;0,129;0,035;0,129;0,007;0,301
1974;0,129;0,035;0,129;0,007;0,301
1976;0,129;0,035;0,129;0,007;0,301
1978;0,129;0,035;0,129;0,007;0,301
1980;0,063;0,090;0,063;0,062;0,279
1982;0,063;0,090;0,063;0,062;0,279
1984;0,059;0,074;0,059;0,046;0,237
1986;0,059;0,074;0,059;0,046;0,237
1988;0,059;0,074;0,059;0,046;0,237
1990;0,059;0,074;0,059;0,046;0,237
1992;0,059;0,074;0,059;0,046;0,237
1994;0,059;0,074;0,059;0,046;0,237
1996;0,015;0,177;0,015;0,068;0,275
1998;0,015;0,177;0,015;0,068;0,275
2000;0,015;0,177;0,015;0,068;0,275
2002;0,029;0,106;0,028;0,042;0,205
2004;0,029;0,106;0,028;0,042;0,205
2006;0,029;0,106;0,028;0,042;0,205
2008;0,029;0,106;0,028;0,042;0,205
2010;0,029;0,106;0,028;0,042;0,205
2012;0,029;0,106;0,028;0,042;0,205
2014;0,029;0,106;0,028;0,042;0,205
2016;0,029;0,106;0,028;0,042;0,205
2018;0,029;0,106;0,028;0,042;0,205
2020;0,029;0,106;0,028;0,042;0,205
2022;0,029;0,106;0,028;0,042;0,205
2024;0,029;0,106;0,028;0,042;0,205
2026;0,029;0,106;0,028;0,042;0,205
2028;0,029;0,106;0,028;0,042;0,205
2030;0,029;0,106;0,028;0,042;0,205
2032;0,029;0,106;0,028;0,042;0,205
2034;0,029;0,106;0,028;0,042;0,205
2036;0,029;0,106;0,028;0,042;0,205
2038;0,029;0,106;0,028;0,042;0,205
2040;0,029;0,106;0,028;0,042;0,205
2042;0,029;0,106;0,028;0,042;0,205
2044;0,029;0,106;0,028;0,042;0,205
2046;0,029;0,106;0,028;0,042;0,205
2048;0,029;0,106;0,028;0,042;0,205
2050;0,029;0,106;0,028;0,042;0,205
