YEAR;A_WIN_E_BY_AW;A_WIN_S_BY_AW;A_WIN_W_BY_AW;A_WIN_N_BY_AW;A_WIN_BY_AW
1840;0,22;0,01;0,22;0,01;0,45
1842;0,22;0,01;0,22;0,01;0,45
1844;0,22;0,01;0,22;0,01;0,45
1846;0,22;0,01;0,22;0,01;0,45
1848;0,22;0,01;0,22;0,01;0,45
1850;0,22;0,01;0,22;0,01;0,45
1852;0,22;0,01;0,22;0,01;0,45
1854;0,22;0,01;0,22;0,01;0,45
1856;0,22;0,01;0,22;0,01;0,45
1858;0,22;0,01;0,22;0,01;0,45
1860;0,22;0,01;0,22;0,01;0,45
1862;0,22;0,01;0,22;0,01;0,45
1864;0,22;0,01;0,22;0,01;0,45
1866;0,22;0,01;0,22;0,01;0,45
1868;0,22;0,01;0,22;0,01;0,45
1870;0,22;0,01;0,22;0,01;0,45
1872;0,22;0,01;0,22;0,01;0,45
1874;0,22;0,01;0,22;0,01;0,45
1876;0,22;0,01;0,22;0,01;0,45
1878;0,22;0,01;0,22;0,01;0,45
1880;0,22;0,01;0,22;0,01;0,45
1882;0,22;0,01;0,22;0,01;0,45
1884;0,22;0,01;0,22;0,01;0,45
1886;0,22;0,01;0,22;0,01;0,45
1888;0,22;0,01;0,22;0,01;0,45
1890;0,22;0,01;0,22;0,01;0,45
1892;0,22;0,01;0,22;0,01;0,45
1894;0,22;0,01;0,22;0,01;0,45
1896;0,22;0,01;0,22;0,01;0,45
1898;0,22;0,01;0,22;0,01;0,45
1900;0,22;0,01;0,22;0,01;0,45
1902;0,22;0,01;0,22;0,01;0,45
1904;0,22;0,01;0,22;0,01;0,45
1906;0,22;0,01;0,22;0,01;0,45
1908;0,22;0,01;0,22;0,01;0,45
1910;0,22;0,01;0,22;0,01;0,45
1912;0,22;0,01;0,22;0,01;0,45
1914;0,22;0,01;0,22;0,01;0,45
1916;0,22;0,01;0,22;0,01;0,45
1918;0,22;0,01;0,22;0,01;0,45
1920;0,10;0,02;0,10;0,00;0,22
1922;0,10;0,02;0,10;0,00;0,22
1924;0,10;0,02;0,10;0,00;0,22
1926;0,10;0,02;0,10;0,00;0,22
1928;0,10;0,02;0,10;0,00;0,22
1930;0,10;0,02;0,10;0,00;0,22
1932;0,10;0,02;0,10;0,00;0,22
1934;0,10;0,02;0,10;0,00;0,22
1936;0,10;0,02;0,10;0,00;0,22
1938;0,10;0,02;0,10;0,00;0,22
1940;0,10;0,02;0,10;0,00;0,22
1942;0,10;0,02;0,10;0,00;0,22
1944;0,10;0,02;0,10;0,00;0,22
1946;0,10;0,02;0,10;0,00;0,22
1948;0,10;0,02;0,10;0,00;0,22
1950;0,09;0,03;0,09;0,00;0,21
1952;0,09;0,03;0,09;0,00;0,21
1954;0,09;0,03;0,09;0,00;0,21
1956;0,09;0,03;0,09;0,00;0,21
1958;0,07;0,09;0,07;0,05;0,28
1960;0,07;0,09;0,07;0,05;0,28
1962;0,07;0,09;0,07;0,05;0,28
1964;0,07;0,09;0,07;0,05;0,28
1966;0,07;0,09;0,07;0,05;0,28
1968;0,07;0,09;0,07;0,05;0,28
1970;0,13;0,00;0,13;0,00;0,25
1972;0,13;0,00;0,13;0,00;0,25
1974;0,13;0,00;0,13;0,00;0,25
1976;0,13;0,00;0,13;0,00;0,25
1978;0,13;0,00;0,13;0,00;0,25
1980;0,09;0,09;0,09;0,07;0,35
1982;0,09;0,09;0,09;0,07;0,35
1984;0,00;0,13;0,00;0,10;0,23
1986;0,00;0,13;0,00;0,10;0,23
1988;0,00;0,13;0,00;0,10;0,23
1990;0,00;0,13;0,00;0,10;0,23
1992;0,00;0,13;0,00;0,10;0,23
1994;0,00;0,13;0,00;0,10;0,23
1996;0,00;0,13;0,00;0,10;0,23
1998;0,00;0,13;0,00;0,10;0,23
2000;0,00;0,13;0,00;0,10;0,23
2002;0,00;0,13;0,00;0,10;0,23
2004;0,00;0,13;0,00;0,10;0,23
2006;0,00;0,13;0,00;0,10;0,23
2008;0,00;0,13;0,00;0,10;0,23
2010;0,00;0,13;0,00;0,10;0,23
2012;0,00;0,13;0,00;0,10;0,23
2014;0,00;0,13;0,00;0,10;0,23
2016;0,00;0,13;0,00;0,10;0,23
2018;0,00;0,13;0,00;0,10;0,23
2020;0,00;0,13;0,00;0,10;0,23
2022;0,00;0,13;0,00;0,10;0,23
2024;0,00;0,13;0,00;0,10;0,23
2026;0,00;0,13;0,00;0,10;0,23
2028;0,00;0,13;0,00;0,10;0,23
2030;0,00;0,13;0,00;0,10;0,23
2032;0,00;0,13;0,00;0,10;0,23
2034;0,00;0,13;0,00;0,10;0,23
2036;0,00;0,13;0,00;0,10;0,23
2038;0,00;0,13;0,00;0,10;0,23
2040;0,00;0,13;0,00;0,10;0,23
2042;0,00;0,13;0,00;0,10;0,23
2044;0,00;0,13;0,00;0,10;0,23
2046;0,00;0,13;0,00;0,10;0,23
2048;0,00;0,13;0,00;0,10;0,23
2050;0,00;0,13;0,00;0,10;0,23
