YEAR;U_BASE;U_WALL;U_ROOF;U_AVG_OPAQ;U_WINDOW;U_ROOF_PRJ1;U_ROOF_PRJ2
1840;1,20;2,00;2,60;1,93;3,50;1,10;1,68
1842;1,20;2,00;2,60;1,93;3,50;1,10;1,68
1844;1,20;2,00;2,60;1,93;3,50;1,10;1,68
1846;1,20;2,00;2,60;1,93;3,50;1,10;1,68
1848;1,20;2,00;2,60;1,93;3,50;1,10;1,68
1850;1,20;2,00;2,60;1,93;3,50;1,10;1,68
1852;1,20;2,00;2,60;1,93;3,50;1,10;1,68
1854;1,20;2,00;2,60;1,93;3,50;1,10;1,68
1856;1,20;2,00;2,60;1,93;3,50;1,10;1,68
1858;1,20;2,00;2,60;1,93;3,50;1,10;1,68
1860;1,20;2,20;1,30;1,57;2,70;1,30;1,38
1862;1,20;2,20;1,30;1,57;2,70;1,30;1,38
1864;1,20;2,20;1,30;1,57;2,70;1,30;1,38
1866;1,20;2,20;1,30;1,57;2,70;1,30;1,38
1868;1,20;2,20;1,30;1,57;2,70;1,30;1,38
1870;1,20;2,20;1,30;1,57;2,70;1,30;1,38
1872;1,20;2,20;1,30;1,57;2,70;1,30;1,38
1874;1,20;2,20;1,30;1,57;2,70;1,30;1,38
1876;1,20;2,20;1,30;1,57;2,70;1,30;1,38
1878;1,20;2,20;1,30;1,57;2,70;1,30;1,38
1880;1,20;2,20;1,30;1,57;2,70;1,30;1,38
1882;1,20;2,20;1,30;1,57;2,70;1,30;1,38
1884;1,20;2,20;1,30;1,57;2,70;1,30;1,38
1886;1,20;2,20;1,30;1,57;2,70;1,30;1,38
1888;1,20;2,20;1,30;1,57;2,70;1,30;1,38
1890;1,20;2,20;1,30;1,57;2,70;1,30;1,38
1892;1,20;2,20;1,30;1,57;2,70;1,30;1,38
1894;1,20;2,20;1,30;1,57;2,70;1,30;1,38
1896;1,20;2,20;1,30;1,57;2,70;1,30;1,38
1898;1,20;2,20;1,30;1,57;2,70;1,30;1,38
1900;1,20;2,20;1,30;1,57;2,70;1,30;1,38
1902;1,20;2,20;1,30;1,57;2,70;1,30;1,38
1904;1,20;2,20;1,30;1,57;2,70;1,30;1,38
1906;1,20;2,20;1,30;1,57;2,70;1,30;1,38
1908;1,20;2,20;1,30;1,57;2,70;1,30;1,38
1910;1,20;2,20;1,30;1,57;2,70;1,30;1,38
1912;1,20;2,20;1,30;1,57;2,70;1,30;1,38
