YEAR;A_WIN_E_BY_AW;A_WIN_S_BY_AW;A_WIN_W_BY_AW;A_WIN_N_BY_AW;A_WIN_BY_AW
1840;0,03;0,05;0,03;0,03;0,14
1842;0,03;0,05;0,03;0,03;0,14
1844;0,03;0,05;0,03;0,03;0,14
1846;0,03;0,05;0,03;0,03;0,14
1848;0,03;0,05;0,03;0,03;0,14
1850;0,03;0,05;0,03;0,03;0,14
1852;0,03;0,05;0,03;0,03;0,14
1854;0,03;0,05;0,03;0,03;0,14
1856;0,03;0,05;0,03;0,03;0,14
1858;0,03;0,05;0,03;0,03;0,14
1860;0,18;0,00;0,18;0,01;0,37
1862;0,18;0,00;0,18;0,01;0,37
1864;0,18;0,00;0,18;0,01;0,37
1866;0,18;0,00;0,18;0,01;0,37
1868;0,18;0,00;0,18;0,01;0,37
1870;0,18;0,00;0,18;0,01;0,37
1872;0,18;0,00;0,18;0,01;0,37
1874;0,18;0,00;0,18;0,01;0,37
1876;0,18;0,00;0,18;0,01;0,37
1878;0,18;0,00;0,18;0,01;0,37
1880;0,18;0,00;0,18;0,01;0,37
1882;0,18;0,00;0,18;0,01;0,37
1884;0,18;0,00;0,18;0,01;0,37
1886;0,18;0,00;0,18;0,01;0,37
1888;0,18;0,00;0,18;0,01;0,37
1890;0,18;0,00;0,18;0,01;0,37
1892;0,18;0,00;0,18;0,01;0,37
1894;0,18;0,00;0,18;0,01;0,37
1896;0,18;0,00;0,18;0,01;0,37
1898;0,18;0,00;0,18;0,01;0,37
1900;0,18;0,00;0,18;0,01;0,37
1902;0,18;0,00;0,18;0,01;0,37
1904;0,18;0,00;0,18;0,01;0,37
1906;0,18;0,00;0,18;0,01;0,37
1908;0,18;0,00;0,18;0,01;0,37
1910;0,18;0,00;0,18;0,01;0,37
1912;0,18;0,00;0,18;0,01;0,37
1914;0,18;0,00;0,18;0,01;0,37
1916;0,18;0,00;0,18;0,01;0,37
1918;0,18;0,00;0,18;0,01;0,37
1920;0,03;0,10;0,03;0,06;0,22
1922;0,03;0,10;0,03;0,06;0,22
1924;0,03;0,10;0,03;0,06;0,22
1926;0,03;0,10;0,03;0,06;0,22
1928;0,03;0,10;0,03;0,06;0,22
1930;0,03;0,10;0,03;0,06;0,22
1932;0,03;0,10;0,03;0,06;0,22
1934;0,03;0,10;0,03;0,06;0,22
1936;0,03;0,10;0,03;0,06;0,22
1938;0,03;0,10;0,03;0,06;0,22
1940;0,03;0,10;0,03;0,06;0,22
1942;0,03;0,10;0,03;0,06;0,22
1944;0,03;0,10;0,03;0,06;0,22
1946;0,03;0,10;0,03;0,06;0,22
1948;0,03;0,10;0,03;0,06;0,22
1950;0,00;0,13;0,00;0,15;0,28
1952;0,00;0,13;0,00;0,15;0,28
1954;0,00;0,13;0,00;0,15;0,28
1956;0,00;0,13;0,00;0,15;0,28
1958;0,18;0,00;0,18;0,00;0,37
1960;0,18;0,00;0,18;0,00;0,37
1962;0,18;0,00;0,18;0,00;0,37
1964;0,18;0,00;0,18;0,00;0,37
1966;0,18;0,00;0,18;0,00;0,37
1968;0,18;0,00;0,18;0,00;0,37
1970;0,12;0,00;0,12;0,00;0,24
1972;0,12;0,00;0,12;0,00;0,24
1974;0,12;0,00;0,12;0,00;0,24
1976;0,12;0,00;0,12;0,00;0,24
1978;0,12;0,00;0,12;0,00;0,24
1980;0,10;0,01;0,10;0,01;0,22
1982;0,10;0,01;0,10;0,01;0,22
1984;0,01;0,11;0,01;0,07;0,21
1986;0,01;0,11;0,01;0,07;0,21
1988;0,01;0,11;0,01;0,07;0,21
1990;0,01;0,11;0,01;0,07;0,21
1992;0,01;0,11;0,01;0,07;0,21
1994;0,01;0,11;0,01;0,07;0,21
1996;0,03;0,11;0,03;0,06;0,23
1998;0,03;0,11;0,03;0,06;0,23
2000;0,03;0,11;0,03;0,06;0,23
2002;0,05;0,06;0,05;0,03;0,18
2004;0,05;0,06;0,05;0,03;0,18
2006;0,05;0,06;0,05;0,03;0,18
2008;0,05;0,06;0,05;0,03;0,18
2010;0,05;0,06;0,05;0,03;0,18
2012;0,05;0,06;0,05;0,03;0,18
2014;0,05;0,06;0,05;0,03;0,18
2016;0,05;0,06;0,05;0,03;0,18
2018;0,05;0,06;0,05;0,03;0,18
2020;0,05;0,06;0,05;0,03;0,18
2022;0,05;0,06;0,05;0,03;0,18
2024;0,05;0,06;0,05;0,03;0,18
2026;0,05;0,06;0,05;0,03;0,18
2028;0,05;0,06;0,05;0,03;0,18
2030;0,05;0,06;0,05;0,03;0,18
2032;0,05;0,06;0,05;0,03;0,18
2034;0,05;0,06;0,05;0,03;0,18
2036;0,05;0,06;0,05;0,03;0,18
2038;0,05;0,06;0,05;0,03;0,18
2040;0,05;0,06;0,05;0,03;0,18
2042;0,05;0,06;0,05;0,03;0,18
2044;0,05;0,06;0,05;0,03;0,18
2046;0,05;0,06;0,05;0,03;0,18
2048;0,05;0,06;0,05;0,03;0,18
2050;0,05;0,06;0,05;0,03;0,18
