TABULA_ID;YEAR1;YEAR2;A_W1;A_W2;A_W3;A_W;U_W1;U_W2;U_W3;U_W_AVG;A_WIN1;A_WIN2;A_WIN_H;A_WIN_E;A_WIN_S;A_WIN_W;A_WIN_N;A_WIN;A_WIN_H_PERC;A_WIN_ROOF_PERC;A_WIN_E_PERC;A_WIN_S_PERC;A_WIN_W_PERC;A_WIN_N_PERC;A_WIN_WALL_PERC;U_WIN1;U_WIN2;U_WIN_AVG;U_WALL_WIN;A_R1;A_R2;A_R;A_R1_NETTO;A_R2_NETTO;A_R_NETTO;U_R1;U_R2;U_R_AVG;U_R_WIN
DE.N.SFH.01.Gen;0;1859;169,78;0,00;0,00;169,78;2,00;2,00;2,00;2,00;28,78;0,00;0,00;7,94;9,56;7,94;3,34;28,78;0,00 %;0,00;4,68 %;5,63 %;4,68 %;1,97 %;16,95 %;3,50;5,00;3,50;2,25;134,19;0,00;134,19;126,81;0,00;126,81;2,60;1,00;2,60;2,60
DE.N.SFH.02.Gen;1860;1918;194,04;0,00;0,00;194,04;1,70;1,70;1,70;1,70;22,30;0,00;0,00;7,65;5,60;7,65;1,40;22,30;0,00 %;0,00;3,94 %;2,89 %;3,94 %;0,72 %;11,49 %;3,50;3,50;3,50;1,91;83,12;0,00;83,12;78,55;0,00;78,55;1,30;1,00;1,30;1,30
DE.N.SFH.03.Gen;1919;1948;235,30;0,00;0,00;235,30;1,70;1,70;1,70;1,70;52,35;0,00;0,00;9,10;22,00;9,10;12,15;52,35;0,00 %;0,00;3,87 %;9,35 %;3,87 %;5,16 %;22,25 %;3,50;3,50;3,50;2,10;213,99;0,00;213,99;202,22;0,00;202,22;1,40;0,80;1,40;1,40
DE.N.SFH.04.Gen;1949;1957;117,80;0,00;0,00;117,80;1,40;1,40;1,40;1,40;18,40;0,00;0,00;3,25;8,60;3,25;3,30;18,40;0,00 %;0,00;2,76 %;7,30 %;2,76 %;2,80 %;15,62 %;3,50;3,50;3,50;1,73;125,40;0,00;125,40;118,50;0,00;118,50;1,40;0,80;1,40;1,40
DE.N.SFH.05.Gen;1958;1968;183,33;0,00;51,00;234,33;1,20;1,20;1,20;1,20;45,15;0,00;0,00;9,12;10,02;9,12;16,89;45,15;0,00 %;0,00;3,89 %;4,28 %;3,89 %;7,21 %;19,27 %;3,50;3,50;3,50;1,64;180,90;0,00;180,90;170,95;0,00;170,95;0,80;0,60;0,80;0,80
DE.N.SFH.06.Gen;1969;1978;177,55;0,00;0,00;177,55;1,00;1,00;1,00;1,00;34,21;0,00;0,00;5,00;16,64;5,00;7,57;34,21;0,00 %;0,00;2,82 %;9,37 %;2,82 %;4,26 %;19,27 %;3,50;3,50;3,50;1,48;183,13;0,00;183,13;173,06;0,00;173,06;0,50;0,60;0,50;0,50
DE.N.SFH.06.LightFrame;1969;1978;117,00;0,00;0,00;117,00;0,60;0,60;0,60;0,60;32,00;0,00;0,00;6,15;16,50;6,15;3,20;32,00;0,00 %;0,00;5,26 %;14,10 %;5,26 %;2,74 %;27,35 %;3,50;3,50;3,50;1,39;138,00;0,00;138,00;130,41;0,00;130,41;0,50;0,50;0,50;0,50
DE.N.SFH.07.Gen;1979;1983;159,40;0,00;0,00;159,40;0,80;0,80;0,80;0,80;27,00;0,00;0,00;8,69;6,02;8,69;3,60;27,00;0,00 %;0,00;5,45 %;3,78 %;5,45 %;2,26 %;16,94 %;4,30;4,30;4,30;1,39;100,80;0,00;100,80;95,26;0,00;95,26;0,50;0,50;0,50;0,50
DE.N.SFH.08.Gen;1984;1994;211,30;0,00;0,00;211,30;0,50;0,50;0,50;0,50;29,67;0,00;0,00;7,42;12,73;7,42;2,10;29,67;0,00 %;0,00;3,51 %;6,02 %;3,51 %;0,99 %;14,04 %;3,50;3,50;3,50;0,92;123,20;0,00;123,20;116,42;0,00;116,42;0,40;0,40;0,40;0,40
DE.N.SFH.09.Gen;1995;2001;126,60;0,00;0,00;126,60;0,30;0,30;0,30;0,30;32,46;0,00;0,00;3,60;20,26;3,60;5,00;32,46;0,00 %;0,00;2,84 %;16,00 %;2,84 %;3,95 %;25,64 %;1,90;1,90;1,90;0,71;115,50;0,00;115,50;109,15;0,00;109,15;0,35;0,30;0,35;0,35
DE.N.SFH.10.Gen;2002;2009;188,86;0,00;0,00;188,86;0,30;0,30;0,30;0,30;28,30;0,00;0,00;3,94;17,31;3,94;3,12;28,30;0,00 %;0,00;2,08 %;9,17 %;2,08 %;1,65 %;14,98 %;1,40;1,40;1,40;0,46;85,91;0,00;85,91;81,18;0,00;81,18;0,25;0,24;0,25;0,25
;;;;;;;;;;1,05;;;;;;;;;0,00 %;0,00;3,74 %;7,99 %;3,74 %;3,06 %;18,53 %;;;3,24;1,45;;;;;;;;;0,91;0,91
