YEAR;A_WIN_E_BY_AW;A_WIN_S_BY_AW;A_WIN_W_BY_AW;A_WIN_N_BY_AW;A_WIN_BY_AW
1840;0,05;0,06;0,05;0,02;0,17
1842;0,05;0,06;0,05;0,02;0,17
1844;0,05;0,06;0,05;0,02;0,17
1846;0,05;0,06;0,05;0,02;0,17
1848;0,05;0,06;0,05;0,02;0,17
1850;0,05;0,06;0,05;0,02;0,17
1852;0,05;0,06;0,05;0,02;0,17
1854;0,05;0,06;0,05;0,02;0,17
1856;0,05;0,06;0,05;0,02;0,17
1858;0,05;0,06;0,05;0,02;0,17
1860;0,04;0,03;0,04;0,01;0,11
1862;0,04;0,03;0,04;0,01;0,11
1864;0,04;0,03;0,04;0,01;0,11
1866;0,04;0,03;0,04;0,01;0,11
1868;0,04;0,03;0,04;0,01;0,11
1870;0,04;0,03;0,04;0,01;0,11
1872;0,04;0,03;0,04;0,01;0,11
1874;0,04;0,03;0,04;0,01;0,11
1876;0,04;0,03;0,04;0,01;0,11
1878;0,04;0,03;0,04;0,01;0,11
1880;0,04;0,03;0,04;0,01;0,11
1882;0,04;0,03;0,04;0,01;0,11
1884;0,04;0,03;0,04;0,01;0,11
1886;0,04;0,03;0,04;0,01;0,11
1888;0,04;0,03;0,04;0,01;0,11
1890;0,04;0,03;0,04;0,01;0,11
1892;0,04;0,03;0,04;0,01;0,11
1894;0,04;0,03;0,04;0,01;0,11
1896;0,04;0,03;0,04;0,01;0,11
1898;0,04;0,03;0,04;0,01;0,11
1900;0,04;0,03;0,04;0,01;0,11
1902;0,04;0,03;0,04;0,01;0,11
1904;0,04;0,03;0,04;0,01;0,11
1906;0,04;0,03;0,04;0,01;0,11
1908;0,04;0,03;0,04;0,01;0,11
1910;0,04;0,03;0,04;0,01;0,11
1912;0,04;0,03;0,04;0,01;0,11
1914;0,04;0,03;0,04;0,01;0,11
1916;0,04;0,03;0,04;0,01;0,11
1918;0,04;0,03;0,04;0,01;0,11
1920;0,04;0,09;0,04;0,05;0,22
1922;0,04;0,09;0,04;0,05;0,22
1924;0,04;0,09;0,04;0,05;0,22
1926;0,04;0,09;0,04;0,05;0,22
1928;0,04;0,09;0,04;0,05;0,22
1930;0,04;0,09;0,04;0,05;0,22
1932;0,04;0,09;0,04;0,05;0,22
1934;0,04;0,09;0,04;0,05;0,22
1936;0,04;0,09;0,04;0,05;0,22
1938;0,04;0,09;0,04;0,05;0,22
1940;0,04;0,09;0,04;0,05;0,22
1942;0,04;0,09;0,04;0,05;0,22
1944;0,04;0,09;0,04;0,05;0,22
1946;0,04;0,09;0,04;0,05;0,22
1948;0,04;0,09;0,04;0,05;0,22
1950;0,03;0,07;0,03;0,03;0,16
1952;0,03;0,07;0,03;0,03;0,16
1954;0,03;0,07;0,03;0,03;0,16
1956;0,03;0,07;0,03;0,03;0,16
1958;0,04;0,04;0,04;0,07;0,19
1960;0,04;0,04;0,04;0,07;0,19
1962;0,04;0,04;0,04;0,07;0,19
1964;0,04;0,04;0,04;0,07;0,19
1966;0,04;0,04;0,04;0,07;0,19
1968;0,04;0,04;0,04;0,07;0,19
1970;0,05;0,14;0,05;0,03;0,27
1972;0,05;0,14;0,05;0,03;0,27
1974;0,05;0,14;0,05;0,03;0,27
1976;0,05;0,14;0,05;0,03;0,27
1978;0,05;0,14;0,05;0,03;0,27
1980;0,05;0,04;0,05;0,02;0,17
1982;0,05;0,04;0,05;0,02;0,17
1984;0,04;0,06;0,04;0,01;0,14
1986;0,04;0,06;0,04;0,01;0,14
1988;0,04;0,06;0,04;0,01;0,14
1990;0,04;0,06;0,04;0,01;0,14
1992;0,04;0,06;0,04;0,01;0,14
1994;0,04;0,06;0,04;0,01;0,14
1996;0,03;0,16;0,03;0,04;0,26
1998;0,03;0,16;0,03;0,04;0,26
2000;0,03;0,16;0,03;0,04;0,26
2002;0,02;0,09;0,02;0,02;0,15
2004;0,02;0,09;0,02;0,02;0,15
2006;0,02;0,09;0,02;0,02;0,15
2008;0,02;0,09;0,02;0,02;0,15
2010;0,02;0,09;0,02;0,02;0,15
2012;0,02;0,09;0,02;0,02;0,15
2014;0,02;0,09;0,02;0,02;0,15
2016;0,02;0,09;0,02;0,02;0,15
2018;0,02;0,09;0,02;0,02;0,15
2020;0,02;0,09;0,02;0,02;0,15
2022;0,02;0,09;0,02;0,02;0,15
2024;0,02;0,09;0,02;0,02;0,15
2026;0,02;0,09;0,02;0,02;0,15
2028;0,02;0,09;0,02;0,02;0,15
2030;0,02;0,09;0,02;0,02;0,15
2032;0,02;0,09;0,02;0,02;0,15
2034;0,02;0,09;0,02;0,02;0,15
2036;0,02;0,09;0,02;0,02;0,15
2038;0,02;0,09;0,02;0,02;0,15
2040;0,02;0,09;0,02;0,02;0,15
2042;0,02;0,09;0,02;0,02;0,15
2044;0,02;0,09;0,02;0,02;0,15
2046;0,02;0,09;0,02;0,02;0,15
2048;0,02;0,09;0,02;0,02;0,15
2050;0,02;0,09;0,02;0,02;0,15
