TABULA_ID;YEAR1;YEAR2;A_W1;A_W2;A_W3;A_W;U_W1;U_W2;U_W3;U_W_AVG;A_WIN1;A_WIN2;A_WIN_H;A_WIN_E;A_WIN_S;A_WIN_W;A_WIN_N;A_WIN;A_WIN_H_PERC;A_WIN_ROOF_PERC;A_WIN_E_PERC;A_WIN_S_PERC;A_WIN_W_PERC;A_WIN_N_PERC;A_WIN_WALL_PERC;U_WIN1;U_WIN2;U_WIN_AVG;U_WALL_WIN;A_R1;A_R2;A_R;A_R1_NETTO;A_R2_NETTO;A_R_NETTO;U_R1;U_R2;U_R_AVG;U_R_WIN
DE.N.TH.02.Gen;0;1918;74,47;0,00;0,00;74,47;1,70;1,70;1,70;1,70;18,09;0,00;0,00;0,00;7,98;0,00;10,11;18,09;0,00 %;0,00;0,00 %;10,72 %;0,00 %;13,58 %;24,29 %;2,70;2,70;2,70;1,94;0,00;60,00;60,00;0,00;56,70;56,70;1,30;1,00;1,00;1,00
DE.N.TH.03.Gen;1919;1948;64,14;0,00;0,00;64,14;1,70;1,70;1,70;1,70;21,48;0,00;0,00;0,00;13,55;0,00;7,93;21,48;0,00 %;0,00;0,00 %;21,13 %;0,00 %;12,36 %;33,49 %;3,50;3,50;3,50;2,30;0,00;50,35;50,35;0,00;47,58;47,58;1,40;0,80;0,80;0,80
DE.N.TH.04.Gen;1949;1957;134,66;0,00;0,00;134,66;1,20;1,20;1,20;1,20;46,67;0,00;0,00;0,00;25,65;0,00;21,02;46,67;0,00 %;0,00;0,00 %;19,05 %;0,00 %;15,61 %;34,66 %;3,50;3,50;3,50;2,00;0,00;81,20;81,20;0,00;76,73;76,73;1,40;0,80;0,80;0,80
DE.N.TH.05.Gen;1958;1968;40,42;0,00;0,00;40,42;1,20;1,20;1,20;1,20;13,52;0,00;0,00;0,00;8,13;0,00;5,39;13,52;0,00 %;0,00;0,00 %;20,11 %;0,00 %;13,33 %;33,45 %;3,50;3,50;3,50;1,97;0,00;46,20;46,20;0,00;43,66;43,66;0,80;0,60;0,60;0,60
DE.N.TH.06.Gen;1969;1978;53,72;0,00;0,00;53,72;1,00;1,00;1,00;1,00;23,36;0,00;0,00;11,68;0,00;11,68;0,00;23,36;0,00 %;0,00;21,74 %;0,00 %;21,74 %;0,00 %;43,48 %;3,50;3,50;3,50;2,09;0,00;60,85;60,85;0,00;57,50;57,50;0,50;0,60;0,60;0,60
DE.N.TH.07.Gen;1979;1983;54,10;0,00;0,00;54,10;0,80;0,80;0,80;0,80;20,25;0,00;0,00;0,00;11,92;0,00;8,33;20,25;0,00 %;0,00;0,00 %;22,03 %;0,00 %;15,40 %;37,43 %;3,50;3,50;3,50;1,81;97,63;0,00;97,63;92,26;0,00;92,26;0,50;0,50;0,50;0,50
DE.N.TH.08.Gen;1984;1994;50,90;0,00;0,00;50,90;0,60;0,60;0,60;0,60;18,75;0,00;0,00;9,38;0,00;9,38;0,00;18,75;0,00 %;0,00;18,42 %;0,00 %;18,42 %;0,00 %;36,84 %;3,50;3,50;3,50;1,67;64,87;0,00;64,87;61,30;0,00;61,30;0,40;0,40;0,40;0,40
DE.N.TH.09.Gen;1995;2001;45,20;13,90;0,00;59,10;0,60;0,60;0,60;0,60;22,40;0,00;0,00;0,00;18,20;0,00;4,20;22,40;0,00 %;0,00;0,00 %;30,80 %;0,00 %;7,11 %;37,90 %;1,60;1,60;1,60;0,98;77,40;0,00;77,40;73,14;0,00;73,14;0,35;0,27;0,35;0,35
DE.N.TH.10.Gen;2002;2009;140,70;0,00;0,00;140,70;0,30;0,30;0,30;0,30;36,30;0,00;0,00;6,60;19,90;6,60;3,20;36,30;0,00 %;0,00;4,69 %;14,14 %;4,69 %;2,27 %;25,80 %;1,30;1,30;1,30;0,56;91,30;0,00;91,30;86,28;0,00;86,28;0,20;0,24;0,20;0,20
;;;;;;;;;;1,01;;;;;;;;;0,00 %;0,00;4,98 %;15,33 %;4,98 %;8,85 %;34,15 %;;;2,96;1,70;;;;;;;;;0,58;0,58
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
