Satz;t;Land;RB;Kreis;VB;Gem;Name;Area;AEWZ;AEWZ_M;AEWZ_F;DENS;sss
10;;01;;;;;Schleswig-Holstein;;;;;;
40;41;01;0;01;;;Flensburg, Stadt;;;;;;
50;50;01;0;01;0000;;Flensburg, Stadt;;;;;;
60;61;01;0;01;0000;000;Flensburg, Stadt;  56,74; 88 759; 43 759; 45 000; 1 564;24937
40;41;01;0;02;;;Kiel, Landeshauptstadt;;;;;;
50;50;01;0;02;0000;;Kiel, Landeshauptstadt;;;;;;
60;61;01;0;02;0000;000;Kiel, Landeshauptstadt;  118,65; 239 526; 117 297; 122 229; 2 019;24103
40;41;01;0;03;;;Lübeck, Hansestadt;;;;;;
50;50;01;0;03;0000;;Lübeck, Hansestadt;;;;;;
60;61;01;0;03;0000;000;Lübeck, Hansestadt;  214,21; 210 232; 100 054; 110 178;  981;23539
40;41;01;0;04;;;Neumünster, Stadt;;;;;;
50;50;01;0;04;0000;;Neumünster, Stadt;;;;;;
60;61;01;0;04;0000;000;Neumünster, Stadt;  71,63; 76 830; 37 734; 39 096; 1 073;24534
40;43;01;0;51;;;Dithmarschen;;;;;;
50;50;01;0;51;0011;;Brunsbüttel, Stadt;;;;;;
60;63;01;0;51;0011;011;Brunsbüttel, Stadt;  65,24; 13 120; 6 513; 6 607;  201;25541
50;50;01;0;51;0044;;Heide, Stadt;;;;;;
60;63;01;0;51;0044;044;Heide, Stadt;  31,97; 20 886; 9 998; 10 888;  653;25746
50;51;01;0;51;5163;;Burg-St. Michaelisdonn;;;;;;
60;64;01;0;51;5163;003;Averlak;  9,07;  599;  296;  303;  66;25715
60;64;01;0;51;5163;010;Brickeln;  6,07;  217;  113;  104;  36;25712
60;64;01;0;51;5163;012;Buchholz;  14,55; 1 076;  550;  526;  74;25712
60;64;01;0;51;5163;016;Burg (Dithmarschen);  11,23; 4 237; 2 033; 2 204;  377;25712
60;64;01;0;51;5163;022;Dingen;  7,02;  670;  338;  332;  95;25715
60;64;01;0;51;5163;024;Eddelak;  9,21; 1 367;  672;  695;  148;25715
60;64;01;0;51;5163;026;Eggstedt;  12,79;  781;  394;  387;  61;25721
60;64;01;0;51;5163;032;Frestedt;  10,32;  370;  186;  184;  36;25727
60;64;01;0;51;5163;037;Großenrade;  10,40;  516;  265;  251;  50;25712
60;64;01;0;51;5163;051;Hochdonn;  5,46; 1 234;  607;  627;  226;25712
60;64;01;0;51;5163;064;Kuden;  11,36;  652;  342;  310;  57;25712
60;64;01;0;51;5163;089;Quickborn;  6,95;  205;  97;  108;  29;25712
60;64;01;0;51;5163;097;Sankt Michaelisdonn;  23,05; 3 635; 1 795; 1 840;  158;25693
60;64;01;0;51;5163;110;Süderhastedt;  15,74;  866;  419;  447;  55;25727
50;51;01;0;51;5166;;Marne-Nordsee;;;;;;
60;64;01;0;51;5166;021;Diekhusen-Fahrstedt;  7,46;  755;  393;  362;  101;25709
60;64;01;0;51;5166;034;Friedrichskoog;  53,35; 2 452; 1 220; 1 232;  46;25718
60;64;01;0;51;5166;046;Helse;  11,44;  946;  472;  474;  83;25709
60;64;01;0;51;5166;057;Kaiser-Wilhelm-Koog;  13,06;  375;  189;  186;  29;25709
60;64;01;0;51;5166;062;Kronprinzenkoog;  28,85;  892;  457;  435;  31;25709
60;63;01;0;51;5166;072;Marne, Stadt;  4,83; 5 825; 2 730; 3 095; 1 206;25709
60;64;01;0;51;5166;073;Marnerdeich;  1,31;  344;  183;  161;  263;25709
60;64;01;0;51;5166;076;Neufeld;  10,41;  620;  331;  289;  60;25724
60;64;01;0;51;5166;077;Neufelderkoog;  9,76;  166;  92;  74;  17;25724
60;64;01;0;51;5166;090;Ramhusen;  4,80;  164;  87;  77;  34;25715
60;64;01;0;51;5166;103;Schmedeswurth;  5,91;  206;  105;  101;  35;25724
60;64;01;0;51;5166;118;Trennewurth;  7,79;  263;  142;  121;  34;25693
60;64;01;0;51;5166;119;Volsemenhusen;  16,78;  361;  191;  170;  22;25693
50;55;01;0;51;5169;;Eider;;;;;;
60;64;01;0;51;5169;005;Barkenholm;  5,11;  175;  94;  81;  34;25791
60;64;01;0;51;5169;008;Bergewöhrden;  2,64;  33;  14;  19;  13;25779
60;64;01;0;51;5169;019;Dellstedt;  21,77;  788;  407;  381;  36;25786
60;64;01;0;51;5169;020;Delve;  15,84;  717;  366;  351;  45;25788
60;64;01;0;51;5169;023;Dörpling;  7,82;  635;  320;  315;  81;25794
60;64;01;0;51;5169;030;Fedderingen;  9,69;  283;  140;  143;  29;25779
60;64;01;0;51;5169;035;Gaushorn;  6,45;  198;  102;  96;  31;25782
60;64;01;0;51;5169;036;Glüsing;  4,69;  118;  65;  53;  25;25779
60;64;01;0;51;5169;038;Groven;  7,90;  131;  74;  57;  17;25774
60;64;01;0;51;5169;047;Hemme;  16,53;  544;  291;  253;  33;25774
60;64;01;0;51;5169;049;Hennstedt;  21,93; 1 924;  974;  950;  88;25779
60;64;01;0;51;5169;052;Hövede;  2,94;  65;  41;  24;  22;25782
60;64;01;0;51;5169;053;Hollingstedt;  9,74;  318;  163;  155;  33;25788
60;64;01;0;51;5169;058;Karolinenkoog;  17,55;  120;  62;  58;  7;25774
60;64;01;0;51;5169;060;Kleve;  12,81;  419;  216;  203;  33;25779
60;64;01;0;51;5169;061;Krempel;  4,83;  625;  315;  310;  129;25774
60;64;01;0;51;5169;065;Lehe;  18,63; 1 063;  518;  545;  57;25774
60;64;01;0;51;5169;068;Linden;  11,62;  854;  436;  418;  73;25791
60;64;01;0;51;5169;071;Lunden;  4,65; 1 631;  823;  808;  351;25774
60;64;01;0;51;5169;080;Norderheistedt;  4,33;  143;  74;  69;  33;25779
60;64;01;0;51;5169;088;Pahlen;  10,80; 1 207;  600;  607;  112;25794
60;64;01;0;51;5169;092;Rehm-Flehde-Bargen;  14,63;  548;  288;  260;  37;25776
60;64;01;0;51;5169;096;Sankt Annen;  14,89;  321;  169;  152;  22;25776
60;64;01;0;51;5169;100;Schalkholz;  12,50;  592;  283;  309;  47;25782
60;64;01;0;51;5169;102;Schlichting;  12,50;  220;  108;  112;  18;25776
60;64;01;0;51;5169;114;Tellingstedt;  21,10; 2 477; 1 217; 1 260;  117;25782
60;64;01;0;51;5169;117;Tielenhemme;  12,71;  130;  63;  67;  10;25794
