BL_ID;BL;AGS;Name;Total;Male;Female;;
01;Schleswig-Holstein;01001000;Flensburg, Stadt; 82 801; 40 691; 42 110;;
01;Schleswig-Holstein;01002000;Kiel, Landeshauptstadt; 237 667; 114 534; 123 133;;
01;Schleswig-Holstein;01003000;Lübeck, Hansestadt; 210 679; 100 101; 110 578;;
01;Schleswig-Holstein;01004000;Neumünster, Stadt; 77 201; 37 790; 39 411;;
01;Schleswig-Holstein;01051001;Albersdorf; 3 500; 1 694; 1 806;;
01;Schleswig-Holstein;01051002;Arkebek;  225;  111;  114;;
01;Schleswig-Holstein;01051003;Averlak;  610;  310;  300;;
01;Schleswig-Holstein;01051004;Bargenstedt;  912;  431;  481;;
01;Schleswig-Holstein;01051005;Barkenholm;  177;  97;  80;;
01;Schleswig-Holstein;01051006;Barlt;  799;  399;  400;;
01;Schleswig-Holstein;01051008;Bergewöhrden;  38;  17;  21;;
01;Schleswig-Holstein;01051010;Brickeln;  216;  106;  110;;
01;Schleswig-Holstein;01051011;Brunsbüttel, Stadt; 12 734; 6 327; 6 407;;
01;Schleswig-Holstein;01051012;Buchholz; 1 085;  552;  533;;
01;Schleswig-Holstein;01051013;Büsum; 4 810; 2 218; 2 592;;
01;Schleswig-Holstein;01051014;Büsumer Deichhausen;  366;  168;  198;;
01;Schleswig-Holstein;01051015;Bunsoh;  805;  410;  395;;
01;Schleswig-Holstein;01051016;Burg (Dithmarschen); 4 187; 2 021; 2 166;;
01;Schleswig-Holstein;01051017;Busenwurth;  277;  150;  127;;
01;Schleswig-Holstein;01051019;Dellstedt;  774;  398;  376;;
01;Schleswig-Holstein;01051020;Delve;  711;  365;  346;;
01;Schleswig-Holstein;01051021;Diekhusen-Fahrstedt;  756;  396;  360;;
01;Schleswig-Holstein;01051022;Dingen;  659;  329;  330;;
01;Schleswig-Holstein;01051023;Dörpling;  604;  304;  300;;
01;Schleswig-Holstein;01051024;Eddelak; 1 408;  693;  715;;
01;Schleswig-Holstein;01051026;Eggstedt;  773;  381;  392;;
01;Schleswig-Holstein;01051027;Elpersbüttel;  883;  451;  432;;
01;Schleswig-Holstein;01051028;Epenwöhrden;  775;  384;  391;;
01;Schleswig-Holstein;01051030;Fedderingen;  274;  132;  142;;
01;Schleswig-Holstein;01051032;Frestedt;  381;  195;  186;;
01;Schleswig-Holstein;01051033;Friedrichsgabekoog;  53;  26;  27;;
01;Schleswig-Holstein;01051034;Friedrichskoog; 2 492; 1 223; 1 269;;
01;Schleswig-Holstein;01051035;Gaushorn;  178;  86;  92;;
01;Schleswig-Holstein;01051036;Glüsing;  116;  65;  51;;
01;Schleswig-Holstein;01051037;Großenrade;  490;  240;  250;;
01;Schleswig-Holstein;01051038;Groven;  79;  51;  28;;
01;Schleswig-Holstein;01051039;Gudendorf;  392;  196;  196;;
01;Schleswig-Holstein;01051043;Hedwigenkoog;  247;  113;  134;;
01;Schleswig-Holstein;01051044;Heide, Stadt; 20 773; 9 801; 10 972;;
01;Schleswig-Holstein;01051045;Hellschen-Heringsand-Unterschaar;  173;  84;  89;;
01;Schleswig-Holstein;01051046;Helse;  931;  466;  465;;
01;Schleswig-Holstein;01051047;Hemme;  521;  265;  256;;
01;Schleswig-Holstein;01051048;Hemmingstedt; 2 923; 1 467; 1 456;;
01;Schleswig-Holstein;01051049;Hennstedt; 1 954;  984;  970;;
01;Schleswig-Holstein;01051050;Hillgroven;  75;  46;  29;;
01;Schleswig-Holstein;01051051;Hochdonn; 1 183;  576;  607;;
01;Schleswig-Holstein;01051052;Hövede;  70;  38;  32;;
01;Schleswig-Holstein;01051053;Hollingstedt;  312;  155;  157;;
01;Schleswig-Holstein;01051054;Immenstedt;  103;  45;  58;;
01;Schleswig-Holstein;01051057;Kaiser-Wilhelm-Koog;  361;  185;  176;;
01;Schleswig-Holstein;01051058;Karolinenkoog;  146;  77;  69;;
01;Schleswig-Holstein;01051060;Kleve;  439;  222;  217;;
01;Schleswig-Holstein;01051061;Krempel;  605;  310;  295;;
01;Schleswig-Holstein;01051062;Kronprinzenkoog;  823;  407;  416;;
01;Schleswig-Holstein;01051063;Krumstedt;  524;  260;  264;;
01;Schleswig-Holstein;01051064;Kuden;  643;  332;  311;;
01;Schleswig-Holstein;01051065;Lehe; 1 077;  525;  552;;
01;Schleswig-Holstein;01051067;Lieth;  415;  182;  233;;
01;Schleswig-Holstein;01051068;Linden;  849;  429;  420;;
01;Schleswig-Holstein;01051069;Lohe-Rickelshof; 2 044;  974; 1 070;;
01;Schleswig-Holstein;01051071;Lunden; 1 738;  880;  858;;
01;Schleswig-Holstein;01051072;Marne, Stadt; 5 631; 2 640; 2 991;;
01;Schleswig-Holstein;01051073;Marnerdeich;  403;  215;  188;;
01;Schleswig-Holstein;01051074;Meldorf, Stadt; 7 253; 3 476; 3 777;;
01;Schleswig-Holstein;01051075;Neuenkirchen; 1 038;  532;  506;;
01;Schleswig-Holstein;01051076;Neufeld;  628;  324;  304;;
01;Schleswig-Holstein;01051077;Neufelderkoog;  127;  65;  62;;
