GENESIS-Tabelle: 449-01-5-B
Bodenfläche nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;;;
- Stichtag 31.12. - regionale Ebenen;;;;;;;;;;;;;;;;;;;;
Flächenerhebung nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;;;
31.12.2012;;;;;;;;;;;;;;;;;;;;
;;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche
;;;Siedlungs- und Verkehrsfläche;Gebäude- und Freifläche;Gebäude- und Freifläche;Gebäude- und Freifläche;Betriebsfläche (ohne Abbauland);Erholungsfläche;Erholungsfläche;Friedhofsfläche;Verkehrsfläche;Verkehrsfläche;Landwirtschaftsfläche;Landwirtschaftsfläche;Landwirtschaftsfläche;Waldfläche;Wasserfläche;Abbauland;Flächen anderer Nutzung (ohne Friedhofsfläche);Flächen anderer Nutzung (ohne Friedhofsfläche)
;;;;Insgesamt;Wohnen;Gewerbe, Industrie;;Insgesamt;Grünanlage;;Insgesamt;Straße, Weg, Platz;Insgesamt;Moor;Heide;;;;Insgesamt;Unland
;;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha
01001000;Flensburg, krsfr. Stadt;5674;2940;1865;1129;297;61;198;131;39;777;567;1517;4;118;348;824;10;35;35
01002000;Kiel, krsfr. Stadt;11865;6403;3841;2119;548;52;699;496;76;1736;1424;3554;34;2;684;1131;2;90;79
01003000;Lübeck, krsfr. Stadt;21421;7861;4416;2549;961;147;1174;892;85;2039;1516;6974;2;18;3095;3093;64;333;333
01004000;Neumünster, krsfr. Stadt;7163;3575;2301;1399;304;96;379;283;48;752;628;3038;188;2;323;200;1;26;24
01051001;Albersdorf;1712;329;204;116;9;4;23;15;3;95;86;1079;0;0;253;18;1;32;31
01051002;Arkebek;692;61;22;15;0;2;0;0;0;37;33;447;0;0;171;3;1;8;7
01051003;Averlak;907;64;43;30;1;0;2;1;0;19;18;676;0;0;38;110;0;18;18
01051004;Bargenstedt;1190;129;80;36;13;0;4;2;0;46;46;976;9;0;60;11;1;13;13
01051005;Barkenholm;511;34;19;9;0;1;0;0;0;13;13;416;0;0;4;11;0;47;47
01051006;Barlt;2288;140;79;37;1;3;2;1;2;54;52;1748;0;0;91;57;0;253;253
01051008;Bergewöhrden;264;12;7;2;0;0;0;0;0;5;5;215;0;0;3;29;0;5;5
01051010;Brickeln;607;63;18;9;1;0;3;0;0;43;22;464;0;0;62;14;0;3;3
01051011;Brunsbüttel;6524;1420;852;338;417;112;81;60;9;365;277;2979;0;0;45;1919;0;160;158
01051012;Buchholz;1455;155;65;34;0;2;1;0;0;86;51;1141;0;0;89;58;4;9;9
01051013;Büsum;848;331;201;139;19;8;36;25;5;81;74;438;0;0;2;56;0;22;22
01051014;Büsumer Deichhausen;287;37;21;17;0;0;3;0;0;14;13;242;0;0;2;6;0;0;0
01051015;Bunsoh;1175;150;52;31;0;50;4;0;0;44;44;783;0;0;196;31;2;13;12
