GENESIS-Tabelle: 036-01-5-B
Gebäude mit Wohnraum und Wohnungen nach Gebäudearten;;;;;;;;;;;
- Stichtag 09.05.2011;;;;;;;;;;;
regionale Ebenen;;;;;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;;;;;
Stichtag: 09.05.2011;;;;;;;;;;;
;;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum
;;;Art des Gebäudes;Art des Gebäudes;Art des Gebäudes;Art des Gebäudes;;Art des Gebäudes;Art des Gebäudes;Art des Gebäudes;Art des Gebäudes
;;;Wohngebäude (Insgesamt);Wohngebäude (ohne Wohnheime);Wohnheime;sonstige Gebäude mit Wohnraum;;Wohngebäude (Insgesamt);Wohngebäude (ohne Wohnheime);Wohnheime;sonstige Gebäude mit Wohnraum
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01001000;Flensburg, krsfr. Stadt;16787;16276;16237;39;511;48026;46731;46386;345;1295
01002000;Kiel, krsfr. Stadt;36992;36209;36097;112;783;132132;129578;127219;2359;2554
01003000;Lübeck, krsfr. Stadt;43694;42519;42485;34;1175;115013;111738;111195;543;3275
01004000;Neumünster, krsfr. Stadt;19191;18711;18697;14;480;41111;40045;39757;288;1066
01051001;Albersdorf;1257;1208;1208;-;49;1647;1571;1549;22;76
01051002;Arkebek;80;80;80;-;-;107;107;107;-;-
01051003;Averlak;259;259;259;-;-;297;294;294;-;3
01051004;Bargenstedt;338;329;329;-;9;389;368;368;-;21
01051005;Barkenholm;80;77;77;-;3;96;93;93;-;3
01051006;Barlt;331;319;319;-;12;379;367;367;-;12
01051008;Bergewöhrden;9;9;9;-;-;12;12;12;-;-
01051010;Brickeln;80;73;73;-;7;99;88;88;-;11
01051011;Brunsbüttel;4144;4043;4043;-;101;6594;6410;6401;9;184
01051012;Buchholz;382;366;366;-;16;454;438;438;-;16
01051013;Büsum;2176;2010;2010;-;166;4096;3848;3823;25;248
01051014;Büsumer Deichhausen;224;215;215;-;9;294;276;276;-;18
01051015;Bunsoh;283;274;274;-;9;380;368;368;-;12
01051016;Burg (Dithmarschen);1577;1507;1507;-;70;2176;2069;2062;7;107
01051017;Busenwurth;121;118;118;-;3;139;136;136;-;3
01051019;Dellstedt;255;249;249;-;6;326;320;320;-;6
01051020;Delve;303;291;291;-;12;361;346;346;-;15
01051021;Diekhusen-Fahrstedt;283;283;283;-;-;317;317;317;-;-
01051022;Dingen;270;258;258;-;12;277;265;265;-;12
01051023;Dörpling;247;247;247;-;0;282;282;282;-;0
01051024;Eddelak;557;536;536;-;21;648;618;618;-;30
01051026;Eggstedt;307;297;297;-;10;351;334;334;-;17
01051027;Elpersbüttel;334;317;317;-;17;385;365;365;-;20
01051028;Epenwöhrden;261;254;254;-;7;329;322;322;-;7
01051030;Fedderingen;101;86;86;-;15;111;96;96;-;15
01051032;Frestedt;153;150;147;3;3;178;175;169;6;3
01051033;Friedrichsgabekoog;24;21;21;-;3;27;24;24;-;3
01051034;Friedrichskoog;1773;1695;1695;-;78;2035;1932;1932;-;103
01051035;Gaushorn;67;60;60;-;7;71;64;64;-;7
01051036;Glüsing;40;34;34;-;6;58;49;49;-;9
01051037;Großenrade;200;191;191;-;9;233;224;224;-;9
01051038;Groven;42;39;39;-;3;46;43;43;-;3
01051039;Gudendorf;153;153;153;-;-;177;177;177;-;-
01051040;Hägen;-;-;-;-;-;-;-;-;-;-
01051043;Hedwigenkoog;93;87;87;-;6;106;97;97;-;9
01051044;Heide;6527;6243;6224;19;284;11100;10590;10472;118;510
01051045;Hellschen-Heringsand-Unterschaar;72;72;72;-;-;84;84;84;-;-
01051046;Helse;366;360;360;-;6;394;388;388;-;6
01051047;Hemme;230;213;213;-;17;274;244;244;-;30
01051048;Hemmingstedt;1140;1112;1112;-;28;1364;1330;1330;-;34
01051049;Hennstedt;841;813;813;-;28;1001;960;953;7;41
01051050;Hillgroven;47;40;40;-;7;47;40;40;-;7
01051051;Hochdonn;471;456;456;-;15;519;492;492;-;27
01051052;Hövede;15;15;15;-;-;24;24;24;-;-
01051053;Hollingstedt;119;119;119;-;-;150;150;150;-;-
01051054;Immenstedt;41;38;38;-;3;48;45;45;-;3
01051057;Kaiser-Wilhelm-Koog;171;155;155;-;16;187;171;171;-;16
01051058;Karolinenkoog;69;58;58;-;11;78;64;64;-;14
01051060;Kleve, Dithmarschen;184;171;171;-;13;214;201;201;-;13
01051061;Krempel;245;239;239;-;6;282;276;276;-;6
