AGS;Name;Insgesamt;Baujahr vor 1919;Baujahr 1919 bis 1948;Baujahr 1949 bis 1978;Baujahr 1979 bis 1986;Baujahr 1987 bis 1990;Baujahr 1991 bis 1995;Baujahr 1996 bis 2000;Baujahr 2001 bis 2004;Baujahr 2005 bis 2008;Baujahr 2009 und später
010;Schleswig-Holstein;804640;98037;78446;333688;82861;28843;45952;64544;35327;26462;10480
020;Hamburg;246508;24875;35566;117670;19967;8162;9839;12029;7531;7437;3432
031;Braunschweig, Stat. Region;412411;70780;42467;172004;34744;12452;21986;28159;15853;10530;3436
032;Hannover, Stat. Region;515613;69324;49096;225738;45051;17427;29607;39028;21852;13849;4641
033;Lüneburg, Stat. Region;535770;58295;45585;220339;53883;19056;38205;51771;25941;16584;6111
034;Weser-Ems, Stat. Region;754298;54756;66702;302256;81091;31565;59374;77134;41015;28569;11836
040;Bremen;139867;18729;26055;64832;9464;2998;4487;5731;3820;2800;951
051;Düsseldorf, Regierungsbezirk;1013532;131179;122380;449923;92057;38306;49444;56164;36563;26001;11515
053;Köln, Regierungsbezirk;992249;99145;98771;448182;100135;35952;56105;67031;40869;31801;14258
055;Münster, Regierungsbezirk;607721;54747;60513;255069;62799;24764;38440;48917;30117;22379;9976
057;Detmold, Regierungsbezirk;505187;55446;56169;212237;47383;16908;30796;39874;23741;15720;6913
059;Arnsberg, Regierungsbezirk;763179;104709;87371;343172;68787;23134;35630;46291;27571;18735;7779
064;Darmstadt, Regierungsbezirk;784813;98677;73310;356875;81173;33376;39232;42310;28105;24674;7081
065;Gießen, Regierungsbezirk;284238;45016;27354;123573;27191;9716;15267;16859;9809;7177;2276
066;Kassel, Regierungsbezirk;330582;50157;37996;143340;31190;10305;17590;20047;10892;7087;1978
071;Koblenz, Stat. Region;465221;72227;46839;183428;46789;17173;28639;33359;19142;13073;4552
072;Trier, Stat. Region;167996;28731;16851;62484;17057;5854;8943;11598;7111;6467;2900
073;Rheinhessen-Pfalz, Stat. Region;550258;80875;59763;216802;56485;24794;31738;34209;21096;17441;7055
081;Stuttgart, Regierungsbezirk;879358;88216;88174;385410;95561;39856;53068;55043;34508;29509;10013
082;Karlsruhe, Regierungsbezirk;599592;68694;58863;256268;68287;26664;37413;35405;21542;19614;6842
083;Freiburg, Regierungsbezirk;488546;69294;46215;186615;53540;22378;33095;33399;20568;17486;5956
084;Tübingen, Regierungsbezirk;458213;58034;41336;178966;50861;21511;33014;31995;19462;16995;6039
091;Oberbayern, Regierungsbezirk;891318;60973;68466;360423;109595;49813;65923;69223;47126;40839;18937
092;Niederbayern, Regierungsbezirk;346932;30800;23524;132327;43570;18554;30659;30726;17411;13517;5844
093;Oberpfalz, Regierungsbezirk;292512;21277;23213;121334;34950;14748;23067;23647;13869;11500;4907
094;Oberfranken, Regierungsbezirk;295119;39813;31663;119807;31922;12450;19200;19840;10480;7107;2837
095;Mittelfranken, Regierungsbezirk;387329;37896;35024;166265;45409;18438;26026;24353;15528;12793;5597
096;Unterfranken, Regierungsbezirk;348932;37297;30654;146609;41053;17174;23468;25088;13539;10047;4003
097;Schwaben, Regierungsbezirk;450518;45295;34459;185014;52959;22283;33602;33881;19660;16463;6902
100;Saarland;307532;43520;47962;141389;25318;8562;12017;13117;7663;5940;2044
110;Berlin;317238;50337;80919;86481;26396;12391;12631;24204;9984;9795;4100
120;Brandenburg;646341;115531;155900;100660;41916;19941;41579;89499;41855;29143;10317
130;Mecklenburg-Vorpommern;389178;78547;67330;79197;24211;13052;29743;53449;24247;14359;5043
141;Chemnitz, Regierungsbezirk;-;-;-;-;-;-;-;-;-;-;-
142;Dresden, Regierungsbezirk;-;-;-;-;-;-;-;-;-;-;-
143;Leipzig, Regierungsbezirk;-;-;-;-;-;-;-;-;-;-;-
145;Chemnitz, NUTS 2-Region;328111;115561;73313;42270;19734;9026;20728;28517;9965;6363;2634
146;Dresden, NUTS 2-Region;322217;99325;72541;47675;19539;9614;20287;31613;10370;7809;3444
147;Leipzig, NUTS 2-Region;182311;46527;42045;27217;11236;5504;12325;21845;7820;5461;2331
150;Sachsen-Anhalt;580869;171531;142155;99196;34445;15035;32252;50243;20244;11624;4144
151;Dessau, Stat. Region;-;x;x;x;x;x;x;x;x;x;x
152;Halle, Stat. Region;-;x;x;x;x;x;x;x;x;x;x
153;Magdeburg, Stat. Region;-;x;x;x;x;x;x;x;x;x;x
160;Thüringen;536369;160869;112553;93422;39641;18809;32113;44562;17878;11508;5014
