AGS;Name;Insgesamt;Fernheizung (Fernwärme);Etagenheizung;Blockheizung;Zentralheizung;Einzel-oder Mehrraumöfen;keine Heizung im Gebäude
01001000;Flensburg, krsfr. Stadt;16787;15327;30;36;1256;123;15
01002000;Kiel, krsfr. Stadt;36992;10337;2232;878;23046;456;43
01003000;Lübeck, krsfr. Stadt;43694;3783;4859;405;33396;1116;135
01004000;Neumünster, krsfr. Stadt;19191;5216;883;347;12285;441;19
01051001;Albersdorf;1257;47;19;-;1175;16;-
01051002;Arkebek;80;-;6;-;74;-;-
01051003;Averlak;259;13;3;4;233;6;-
01051004;Bargenstedt;338;6;6;-;300;26;-
01051005;Barkenholm;80;-;-;-;77;3;-
01051006;Barlt;331;9;-;3;288;31;-
01051008;Bergewöhrden;9;-;-;-;9;-;-
01051010;Brickeln;80;-;-;-;77;3;-
01051011;Brunsbüttel;4144;230;240;178;3383;109;4
01051012;Buchholz;382;-;13;-;354;15;-
01051013;Büsum;2176;200;126;34;1755;61;-
01051014;Büsumer Deichhausen;224;6;3;4;197;14;-
01051015;Bunsoh;283;3;3;-;257;20;-
01051016;Burg (Dithmarschen);1577;31;45;22;1420;59;-
01051017;Busenwurth;121;3;-;10;86;22;-
01051019;Dellstedt;255;3;3;3;231;12;3
01051020;Delve;303;12;-;-;278;13;-
01051021;Diekhusen-Fahrstedt;283;6;3;-;268;6;-
01051022;Dingen;270;3;4;-;251;12;-
01051023;Dörpling;247;3;7;-;234;3;-
01051024;Eddelak;557;10;18;3;484;42;-
01051026;Eggstedt;307;6;6;-;277;18;-
01051027;Elpersbüttel;334;-;4;-;317;13;-
01051028;Epenwöhrden;261;6;3;-;246;6;-
01051030;Fedderingen;101;-;-;-;95;6;-
01051032;Frestedt;153;3;-;-;141;9;-
01051033;Friedrichsgabekoog;24;-;-;-;24;-;-
01051034;Friedrichskoog;1773;41;37;12;1202;481;-
01051035;Gaushorn;67;-;-;-;67;-;-
01051036;Glüsing;40;3;-;3;31;3;-
01051037;Großenrade;200;8;4;-;173;15;-
01051038;Groven;42;-;-;-;36;6;-
01051039;Gudendorf;153;-;4;-;138;11;-
01051040;Hägen;-;-;-;-;-;-;-
01051043;Hedwigenkoog;93;3;7;-;83;-;-
01051044;Heide;6527;182;466;31;5735;103;10
01051045;Hellschen-Heringsand-Unterschaar;72;-;3;-;60;9;-
01051046;Helse;366;17;-;-;321;28;-
01051047;Hemme;230;-;4;3;210;13;-
01051048;Hemmingstedt;1140;18;30;32;999;58;3
01051049;Hennstedt;841;3;12;3;759;64;-
01051050;Hillgroven;47;-;-;-;34;13;-
01051051;Hochdonn;471;13;15;-;431;9;3
01051052;Hövede;15;-;-;-;15;-;-
01051053;Hollingstedt;119;14;-;-;105;-;-
01051054;Immenstedt;41;-;-;-;31;10;-
01051057;Kaiser-Wilhelm-Koog;171;9;13;-;146;3;-
01051058;Karolinenkoog;69;-;-;-;69;-;-
01051060;Kleve, Dithmarschen;184;6;-;-;166;9;3
01051061;Krempel;245;-;4;-;226;15;-
01051062;Kronprinzenkoog;383;9;6;-;338;30;-
01051063;Krumstedt;207;-;-;-;191;13;3
01051064;Kuden;253;6;-;-;223;24;-
01051065;Lehe;471;9;15;-;419;25;3
01051067;Lieth;129;116;-;-;10;3;-
01051068;Linden;321;22;-;6;278;15;-
01051069;Lohe-Rickelshof;768;23;41;6;686;12;-
01051071;Lunden;592;27;21;6;498;37;3
01051072;Marne;2128;53;134;32;1872;34;3
01051073;Marnerdeich;148;10;-;-;138;-;-
01051074;Meldorf;2783;211;133;68;2273;89;9
01051075;Neuenkirchen;389;9;6;-;330;44;-
01051076;Neufeld;285;15;3;3;244;20;-
01051077;Neufelderkoog;47;-;-;-;43;-;4
01051078;Nindorf;437;12;3;-;409;13;-
01051079;Norddeich;193;3;-;-;178;12;-
01051080;Norderheistedt;49;9;-;-;40;-;-
01051081;Norderwöhrden;115;-;-;-;106;9;-
01051082;Nordhastedt;1030;16;49;3;923;39;-
01051083;Odderade;136;3;-;-;115;18;-
01051084;Oesterdeichstrich;95;-;3;-;86;6;-
01051085;Offenbüttel;99;-;-;3;90;6;-
01051086;Osterrade;167;-;-;-;144;19;4
01051087;Ostrohe;381;13;12;-;349;7;-
01051088;Pahlen;423;10;6;3;363;41;-
01051089;Quickborn;82;3;-;-;69;10;-
01051090;Ramhusen;61;3;-;-;48;10;-
