GENESIS-Tabelle: 036-02-5-B
Gebäude mit Wohnraum nach Anzahl der Wohnungen;;;;;;;
- Stichtag 09.05.2011;;;;;;;
regionale Ebenen;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;
Stichtag: 09.05.2011;;;;;;;
;;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum
;;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen
;;Insgesamt;1 Wohnung;2 Wohnungen;3 - 6 Wohnungen;7 - 12 Wohnungen;13 und mehr Wohnungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01001000;Flensburg, krsfr. Stadt;16787;10906;1042;2815;1712;312
01002000;Kiel, krsfr. Stadt;36992;22192;2361;5236;5957;1246
01003000;Lübeck, krsfr. Stadt;43694;28440;4230;6655;3615;754
01004000;Neumünster, krsfr. Stadt;19191;14096;1483;2252;1215;145
01051001;Albersdorf;1257;1030;144;80;-;3
01051002;Arkebek;80;57;14;9;-;-
01051003;Averlak;259;239;16;4;-;-
01051004;Bargenstedt;338;283;37;18;-;-
01051005;Barkenholm;80;70;7;3;-;-
01051006;Barlt;331;300;22;9;-;-
01051008;Bergewöhrden;9;6;3;-;-;-
01051010;Brickeln;80;70;6;4;-;-
01051011;Brunsbüttel;4144;3367;295;376;100;6
01051012;Buchholz;382;329;44;9;-;-
01051013;Büsum;2176;1462;296;279;112;27
01051014;Büsumer Deichhausen;224;153;33;35;3;-
01051015;Bunsoh;283;252;16;9;6;-
01051016;Burg (Dithmarschen);1577;1269;181;127;0;-
01051017;Busenwurth;121;102;13;6;-;-
01051019;Dellstedt;255;216;22;17;-;-
01051020;Delve;303;255;39;9;-;-
01051021;Diekhusen-Fahrstedt;283;265;12;6;-;-
01051022;Dingen;270;250;20;-;-;-
01051023;Dörpling;247;211;32;4;-;-
01051024;Eddelak;557;485;53;19;-;-
01051026;Eggstedt;307;267;28;12;-;-
01051027;Elpersbüttel;334;306;22;6;-;-
01051028;Epenwöhrden;261;227;16;14;4;-
01051030;Fedderingen;101;91;10;-;-;-
01051032;Frestedt;153;144;6;3;-;-
01051033;Friedrichsgabekoog;24;21;-;3;-;-
01051034;Friedrichskoog;1773;1526;181;54;12;-
01051035;Gaushorn;67;61;6;-;-;-
01051036;Glüsing;40;28;12;-;-;-
01051037;Großenrade;200;179;15;6;-;-
01051038;Groven;42;36;6;-;-;-
01051039;Gudendorf;153;141;12;-;-;-
01051040;Hägen;-;-;-;-;-;-
01051043;Hedwigenkoog;93;74;10;9;-;-
01051044;Heide;6527;4957;691;707;131;41
01051045;Hellschen-Heringsand-Unterschaar;72;63;6;3;-;-
01051046;Helse;366;341;25;-;-;-
01051047;Hemme;230;198;26;6;-;-
01051048;Hemmingstedt;1140;990;117;30;3;-
01051049;Hennstedt;841;746;58;37;-;-
01051050;Hillgroven;47;31;16;-;-;-
01051051;Hochdonn;471;431;37;3;-;-
01051052;Hövede;15;12;3;-;-;-
01051053;Hollingstedt;119;98;17;4;-;-
01051054;Immenstedt;41;35;3;3;-;-
01051057;Kaiser-Wilhelm-Koog;171;144;12;15;-;-
01051058;Karolinenkoog;69;62;-;7;-;-
01051060;Kleve, Dithmarschen;184;161;17;6;-;-
01051061;Krempel;245;213;23;9;-;-
01051062;Kronprinzenkoog;383;337;33;13;-;-
01051063;Krumstedt;207;168;36;3;-;-
01051064;Kuden;253;241;9;3;-;-
01051065;Lehe;471;421;38;12;-;-
01051067;Lieth;129;116;6;7;-;-
01051068;Linden;321;277;37;7;-;-
01051069;Lohe-Rickelshof;768;642;76;47;3;-
01051071;Lunden;592;479;55;45;9;4
01051072;Marne;2128;1797;205;104;12;10
01051073;Marnerdeich;148;145;3;-;-;-
01051074;Meldorf;2783;2359;240;163;18;3
01051075;Neuenkirchen;389;339;33;13;-;4
01051076;Neufeld;285;267;9;9;-;-
01051077;Neufelderkoog;47;41;6;-;-;-
01051078;Nindorf;437;398;33;6;-;-
01051079;Norddeich;193;168;19;6;-;-
01051080;Norderheistedt;49;45;-;4;-;-
01051081;Norderwöhrden;115;109;6;-;-;-
01051082;Nordhastedt;1030;894;95;38;3;-
01051083;Odderade;136;115;18;3;-;-
01051084;Oesterdeichstrich;95;82;13;-;-;-
01051085;Offenbüttel;99;80;13;6;-;-
01051086;Osterrade;167;144;16;7;-;-
01051087;Ostrohe;381;334;43;4;-;-
01051088;Pahlen;423;342;68;13;-;-
01051089;Quickborn;82;76;6;-;-;-
01051090;Ramhusen;61;57;4;-;-;-
01051092;Rehm-Flehde-Bargen;205;185;13;7;-;-
01051093;Reinsbüttel;171;156;9;6;-;-
01051096;Sankt Annen;136;125;11;-;-;-
01051097;Sankt Michaelisdonn;1350;1203;95;45;4;3
01051098;Sarzbüttel;309;279;30;-;-;-
01051099;Schafstedt;506;430;67;9;-;-
01051100;Schalkholz;238;214;18;6;-;-
01051102;Schlichting;97;88;9;-;-;-
01051103;Schmedeswurth;71;68;-;3;-;-
01051104;Schrum;23;17;3;3;-;-
01051105;Schülp;208;189;12;7;-;-
01051107;Stelle-Wittenwurth;165;139;23;3;-;-
01051108;Strübbel;58;58;-;-;-;-
01051109;Süderdeich;194;155;27;12;-;-
01051110;Süderhastedt;305;290;12;3;-;-
01051111;Süderheistedt;-;-;-;-;-;-
01051113;Wöhrden;543;469;59;15;-;-
01051114;Tellingstedt;988;812;127;46;3;-
01051117;Tielenhemme;103;97;6;-;-;-
01051118;Trennewurth;138;126;12;-;-;-
01051119;Volsemenhusen;145;138;7;-;-;-
01051120;Wallen;20;20;-;-;-;-
01051121;Warwerort;186;164;9;13;-;-
01051122;Weddingstedt;877;779;59;33;6;-
01051125;Welmbüttel;161;138;20;3;-;-
01051126;Wennbüttel;39;27;12;-;-;-
01051127;Wesselburen;1218;1008;135;72;3;-
01051128;Wesselburener Deichhausen;68;65;3;-;-;-
01051129;Wesselburenerkoog;126;120;6;-;-;-
01051130;Wesseln;542;512;23;7;-;-
01051131;Westerborstel;46;37;9;-;-;-
01051132;Westerdeichstrich;430;272;58;90;10;-
01051133;Wiemerstedt;58;46;12;-;-;-
01051134;Windbergen;317;272;39;6;-;-
01051135;Wolmersdorf;132;114;15;3;-;-
01051136;Wrohm;301;275;23;3;-;-
01051137;Nordermeldorf;253;196;34;23;-;-
01051138;Tensbüttel-Röst;232;176;49;7;-;-
01051139;Süderdorf;123;95;25;3;-;-
01051140;Oesterwurth;109;103;6;-;-;-
01051141;Süderheistedt;215;172;37;6;-;-
01053001;Albsfelde;32;32;-;-;-;-
01053002;Alt Mölln;281;224;38;16;3;-
01053003;Aumühle;975;723;138;104;10;-
01053004;Bäk;322;254;58;10;-;-
01053005;Bälau;72;63;6;3;-;-
01053006;Basedow;262;222;17;16;7;-
01053007;Basthorst;161;127;28;6;-;-
01053008;Behlendorf;139;111;12;16;-;-
01053009;Berkenthin;627;501;96;27;3;-
01053010;Besenthal;26;23;3;-;-;-
01053011;Bliestorf;217;161;44;12;-;-
01053012;Börnsen;1321;1080;168;61;12;-
01053013;Borstorf;108;95;13;-;-;-
01053014;Breitenfelde;605;475;77;47;6;-
01053015;Bröthen;101;86;12;3;-;-
01053016;Brunsmark;84;78;6;-;-;-
01053017;Brunstorf;207;178;19;6;4;-
01053018;Buchholz;94;72;15;7;-;-
